"TABSCHEMA","TABNAME","INDNAME","UNIQUERULE","INDEXTYPE"
MAXIMO  ,ACCOUNTDEFAULTS,ACCTDFLT_NDX1,U,REG 
MAXIMO  ,ACCOUNTDEFAULTS,SQL251206163557310,P,REG 
MAXIMO  ,ACTCI,ACTCI_NDX1,U,REG 
MAXIMO  ,ACTCI,ACTCI_NDX2,D,REG 
MAXIMO  ,ACTCI,SQL251206163557430,P,REG 
MAXIMO  ,ACTCIRELATION,ACTCIRELATION_NDX1,U,REG 
MAXIMO  ,ACTCIRELATION,ACTCIRELATION_NDX2,D,REG 
MAXIMO  ,ACTCIRELATION,ACTCIRELATION_NDX3,D,REG 
MAXIMO  ,ACTCIRELATION,ACTCIRELATION_NDX4,D,REG 
MAXIMO  ,ACTCIRELATION,SQL251206163557560,P,REG 
MAXIMO  ,ACTCISPEC,ACTCISPEC_NDX1,U,REG 
MAXIMO  ,ACTCISPEC,ACTCISPEC_NDX2,D,REG 
MAXIMO  ,ACTCISPEC,ACTCISPEC_NDX3,D,REG 
MAXIMO  ,ACTCISPEC,SQL251206163557620,P,REG 
MAXIMO  ,ACTION,ACTION_NDX1,U,REG 
MAXIMO  ,ACTION,ACTION_NDX2,D,REG 
MAXIMO  ,ACTION,SQL251206163557750,P,REG 
MAXIMO  ,ACTIONGROUP,ACTIONGROUP_NDX1,U,REG 
MAXIMO  ,ACTIONGROUP,SQL251206163557880,P,REG 
MAXIMO  ,ACTIONSCFG,ACTIONSCFG_NDX1,U,REG 
MAXIMO  ,ACTIONSCFG,ACTIONSCFG_NDX2,D,REG 
MAXIMO  ,ACTIONSCFG,SQL251206163558000,P,REG 
MAXIMO  ,ADDRESS,ADDRESS_NDX1,U,REG 
MAXIMO  ,ADDRESS,SQL251206163558220,P,REG 
MAXIMO  ,AHBLTHRESHOLD,AHBLTHRESHOLD_NDX1,U,REG 
MAXIMO  ,AHBLTHRESHOLD,SQL251206163558350,P,REG 
MAXIMO  ,AHBLTHRESHOLDRANGE,AHBLTHRESHOLD_NDX2,U,REG 
MAXIMO  ,AHBLTHRESHOLDRANGE,SQL251206163558480,P,REG 
MAXIMO  ,AHDRIVERLIB,AHDRIVERLIB_NDX1,U,REG 
MAXIMO  ,AHDRIVERLIB,AHDRIVERLIB_NDX2,U,REG 
MAXIMO  ,AHDRIVERLIB,SQL251206163558610,P,REG 
MAXIMO  ,AHMETHODDRIVER,AHMETHODDRIVE_NDX1,U,REG 
MAXIMO  ,AHMETHODDRIVER,SQL251206163558730,P,REG 
MAXIMO  ,AHMETHODOLOGY,AHMETHODOLOGY_NDX1,U,REG 
MAXIMO  ,AHMETHODOLOGY,SQL251206163558860,P,REG 
MAXIMO  ,AHSCOREMAP,AHSCOREMAP_NDX1,U,REG 
MAXIMO  ,AHSCOREMAP,SQL251206163558990,P,REG 
MAXIMO  ,ALLWEATHERPRODUCTS,ALLWEATHERPRO_NDX1,U,REG 
MAXIMO  ,ALLWEATHERPRODUCTS,SQL251206163559110,P,REG 
MAXIMO  ,ALNDOMAIN,ALNDOMAIN_NDX2,U,REG 
MAXIMO  ,ALNDOMAIN,SQL251206163559240,P,REG 
MAXIMO  ,ALTITEM,ALTITEM_NDX1,U,REG 
MAXIMO  ,ALTITEM,SQL251206163559370,P,REG 
MAXIMO  ,AMCREW,AMCREW_NDX1,U,REG 
MAXIMO  ,AMCREW,AMCREW_NDX2,D,REG 
MAXIMO  ,AMCREW,SQL251206163559510,P,REG 
MAXIMO  ,AMCREWLABOR,AMCREWLABOR_NDX1,U,REG 
MAXIMO  ,AMCREWLABOR,SQL251206163559660,P,REG 
MAXIMO  ,AMCREWLABPOS,AMCREWLABPOS_NDX1,U,REG 
MAXIMO  ,AMCREWLABPOS,SQL251206163559790,P,REG 
MAXIMO  ,AMCREWMODAVAIL,SQL251206163559910,P,REG 
MAXIMO  ,AMCREWQUAL,AMCREWQUAL_NDX1,U,REG 
MAXIMO  ,AMCREWQUAL,SQL251206163600040,P,REG 
MAXIMO  ,AMCREWSTATHIS,AMCREWSTATHIS_NDX1,U,REG 
MAXIMO  ,AMCREWSTATHIS,SQL251206163600180,P,REG 
MAXIMO  ,AMCREWT,AMCREWT_NDX1,U,REG 
MAXIMO  ,AMCREWT,SQL251206163600300,P,REG 
MAXIMO  ,AMCREWTOOL,AMCREWTOOL_NDX1,U,REG 
MAXIMO  ,AMCREWTOOL,AMCREWTOOL_NDX2,D,REG 
MAXIMO  ,AMCREWTOOL,AMCREWTOOL_NDX3,D,REG 
MAXIMO  ,AMCREWTOOL,SQL251206163600430,P,REG 
MAXIMO  ,AMCREWTOOLSQ,AMCREWTOOLSQ_NDX1,U,REG 
MAXIMO  ,AMCREWTOOLSQ,SQL251206163600550,P,REG 
MAXIMO  ,AMCREWWOLAB,SQL251206163600680,P,REG 
MAXIMO  ,AMCREWWORKZONE,AMCREWWORKZON_NDX1,U,REG 
MAXIMO  ,AMCREWWORKZONE,AMCREWWORKZON_NDX2,U,REG 
MAXIMO  ,AMCREWWORKZONE,AMCREWWORKZON_NDX3,D,REG 
MAXIMO  ,AMCREWWORKZONE,AMCREWWORKZON_NDX4,U,REG 
MAXIMO  ,AMCREWWORKZONE,SQL251206163600810,P,REG 
MAXIMO  ,AMCREWWOTL,SQL251206163600970,P,REG 
MAXIMO  ,AMCTCRAFT,AMCTCRAFT_NDX1,U,REG 
MAXIMO  ,AMCTCRAFT,SQL251206163601110,P,REG 
MAXIMO  ,AMCTQUAL,AMCTQUAL_NDX1,U,REG 
MAXIMO  ,AMCTQUAL,SQL251206163601230,P,REG 
MAXIMO  ,AMCTSTATHIST,AMCTSTATHIST_NDX1,U,REG 
MAXIMO  ,AMCTSTATHIST,SQL251206163601350,P,REG 
MAXIMO  ,AMCTTOOL,AMCTTOOL_NDX1,U,REG 
MAXIMO  ,AMCTTOOL,SQL251206163601500,P,REG 
MAXIMO  ,ANALYTICAUTH,ANALYTICAUTH_NDX1,U,REG 
MAXIMO  ,ANALYTICAUTH,SQL251206163601630,P,REG 
MAXIMO  ,ANALYTICDATASET,ANALYTICDATAS_NDX1,U,REG 
MAXIMO  ,ANALYTICDATASET,SQL251206163601780,P,REG 
MAXIMO  ,ANOMALY,ANOMALY_ANOMALYCATALOGID,D,REG 
MAXIMO  ,ANOMALY,ANOMALY_IMAGEINFERENCEID,D,REG 
MAXIMO  ,ANOMALY,ANOMALY_OWNER,D,REG 
MAXIMO  ,ANOMALY,SQL251206163601980,P,REG 
MAXIMO  ,ANOMALYCATALOG,ANOMALYCATALOG_MODELTYPE_NAME,U,REG 
MAXIMO  ,ANOMALYCATALOG,SQL251206163602120,P,REG 
MAXIMO  ,APICSRFTOKEN,APICSRFTOKEN_NDX1,U,REG 
MAXIMO  ,APICSRFTOKEN,SQL251206163602240,P,REG 
MAXIMO  ,APIKEYTOKEN,APIKEYTOKEN_NDX1,U,REG 
MAXIMO  ,APIKEYTOKEN,SQL251206163602370,P,REG 
MAXIMO  ,APILINKEDOBJECT,APILINKEDOBJE_NDX1,U,REG 
MAXIMO  ,APILINKEDOBJECT,SQL251206163602490,P,REG 
MAXIMO  ,APIROUTE,APIROUTE_NDX1,U,REG 
MAXIMO  ,APIROUTE,SQL251206163602620,P,REG 
MAXIMO  ,APIROUTEPROP,APIROUTEPROP_NDX1,U,REG 
MAXIMO  ,APIROUTEPROP,SQL251206163602760,P,REG 
MAXIMO  ,APPDOCTYPE,APPDOCTYPE_NDX1,U,REG 
MAXIMO  ,APPDOCTYPE,SQL251206163602890,P,REG 
MAXIMO  ,APPFIELDDEFAULTS,APPFIELDDEF_NDX1,U,REG 
MAXIMO  ,APPFIELDDEFAULTS,APPFIELDDEF_NDX2,U,REG 
MAXIMO  ,APPFIELDDEFAULTS,SQL251206163603030,P,REG 
MAXIMO  ,APPLICATIONAUTH,APPAUTH_NDX1,U,REG 
MAXIMO  ,APPLICATIONAUTH,SQL251206163603170,P,REG 
MAXIMO  ,APPPROPCFG,APPPROPCFG_NDX1,U,REG 
MAXIMO  ,APPPROPCFG,SQL251206163603300,P,REG 
MAXIMO  ,APPTBKCOMMITGROUP,APPTBKCOMMITG_NDX1,U,REG 
MAXIMO  ,APPTBKCOMMITGROUP,SQL251206163603420,P,REG 
MAXIMO  ,APPTBKCOMMITPERSON,APPTBKCOMMITP_NDX1,U,REG 
MAXIMO  ,APPTBKCOMMITPERSON,SQL251206163603560,P,REG 
MAXIMO  ,APPTBKSTATUS,SQL251206163603680,P,REG 
MAXIMO  ,APPTBKWINDOWAVAIL,APPTBKWINDOWA_NDX1,U,REG 
MAXIMO  ,APPTBKWINDOWAVAIL,SQL251206163603810,P,REG 
