"TABSCHEMA","TABNAME","TYPE"
MAXIMO  ,ACCOUNTDEFAULTS,T
MAXIMO  ,ACTCI,T
MAXIMO  ,ACTCIRELATION,T
MAXIMO  ,ACTCISPEC,T
MAXIMO  ,ACTION,T
MAXIMO  ,ACTIONGROUP,T
MAXIMO  ,ACTIONSCFG,T
MAXIMO  ,ADDRESS,T
MAXIMO  ,AHBLTHRESHOLD,T
MAXIMO  ,AHBLTHRESHOLDRANGE,T
MAXIMO  ,AHDRIVERLIB,T
MAXIMO  ,AHMETHODDRIVER,T
MAXIMO  ,AHMETHODOLOGY,T
MAXIMO  ,AHSCOREMAP,T
MAXIMO  ,ALLWEATHERPRODUCTS,T
MAXIMO  ,ALNDOMAIN,T
MAXIMO  ,ALTITEM,T
MAXIMO  ,AMCREW,T
MAXIMO  ,AMCREWLABOR,T
MAXIMO  ,AMCREWLABPOS,T
MAXIMO  ,AMCREWMODAVAIL,T
MAXIMO  ,AMCREWQUAL,T
MAXIMO  ,AMCREWSTATHIS,T
MAXIMO  ,AMCREWT,T
MAXIMO  ,AMCREWTOOL,T
MAXIMO  ,AMCREWTOOLSQ,T
MAXIMO  ,AMCREWWOLAB,T
MAXIMO  ,AMCREWWORKZONE,T
MAXIMO  ,AMCREWWOTL,T
MAXIMO  ,AMCTCRAFT,T
MAXIMO  ,AMCTQUAL,T
MAXIMO  ,AMCTSTATHIST,T
MAXIMO  ,AMCTTOOL,T
MAXIMO  ,ANALYTICAUTH,T
MAXIMO  ,ANALYTICDATASET,T
MAXIMO  ,ANOMALY,T
MAXIMO  ,ANOMALYCATALOG,T
MAXIMO  ,APICSRFTOKEN,T
MAXIMO  ,APIKEYTOKEN,T
MAXIMO  ,APILINKEDOBJECT,T
MAXIMO  ,APIROUTE,T
MAXIMO  ,APIROUTEPROP,T
MAXIMO  ,APPDOCTYPE,T
MAXIMO  ,APPFIELDDEFAULTS,T
MAXIMO  ,APPLICATIONAUTH,T
MAXIMO  ,APPPROPCFG,T
MAXIMO  ,APPTBKCOMMITGROUP,T
MAXIMO  ,APPTBKCOMMITPERSON,T
MAXIMO  ,APPTBKSTATUS,T
MAXIMO  ,APPTBKWINDOWAVAIL,T
MAXIMO  ,APPTBKWINDOWS,T
MAXIMO  ,APPTBOOK,T
MAXIMO  ,APPTBOOKASSIGNMENTS,T
MAXIMO  ,APPTBOOKJOBPLAN,T
MAXIMO  ,APPTRACKER,T
MAXIMO  ,APPUSERPROPCFG,T
MAXIMO  ,ARCHIVE,T
MAXIMO  ,AREASAFFECTED,T
MAXIMO  ,ASSET,T
MAXIMO  ,ASSETANCESTOR,T
MAXIMO  ,ASSETATTRIBUTE,T
MAXIMO  ,ASSETFEASPECHIST,T
MAXIMO  ,ASSETFEATURE,T
MAXIMO  ,ASSETFEATUREHIST,T
MAXIMO  ,ASSETFEATURESPEC,T
MAXIMO  ,ASSETGEOHASH,T
MAXIMO  ,ASSETHIERARCHY,T
MAXIMO  ,ASSETHISTORY,T
MAXIMO  ,ASSETLOCCOMM,T
MAXIMO  ,ASSETLOCRELATION,T
MAXIMO  ,ASSETLOCRELHIST,T
MAXIMO  ,ASSETLOCUSERCUST,T
MAXIMO  ,ASSETMETER,T
MAXIMO  ,ASSETMNTSKD,T
MAXIMO  ,ASSETOPSKD,T
MAXIMO  ,ASSETROLLUPSTATUS,T
MAXIMO  ,ASSETSPEC,T
MAXIMO  ,ASSETSPECHIST,T
MAXIMO  ,ASSETSTATUS,T
MAXIMO  ,ASSETTOPOCACHE,T
MAXIMO  ,ASSETTRANS,T
MAXIMO  ,ASSETTYPE,T
MAXIMO  ,ASSETUSERCUST,V
MAXIMO  ,ASSETWORKZONE,T
MAXIMO  ,ASSIGNMENT,T
MAXIMO  ,ASSIGNREPLOC,T
MAXIMO  ,ASTMSOVER,T
MAXIMO  ,ASTSPECMSOVER,T
MAXIMO  ,ASYNCJOBOBJSNAP,T
MAXIMO  ,ATTENDANCE,T
MAXIMO  ,ATTRFORMULA,T
MAXIMO  ,ATTRFORMULACOND,T
MAXIMO  ,AUTHROLE,T
MAXIMO  ,AUTHROLEUSER,T
MAXIMO  ,AUTOATTRUPDATE,T
MAXIMO  ,AUTOKEY,T
MAXIMO  ,AUTOLOCATEFIELDS,T
MAXIMO  ,AUTOSCRIPT,T
MAXIMO  ,AUTOSCRIPTSTATE,T
MAXIMO  ,AUTOSCRIPTVARS,T
MAXIMO  ,A_ALNDOMAIN,T
MAXIMO  ,A_ALNDOMAIN2,T
MAXIMO  ,A_ASSET,T
MAXIMO  ,A_ASSETMETER,T
MAXIMO  ,A_CROSSOVERDOMAIN,T
MAXIMO  ,A_INVCOST,T
MAXIMO  ,A_INVENTORY,T
MAXIMO  ,A_LOCATIONS,T
MAXIMO  ,A_MAXLOGGER,T
MAXIMO  ,A_MAXTABLEDOMAIN,T
MAXIMO  ,A_NUMERICDOMAIN,T
MAXIMO  ,A_OOG_MEMOSTATUSLOG,T
MAXIMO  ,A_PM,T
MAXIMO  ,A_PMMETER,T
MAXIMO  ,A_SYNONYMDOMAIN,T
MAXIMO  ,BBOARDAUDIENCE,T
MAXIMO  ,BBOARDMSGSTATUS,T
MAXIMO  ,BBSTATUSHISTORY,T
MAXIMO  ,BCK_PLUSGHAZRISK,T
MAXIMO  ,BCK_PLUSGHAZRISKPREC,T
MAXIMO  ,BCK_PLUSGRISKASSESS,T
MAXIMO  ,BILLTOSHIPTO,T
MAXIMO  ,BIMATTRIBUTEMAP,T
MAXIMO  ,BIMATTRIBUTEMAPENTRY,T
MAXIMO  ,BIMATTRIBUTEMAPLIST,T
MAXIMO  ,BIMCOMMISSION,T
MAXIMO  ,BIMCONFIGURATION,T
MAXIMO  ,BIMFILTER,T
MAXIMO  ,BIMFILTERENTRY,T
MAXIMO  ,BIMFILTERLIST,T
MAXIMO  ,BIMOMNICLASSIMPORT,T
MAXIMO  ,BIMOMNICLASSUSEWITH,T
MAXIMO  ,BIMPRODUCT,V
MAXIMO  ,BIMPRODUCTBASE,T
MAXIMO  ,BIMPRODUCTBASESPEC,T
MAXIMO  ,BIMPRODUCTJOB,T
MAXIMO  ,BIMPRODUCTPART,T
MAXIMO  ,BIMPRODUCTPARTSUPP,T
MAXIMO  ,BIMPRODUCTSTATUS,T
MAXIMO  ,BIMPROJECT,T
MAXIMO  ,BIMSESSION,T
MAXIMO  ,BIMSPECMAPENTRY,T
MAXIMO  ,BIMSYSTEMMAPENTRY,T
MAXIMO  ,BIMTYPEMAP,T
MAXIMO  ,BIMTYPEMAPLIST,T
MAXIMO  ,BIMUPLOAD,T
MAXIMO  ,BOOKMARK,T
MAXIMO  ,BUDGET,T
MAXIMO  ,BUDGETANALYSISAXIS,T
MAXIMO  ,BUDGETANALYSISAXISNUMBER,T
MAXIMO  ,BUDGETFLAG,T
MAXIMO  ,BUDGETLINE,T
MAXIMO  ,BUDGETRULE,T
MAXIMO  ,BUDGETRULEASSOC,T
MAXIMO  ,BUDGETRULEPROC,T
MAXIMO  ,BUDGETRULEPROCTRANS,T
MAXIMO  ,BUDGETRULETRANSDATE,T
MAXIMO  ,BUDGETSTATUS,T
MAXIMO  ,BUILDINGMODEL,T
MAXIMO  ,BULLETINBOARD,T
MAXIMO  ,CALENDAR,T
MAXIMO  ,CALENDARBREAK,T
MAXIMO  ,CDMCITYPES,T
MAXIMO  ,CHARPOINTACTION,T
MAXIMO  ,CHARTOFACCOUNTS,T
MAXIMO  ,CI,T
MAXIMO  ,CIRELATION,T
MAXIMO  ,CIRELATIONHIS,T
MAXIMO  ,CISPEC,T
MAXIMO  ,CISPECHIS,T
MAXIMO  ,CISTATUS,T
MAXIMO  ,CITEMPLATE,T
MAXIMO  ,CITYPESTATUS,T
MAXIMO  ,CLASSANCESTOR,T
MAXIMO  ,CLASSIFICATION,T
MAXIMO  ,CLASSSPEC,T
MAXIMO  ,CLASSSPECUSEWITH,T
MAXIMO  ,CLASSSTRUCTURE,T
MAXIMO  ,CLASSUSEWITH,T
MAXIMO  ,COLLECTDETAILS,T
MAXIMO  ,COLLECTION,T
MAXIMO  ,COLLECTIONAUTH,T
MAXIMO  ,COMMITGROUP,T
MAXIMO  ,COMMITPERSON,T
MAXIMO  ,COMMLOG,T
MAXIMO  ,COMMLOGDOCS,T
MAXIMO  ,COMMODITIES,T
MAXIMO  ,COMMTEMPLATE,T
MAXIMO  ,COMMTEMPLATEDOCS,T
MAXIMO  ,COMMTMPLTSENDTO,T
MAXIMO  ,COMPANIES,T
MAXIMO  ,COMPANYACCDEF,T
MAXIMO  ,COMPANYSETFILTER,V
MAXIMO  ,COMPCOMMODITY,T
MAXIMO  ,COMPCONTACT,T
MAXIMO  ,COMPCONTACTMSTR,T
MAXIMO  ,COMPMASTER,T
MAXIMO  ,COMPUTERSYSTEM,V
MAXIMO  ,CONDITION,T
MAXIMO  ,CONTASSETMETER,T
MAXIMO  ,CONTCOMMODITY,T
MAXIMO  ,CONTLINEASSET,T
MAXIMO  ,CONTLINEMETER,T
MAXIMO  ,CONTRACT,T
MAXIMO  ,CONTRACTASSET,T
MAXIMO  ,CONTRACTAUTH,T
MAXIMO  ,CONTRACTDEFAULT,T
MAXIMO  ,CONTRACTLEASE,T
MAXIMO  ,CONTRACTLINE,T
MAXIMO  ,CONTRACTLINE_BK,T
MAXIMO  ,CONTRACTMASTER,T
MAXIMO  ,CONTRACTPROPERTY,T
MAXIMO  ,CONTRACTPURCH,T
MAXIMO  ,CONTRACTSFW,T
MAXIMO  ,CONTRACTSTATUS,T
MAXIMO  ,CONTRACTSWLIC,T
MAXIMO  ,CONTRACTTERM,T
MAXIMO  ,CONTRACTTYPE,T
MAXIMO  ,CONTRACTTYPETERM,T
MAXIMO  ,CONTSFWLIC,T
MAXIMO  ,CONVERSION,T
MAXIMO  ,COSTTYPE,T
MAXIMO  ,COUNTBOOK,T
MAXIMO  ,COUNTBOOKCHNGSTAT,T
MAXIMO  ,COUNTBOOKLINE,T
MAXIMO  ,COUNTBOOKSEL,T
MAXIMO  ,COUNTBOOKSTATUS,T
MAXIMO  ,CRAFT,T
MAXIMO  ,CRAFTRATE,T
MAXIMO  ,CRAFTSKILL,T
MAXIMO  ,CRONTASKDEF,T
MAXIMO  ,CRONTASKHISTORY,T
MAXIMO  ,CRONTASKINSTANCE,T
MAXIMO  ,CRONTASKPARAM,T
MAXIMO  ,CROSSOVERDOMAIN,T
MAXIMO  ,CTRLCONDITION,T
MAXIMO  ,CTRLCONDPROP,T
MAXIMO  ,CTRLGROUP,T
MAXIMO  ,CURRENCY,T
MAXIMO  ,DCLNODESINBV,V
MAXIMO  ,DDUSERAUTH,T
MAXIMO  ,DEFAULTOSQUERY,T
MAXIMO  ,DEFAULTQUERY,T
MAXIMO  ,DEPHISTORY,T
MAXIMO  ,DEPLOYEDASSET,T
MAXIMO  ,DEPRECIATION,T
MAXIMO  ,DEPSCHED,T
MAXIMO  ,DEPSCHEDHISTORY,T
MAXIMO  ,DEPSCHEDPERIODS,T
MAXIMO  ,DEPTRANS,T
MAXIMO  ,DMCFGGROUP,T
MAXIMO  ,DMCFGOBJECT,T
MAXIMO  ,DMCOLLAPPTOOLBAR,T
MAXIMO  ,DMCOLLECTION,T
MAXIMO  ,DMCOLLECTIONEXPORT,T
MAXIMO  ,DMCOLLECTIONOBJECT,T
MAXIMO  ,DMCOLLECTIONRELOBJ,T
MAXIMO  ,DMCOLLEVENTTRK,T
MAXIMO  ,DMCOLLLOOKUPRULE,T
MAXIMO  ,DMCOLLPACKAGEMAP,T
MAXIMO  ,DMCOLLPKGEXCEPTION,T
MAXIMO  ,DMCOLLRELRULE,T
MAXIMO  ,DMCOLLRELRULECOLS,T
MAXIMO  ,DMCOMPJOB,T
MAXIMO  ,DMCOMPRESRECORD,T
MAXIMO  ,DMCOMPRESULT,T
MAXIMO  ,DMDEPENDENCY,T
MAXIMO  ,DMERROR,T
MAXIMO  ,DMMAPDEF,T
MAXIMO  ,DMMAPPINGATTRIBUTEVIEW,V
MAXIMO  ,DMMESSAGE,T
MAXIMO  ,DMPACKAGE,T
MAXIMO  ,DMPACKAGEDEF,T
MAXIMO  ,DMPKGCFGGRPDEF,T
MAXIMO  ,DMPKGCFGOBJDEF,T
MAXIMO  ,DMPKGCMPSRC,T
MAXIMO  ,DMPKGCMPSRCDEF,T
MAXIMO  ,DMPKGDEFSTATUS,T
MAXIMO  ,DMPKGDIST,T
MAXIMO  ,DMPKGDISTTRACK,T
MAXIMO  ,DMPKGDSTTRGT,T
MAXIMO  ,DMPKGEVENTTRK,T
MAXIMO  ,DMPKGSTAGING,T
MAXIMO  ,DMPKGSTATUS,T
MAXIMO  ,DMPKGTRACKHIST,T
MAXIMO  ,DMRESTRICTION,T
MAXIMO  ,DMSAPISETTING,T
MAXIMO  ,DOCINFO,T
MAXIMO  ,DOCLINKS,T
MAXIMO  ,DOCTYPES,T
MAXIMO  ,DOMAINMETA,T
MAXIMO  ,DPACCOMMDEVICE,V
MAXIMO  ,DPACCPU,V
MAXIMO  ,DPACDISK,V
MAXIMO  ,DPACDISPLAY,V
MAXIMO  ,DPACIMAGEDEVICE,V
MAXIMO  ,DPACMEDIAADAPTER,V
MAXIMO  ,DPACNETADAPTER,V
MAXIMO  ,DPACNETDEVCARD,V
MAXIMO  ,DPACOMMDEVICE,T
MAXIMO  ,DPACOMPUTER,T
MAXIMO  ,DPACOS,V
MAXIMO  ,DPACPU,T
MAXIMO  ,DPACSOFTWARE,V
MAXIMO  ,DPACSWSUITE,V
MAXIMO  ,DPADISK,T
MAXIMO  ,DPADISPLAY,T
MAXIMO  ,DPAFILE,T
MAXIMO  ,DPAIMAGEDEVICE,T
MAXIMO  ,DPAIPX,T
MAXIMO  ,DPALOGICALDRIVE,T
MAXIMO  ,DPAMADAPTER,T
MAXIMO  ,DPAMADPTVARIANT,T
MAXIMO  ,DPAMEDIAADAPTER,T
MAXIMO  ,DPAMMANUFACTURER,T
MAXIMO  ,DPAMMANUVARIANT,T
MAXIMO  ,DPAMOS,T
MAXIMO  ,DPAMOSVARIANT,T
MAXIMO  ,DPAMPROCESSOR,T
MAXIMO  ,DPAMPROCVARIANT,T
MAXIMO  ,DPAMSOFTWARE,T
MAXIMO  ,DPAMSWSUITE,T
MAXIMO  ,DPAMSWSUITECOMP,T
MAXIMO  ,DPAMSWUSAGE,T
MAXIMO  ,DPAMSWUSAGERANGE,T
MAXIMO  ,DPAMSWVARIANT,T
MAXIMO  ,DPANETADAPTER,T
MAXIMO  ,DPANETDEVCARD,T
MAXIMO  ,DPANETDEVICE,T
MAXIMO  ,DPANETPRINTER,T
MAXIMO  ,DPAOS,T
MAXIMO  ,DPASOFTWARE,T
MAXIMO  ,DPASWSUITE,T
MAXIMO  ,DPATCPIP,T
MAXIMO  ,DPAUSERINFO,T
MAXIMO  ,DUMMY_TABLE,T
MAXIMO  ,EMAIL,T
MAXIMO  ,ESCALATION,T
MAXIMO  ,ESCCOMMLOG,V
MAXIMO  ,ESCNOTIFICATION,T
MAXIMO  ,ESCREFPOINT,T
MAXIMO  ,ESCREPEATTRACK,T
MAXIMO  ,ESCSTATUS,T
MAXIMO  ,EVENTRESPONSE,T
MAXIMO  ,EXCHANGE,T
MAXIMO  ,EXCLUDEDACTIONS,T
MAXIMO  ,EXCLUDEDMAPAPPS,T
MAXIMO  ,EXCLUDEPASSWORD,T
MAXIMO  ,EXPCONDITION,T
MAXIMO  ,EXPEXCEPTION,T
MAXIMO  ,EXPFUNCTIONS,T
MAXIMO  ,EXPGROUP,T
MAXIMO  ,EXPORTDATATS,T
MAXIMO  ,EXTNODESINASTLOCREL,V
MAXIMO  ,FACONFIG,T
MAXIMO  ,FAILURECODE,T
MAXIMO  ,FAILURELIST,T
MAXIMO  ,FAILUREREMARK,T
MAXIMO  ,FAILUREREPORT,T
MAXIMO  ,FAVITEM,T
MAXIMO  ,FEATURES,T
MAXIMO  ,FEATURESPEC,T
MAXIMO  ,FEATURESTATUS,T
MAXIMO  ,FILEEXPORTREQQUEUE,T
MAXIMO  ,FILEIMPORTREQQUEUE,T
MAXIMO  ,FINANCIALPERIODS,T
MAXIMO  ,FINCNTRL,T
MAXIMO  ,FSNCLASS,T
MAXIMO  ,FSNCLASSQUAL,T
MAXIMO  ,FSNCLASSRELATION,T
MAXIMO  ,FSNLASTSCAN,T
MAXIMO  ,FSNMETHOD,T
MAXIMO  ,FSNMETHODPARAM,T
MAXIMO  ,FSNMTHDPARAMQUAL,T
MAXIMO  ,FSNMTHDQUAL,T
MAXIMO  ,FSNOBJECT,T
MAXIMO  ,FSNOBJPROPERTY,T
MAXIMO  ,FSNOBJRELATION,T
MAXIMO  ,FSNPROPERTY,T
MAXIMO  ,FSNPROPERTYQUAL,T
MAXIMO  ,FSNPROVIDER,T
MAXIMO  ,FSNQUALIFIER,T
MAXIMO  ,FSNREFPROPERTY,T
MAXIMO  ,FSNSCHEMA,T
MAXIMO  ,FSNSQLCOLUMN,T
MAXIMO  ,FSNSQLTABLE,T
MAXIMO  ,FSNTABLEQUAL,T
MAXIMO  ,GBTEMPLATE,T
MAXIMO  ,GBTEMPLATECFG,T
MAXIMO  ,GBTEMPLATECOND,T
MAXIMO  ,GEOMETRYCONFIG,T
MAXIMO  ,GLAUTH,T
MAXIMO  ,GLCOMPONENTS,T
MAXIMO  ,GLCONFIGURE,T
MAXIMO  ,GROUPUSER,T
MAXIMO  ,GRPREASSIGNAUTH,T
MAXIMO  ,GUESTTRUSTDOMAIN,T
MAXIMO  ,GUESTTRUSTEMAIL,T
MAXIMO  ,GUESTTRUSTPOLICY,T
MAXIMO  ,HAZARD,T
MAXIMO  ,HAZARDPREC,T
MAXIMO  ,IA_COMPRAS_PREVDEMANDA,T
MAXIMO  ,IBMCONTENTCATALOG,T
MAXIMO  ,IBMCONTENTRECEIPTS,T
MAXIMO  ,IMAGEINFERENCE,T
MAXIMO  ,IMGLIB,T
MAXIMO  ,IMPROFILE,T
MAXIMO  ,INBCOMMSECURITY,T
MAXIMO  ,INBOUNDCOMM,T
MAXIMO  ,INBOUNDCOMMCFG,T
MAXIMO  ,INBXCONFIG,T
MAXIMO  ,INCIDENT,V
MAXIMO  ,INSIGHT,T
MAXIMO  ,INSIGHTFACTOR,T
MAXIMO  ,INSPCASCADEOPTION,T
MAXIMO  ,INSPECTIONFORM,T
MAXIMO  ,INSPECTIONFORMSTATUS,T
MAXIMO  ,INSPECTIONIMAGEINFERENCE,T
MAXIMO  ,INSPECTIONMVIMODEL,T
MAXIMO  ,INSPECTIONRESULT,T
MAXIMO  ,INSPFIELD,T
MAXIMO  ,INSPFIELDOPTION,T
MAXIMO  ,INSPFIELDRESULT,T
MAXIMO  ,INSPFIELDRESULTSELECTION,T
