"TABSCHEMA","TABNAME"
MAXIMO  ,ASSETUSERCUST
MAXIMO  ,BIMPRODUCT
MAXIMO  ,COMPANYSETFILTER
MAXIMO  ,COMPUTERSYSTEM
MAXIMO  ,DCLNODESINBV
MAXIMO  ,DMMAPPINGATTRIBUTEVIEW
MAXIMO  ,DPACCOMMDEVICE
MAXIMO  ,DPACCPU
MAXIMO  ,DPACDISK
MAXIMO  ,DPACDISPLAY
MAXIMO  ,DPACIMAGEDEVICE
MAXIMO  ,DPACMEDIAADAPTER
MAXIMO  ,DPACNETADAPTER
MAXIMO  ,DPACNETDEVCARD
MAXIMO  ,DPACOS
MAXIMO  ,DPACSOFTWARE
MAXIMO  ,DPACSWSUITE
MAXIMO  ,ESCCOMMLOG
MAXIMO  ,EXTNODESINASTLOCREL
MAXIMO  ,INCIDENT
MAXIMO  ,INSPRESULTFORM
MAXIMO  ,INVUSELINEREVIEW
MAXIMO  ,ITEMSETFILTER
MAXIMO  ,JOBMATERIAL
MAXIMO  ,JOBSERVICE
MAXIMO  ,JOBTOOL
MAXIMO  ,LABORVIEW
MAXIMO  ,LBSCREWVIEW
MAXIMO  ,LBSLABORVIEW
MAXIMO  ,LEASEVIEW
MAXIMO  ,LEASEVIEWLINE
MAXIMO  ,LNKCLAUSEATRNAME
MAXIMO  ,LOCATIONUSERCUST
MAXIMO  ,MASTERVIEW
MAXIMO  ,MAXPROPINSTANCE
MAXIMO  ,NETDEVICE
MAXIMO  ,NETPRINTER
MAXIMO  ,OOG_INVENTORY_CURBAL
MAXIMO  ,OOG_ORAIMP_PO
MAXIMO  ,OOG_ORAIMP_PO_PL
MAXIMO  ,OOG_PO_SUM_ITEM
MAXIMO  ,OOG_PR_SUM_ITEM
MAXIMO  ,OOG_VIEW_INV_DETAILS
MAXIMO  ,OOG_VW_INVENTORY_INFO
MAXIMO  ,ORGFILTER
MAXIMO  ,PERSONGROUPVIEW
MAXIMO  ,PLUSGACCESSPERMIT
MAXIMO  ,PLUSGACSPERACC
MAXIMO  ,PLUSGACSPERCTRSIGN
MAXIMO  ,PLUSGACSPERISS
MAXIMO  ,PLUSGACSPERLOCS
MAXIMO  ,PLUSGACSPERMULTISITECHK
MAXIMO  ,PLUSGACSPERREVACT
MAXIMO  ,PLUSGACSPERSTDACT
MAXIMO  ,PLUSGACT
MAXIMO  ,PLUSGBYP
MAXIMO  ,PLUSGDRL
MAXIMO  ,PLUSGIMPROVE
MAXIMO  ,PLUSGISOLATION
MAXIMO  ,PLUSGMOC
MAXIMO  ,PLUSGMOCREQUEST
MAXIMO  ,PLUSGRUNLOG
MAXIMO  ,PROBLEM
MAXIMO  ,PURCHVIEW
MAXIMO  ,RECONASSETLINK
MAXIMO  ,RECONASSETRESULT
MAXIMO  ,RECONATTRCLAUSE
MAXIMO  ,RECONCILINK
MAXIMO  ,RECONCIRESULT
MAXIMO  ,RECONCOMPFLTRAST
MAXIMO  ,RECONCOMPFLTRDPA
MAXIMO  ,RECONCOMPRULE
MAXIMO  ,RECONLINKCLAUSE
MAXIMO  ,RECONLINKRULE
MAXIMO  ,RECONRCDCLAUSE
MAXIMO  ,SCHLEASEVIEW
MAXIMO  ,SCHPURCHVIEW
MAXIMO  ,SCHWARRANTYVIEW
MAXIMO  ,SERVICEITEMS
MAXIMO  ,SERVICEOBJECT
MAXIMO  ,SFWVIEW
MAXIMO  ,SFWVIEWLINE
MAXIMO  ,SITEFILTER
MAXIMO  ,SKDEXTRACAPCRAFTVIEW
MAXIMO  ,SKDEXTRACAPCREWVIEW
MAXIMO  ,SKDEXTRACAPTOOLVIEW
MAXIMO  ,SR
MAXIMO  ,TLOAMASSETCONTRACT
MAXIMO  ,TLOAMDPAPARENT
MAXIMO  ,TLOAMPROMOTE
MAXIMO  ,TOOLINV
MAXIMO  ,TOOLITEM
MAXIMO  ,UNASSIGNEDWORKVIEW
MAXIMO  ,VIEWSECURITYDET
MAXIMO  ,WARRANTYVIEW
MAXIMO  ,WARRANTYVIEWLINE
MAXIMO  ,WMASSIGNMENT
MAXIMO  ,WOACTIVITY
MAXIMO  ,WOASSETUSERCUST
MAXIMO  ,WOCHANGE
MAXIMO  ,WOLOCUSERCUST
MAXIMO  ,WORELEASE
MAXIMO  ,WPMATERIAL
MAXIMO  ,WPSERVICE
MAXIMO  ,WPTOOL
