"USERID","PERSONID","STATUS","DEFSITE","TYPE","GROUPNAME"
A.SANTIAGO,A.SANTIAGO,INACTIVE,BASE-UNP,TYPE 4,MAXEVERYONE
A.SANTIAGO,A.SANTIAGO,INACTIVE,BASE-UNP,TYPE 4,OOG_TRANSPORTADOR
AARONCAMPBELL,AARONCAMPBELL,INACTIVE,HTQ,TYPE 1,MAXEVERYONE
AARONCAMPBELL,AARONCAMPBELL,INACTIVE,HTQ,TYPE 1,OOG_ALL_DRILLING
AARONCAMPBELL,AARONCAMPBELL,INACTIVE,HTQ,TYPE 1,OOG_DEFSITE_DATA_RESTRICTIONS
AARONCAMPBELL,AARONCAMPBELL,INACTIVE,HTQ,TYPE 1,OOG_ISOLATION_MANAGER
AARONCAMPBELL,AARONCAMPBELL,INACTIVE,HTQ,TYPE 1,OOG_MAINTENANCE_COORDINATOR
AARONCAMPBELL,AARONCAMPBELL,INACTIVE,HTQ,TYPE 1,OOG_MOC_OPENERS
ABPOL,ABPOL,ACTIVE,POL,TYPE 1,MAXDEFLTREG
ABPOL,ABPOL,ACTIVE,POL,TYPE 1,MAXEVERYONE
ABPOL,ABPOL,ACTIVE,POL,TYPE 1,PRIO_MATERIALS_COORDINATOR
ABPOL,ABPOL,ACTIVE,POL,TYPE 1,PRIO_REGISTER
ABPOL,ABPOL,ACTIVE,POL,TYPE 1,PRIO_USERS
ADEMIRJUNIOR,ADEMIRJUNIOR,ACTIVE,N06,TYPE 3,MAXEVERYONE
ADEMIRJUNIOR,ADEMIRJUNIOR,ACTIVE,N06,TYPE 3,OOG_ALL_DRILLING
ADEMIRJUNIOR,ADEMIRJUNIOR,ACTIVE,N06,TYPE 3,OOG_REPAIR_RETURN
ADEMIRJUNIOR,ADEMIRJUNIOR,ACTIVE,N06,TYPE 3,OOG_REQUISITANTET
ADHARALEAO,ADHARALEAO,INACTIVE,OP-BASE,TYPE 1,MAXEVERYONE
ADHARALEAO,ADHARALEAO,INACTIVE,OP-BASE,TYPE 1,OOG_ALL_DRILLING
ADHARALEAO,ADHARALEAO,INACTIVE,OP-BASE,TYPE 1,OOG_BASE_READ_ONLY
ADILSONBEZERRA,ADILSONBEZERRA,INACTIVE,OP-BASE,TYPE 1,MAXEVERYONE
ADILSONBEZERRA,ADILSONBEZERRA,INACTIVE,OP-BASE,TYPE 1,OOG_ALL_DRILLING
ADILSONBEZERRA,ADILSONBEZERRA,INACTIVE,OP-BASE,TYPE 1,OOG_BASE_READ_ONLY
ADILSONBEZERRA,ADILSONBEZERRA,INACTIVE,OP-BASE,TYPE 1,OOG_MOCDOC_EMISSOR
ADRIANBALZANA,ADRIANBALZANA,INACTIVE,BASE-UNP,TYPE 1,MAXEVERYONE
ADRIANBALZANA,ADRIANBALZANA,INACTIVE,BASE-UNP,TYPE 1,OOG_ALL_DRILLING
ADRIANBALZANA,ADRIANBALZANA,INACTIVE,BASE-UNP,TYPE 1,OOG_ASSET_COORDINATOR
ADRIANBALZANA,ADRIANBALZANA,INACTIVE,BASE-UNP,TYPE 1,OOG_BASE_READ_ONLY
ADRIANBALZANA,ADRIANBALZANA,INACTIVE,BASE-UNP,TYPE 1,OOG_DEPARTMENT_LEADER
ADRIANBALZANA,ADRIANBALZANA,INACTIVE,BASE-UNP,TYPE 1,OOG_MOCDOC_EMISSOR
ADRIANBALZANA,ADRIANBALZANA,INACTIVE,BASE-UNP,TYPE 1,OOG_PROJECT_ENGINEER
ADRIANOCALIXTO,ADRIANOCALIXTO,ACTIVE,N06,TYPE 2,MAXEVERYONE
ADRIANOCALIXTO,ADRIANOCALIXTO,ACTIVE,N06,TYPE 2,OOG_ALL_DRILLING
ADRIANOCALIXTO,ADRIANOCALIXTO,ACTIVE,N06,TYPE 2,OOG_ASSET_MANAGER
ADRIANOCALIXTO,ADRIANOCALIXTO,ACTIVE,N06,TYPE 2,OOG_DEFSITE_DATA_RESTRICTIONS
ADRIANOCALIXTO,ADRIANOCALIXTO,ACTIVE,N06,TYPE 2,OOG_DEPARTMENT_LEADER
ADRIANOCALIXTO,ADRIANOCALIXTO,ACTIVE,N06,TYPE 2,OOG_ENGINEER_COORDINATOR
ADRIANOCALIXTO,ADRIANOCALIXTO,ACTIVE,N06,TYPE 2,OOG_ISOLATION_MANAGER
ADRIANOCALIXTO,ADRIANOCALIXTO,ACTIVE,N06,TYPE 2,OOG_MAINTENANCE_COORDINATOR
ADRIANOCALIXTO,ADRIANOCALIXTO,ACTIVE,N06,TYPE 2,OOG_MOC_OPENERS
ADRIANOCALIXTO,ADRIANOCALIXTO,ACTIVE,N06,TYPE 2,OOG_PROJECT_ENGINEER
ADRIANOCALIXTO,ADRIANOCALIXTO,ACTIVE,N06,TYPE 2,OOG_PTW_ISSUER
ADRIANOCALIXTO,ADRIANOCALIXTO,ACTIVE,N06,TYPE 2,OOG_SUPERVISOR
ADRIANOCALIXTO,ADRIANOCALIXTO,ACTIVE,N06,TYPE 2,TUTOR_GROUP
ADRIENNELIMA,ADRIENNELIMA,DELETED,ODN3,TYPE 1,
AGATHAALVARENGA,AGATHAALVARENGA,INACTIVE,OP-BASE,TYPE 1,MAXEVERYONE
AGATHAALVARENGA,AGATHAALVARENGA,INACTIVE,OP-BASE,TYPE 1,OOG_ALL_DRILLING
ALANBARROSO,ALANBARROSO,INACTIVE,ODN2,TYPE 1,MAXEVERYONE
