ENVIRONMENT,GROUPNAME,DESCRIPTION,INDEPENDENT,AUTHALLSITES,AUTHALLGLS,AUTHALLSTOREROOMS,AUTHLABORALL,AUTHLABORCREW,AUTHLABORSELF,AUTHLABORSUPER,AUTHPERSONGROUP,DFLTAPP,WORKCENTER
BASE,OOG_DEPARTMENT_LEADER,Department Leader,0,0,0,0,1,0,0,0,0,-,-
BASE,OOG_MAINTENANCE_LEADER,Maintenance Leader,0,0,0,0,0,0,0,0,0,-,-
BASE,OOG_FIELD_SUPPORT,Field Support,0,0,0,0,0,0,0,0,0,-,-
BASE,MAXADMIN,Maximo Administrators (Super Users),1,1,1,1,1,0,0,0,0,-,-
BASE,MAXREG,Self Registration Process Access,1,0,0,0,0,0,0,0,0,-,-
BASE,MAXDEFLTREG,New User,0,0,0,0,0,0,0,0,0,-,-
BASE,MAXEVERYONE,All Maximo Users,0,0,1,0,0,0,0,0,0,-,-
BASE,OOG_MOCPEO_EMISSOR,Emissor da MOC - People,0,1,0,0,0,0,0,0,0,-,-
BASE,OOG_ASSIST_RIGMGR,Assistant Rig Manager,0,0,0,0,0,0,0,0,0,-,-
BASE,OOG_MOCDOC_EMISSOR,Emissor da MOC - Documents,0,0,0,0,0,0,0,0,0,-,-
BASE,OOG_MOCDOC_APROVADOR,Aprovador da MOC - Documents,0,1,0,0,0,0,0,0,0,-,-
BASE,OOG_MOCPEO_APROVADOR,Aprovador da MOC - People,0,1,0,0,0,0,0,0,0,-,-
BASE,OOG_MOCPEO_GESTOR,Gestor da MOC - People,0,1,0,0,0,0,0,0,0,-,-
BASE,OOG_MOC_APPROVERS,Group for all MOC approvers,0,1,0,0,0,0,0,0,0,-,-
BASE,OOG_MOCDOC_GESTOR,Gestor da MOC - Documents,0,1,0,0,0,0,0,0,0,-,-
BASE,OOG_MOC_OPENERS,People that open MOCs O&Fs,0,1,0,0,0,0,0,0,0,-,-
BASE,OOG_ASSET_MANAGER,Asset Manager,0,1,0,0,1,0,0,0,0,-,-
BASE,OOG_BASE_READ_ONLY,Base Read Only,0,1,0,0,1,0,0,0,0,-,-
BASE,MAXREADONLYSPPT,Maximo Read Only Access for Support,0,1,1,1,1,0,0,0,0,-,-
