ENVIRONMENT,APPNAME,MODULE,SELFSERVICE,LIMITEDUSE,AUTHORIZEDUSE
BASE,DPAMSWUSG,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,KPI,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,KPITPL,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,LABOR,SETUP,NOACCESS,READSAVE,FULLACCESS
BASE,MPMAN,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,MULTISITE,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,PERSON,SETUP,NOACCESS,READSAVE,FULLACCESS
BASE,PERSONGR,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,QUAL,SETUP,NOACCESS,READSAVE,FULLACCESS
BASE,RCNASTLINK,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,RCNASTRSLT,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,RCNCILINK,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,RCNCIRSLT,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,RCNCMPRULE,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,RCNLNKRULE,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,RCNTSKFLTR,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,RECONTASK,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,REPORT,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,RLADMIN,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,SETS,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,SRVAD,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,TLOAMSWCTG,SETUP,NOACCESS,NOACCESS,NOACCESS
BASE,WORKVIEW,SETUP,NOACCESS,FULLACCESS,FULLACCESS
BASE,WORKZONE,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,SLA,SLA,NOACCESS,READSAVE,FULLACCESS
BASE,SRVCOMMOD,SLA,NOACCESS,READONLY,FULLACCESS
BASE,CREATEDR,SSDR,FULLACCESS,FULLACCESS,FULLACCESS
BASE,CREATESR,SSDR,FULLACCESS,FULLACCESS,FULLACCESS
BASE,SEARCHSOL,SSDR,FULLACCESS,FULLACCESS,FULLACCESS
BASE,VIEWDR,SSDR,FULLACCESS,FULLACCESS,FULLACCESS
BASE,VIEWDRFT,SSDR,FULLACCESS,FULLACCESS,FULLACCESS
BASE,VIEWSR,SSDR,FULLACCESS,FULLACCESS,FULLACCESS
BASE,VIEWTMPL,SSDR,FULLACCESS,FULLACCESS,FULLACCESS
BASE,ACTION,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,AUTOSCRIPT,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,COMMTMPLT,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,CONFIGUR,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,CRONTASK,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,DEPLCOLLS,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,DEPLGROUPS,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,DESIGNER,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,DM,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,DOMAINADM,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,EMAILSTNER,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,ESCALATION,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,IBMCONTENT,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,IMICONF,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,LOGGING,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,MFMAILCFG,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,PROPMAINT,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,ROLE,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,WFADMIN,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,WFDESIGN,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,LABREP,WO,NOACCESS,FULLACCESS,FULLACCESS
BASE,QUICKREP,WO,NOACCESS,FULLACCESS,FULLACCESS
BASE,WORKMAN,WO,NOACCESS,READONLY,FULLACCESS
BASE,WOTRACK,WO,NOACCESS,FULLACCESS,FULLACCESS
BASE,PLUSTASCAT,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,PLUSTORG,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,PLUSTPOS,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,PLUSTCOMP,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,PLUSTAXCFG,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,PLUSTASSET,ASSET,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSTTMPLT,ASSET,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSTLOC,ASSET,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSTLOGS,ASSET,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSTPOCON,CONTRACT,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSTIWC,PLUSTWARR,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSTCLAIM,PLUSTWARR,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSTAWC,PLUSTWARR,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSTCLIP,WO,NOACCESS,READONLY,FULLACCESS
BASE,PLUSTQRP,WO,NOACCESS,FULLACCESS,FULLACCESS
BASE,PLUSTWO,WO,NOACCESS,FULLACCESS,FULLACCESS
BASE,PLUSTLRP,WO,NOACCESS,FULLACCESS,FULLACCESS
BASE,PLUSTCMP,WO,NOACCESS,READONLY,FULLACCESS
BASE,PLUSTWRKMN,WO,NOACCESS,READONLY,FULLACCESS
BASE,PLUSTINSP,WO,NOACCESS,READONLY,FULLACCESS
BASE,PLUSTPR,PURCHASE,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSTPO,PURCHASE,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSTREC,PURCHASE,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSTIVO,PURCHASE,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSTRFQ,PURCHASE,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSTPM,PM,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSTMASPM,PM,NOACCESS,READONLY,FULLACCESS
BASE,PLUSTJP,PLANS,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSTASLT,PLANS,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSTRS,PLUSTMP,NOACCESS,READONLY,FULLACCESS
BASE,PLUSTVS,PLUSTMP,NOACCESS,READONLY,FULLACCESS
BASE,PLUSTVR,PLUSTMP,NOACCESS,READONLY,FULLACCESS
BASE,PLUSTITM,INVENTOR,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSTINV,INVENTOR,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSTISS,INVENTOR,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSTFLISS,INVENTOR,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSTCOUNT,INVENTOR,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSTSTKRG,INVENTOR,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGBEN,PLANS,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGCFW,PLANS,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGHAZ,PLANS,NOACCESS,READONLY,FULLACCESS
BASE,PLUSGISO,PLANS,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGJP,PLANS,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGTGLCK,PLANS,NOACCESS,READONLY,FULLACCESS
BASE,PLUSGPCT,PLANS,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGPTW,PLANS,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGPREC,PLANS,NOACCESS,READONLY,FULLACCESS
BASE,PLUSGRFW,PLANS,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGREG,PLANS,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGRSK,PLANS,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGCON,PLANS,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGROU,PLANS,NOACCESS,READONLY,FULLACCESS
BASE,PLUSGSTAG,PLANS,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGSTA,PLANS,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGPM,PM,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGPO,PURCHASE,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGPR,PURCHASE,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGAUDIT,PLUSGSD,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGCERT,PLUSGSD,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGDEF,PLUSGSD,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGINC,PLUSGSD,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGINV,PLUSGSD,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGSR,PLUSGSD,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGSOL,PLUSGSD,FULLACCESS,FULLACCESS,FULLACCESS
BASE,PLUSGTKTMP,PLUSGSD,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGCRINC,SSDR,FULLACCESS,FULLACCESS,FULLACCESS
BASE,PLUSGVWINC,SSDR,FULLACCESS,FULLACCESS,FULLACCESS
BASE,PLUSGACT,WO,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGDRL,WO,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSGQRP,WO,NOACCESS,FULLACCESS,FULLACCESS
BASE,PLUSGWO,WO,NOACCESS,FULLACCESS,FULLACCESS
BASE,COGNOSHOME,ANALYTICS,NOACCESS,READONLY,FULLACCESS
BASE,KPIVIEWER,ANALYTICS,NOACCESS,FULLACCESS,FULLACCESS
BASE,RPTOUTPUT,ANALYTICS,READONLY,FULLACCESS,FULLACCESS
BASE,ASSET,ASSET,NOACCESS,READSAVE,FULLACCESS
BASE,COND,ASSET,NOACCESS,READONLY,FULLACCESS
BASE,DPLDASSET,ASSET,NOACCESS,NOACCESS,NOACCESS
BASE,FAILURE,ASSET,NOACCESS,READONLY,FULLACCESS
BASE,FEATURE,ASSET,NOACCESS,READSAVE,FULLACCESS
BASE,LOCATION,ASSET,NOACCESS,READSAVE,FULLACCESS
BASE,METER,ASSET,NOACCESS,READONLY,FULLACCESS
BASE,METERGRP,ASSET,NOACCESS,READONLY,FULLACCESS
BASE,NDASSET,ASSET,NOACCESS,NOACCESS,NOACCESS
BASE,NPASSET,ASSET,NOACCESS,NOACCESS,NOACCESS
BASE,PLUSCTMPLT,ASSET,NOACCESS,READSAVE,FULLACCESS
BASE,RELATION,ASSET,NOACCESS,READONLY,FULLACCESS
BASE,SFWLICVIEW,ASSET,NOACCESS,NOACCESS,NOACCESS
BASE,ACTIVITY,WO,NOACCESS,FULLACCESS,FULLACCESS
BASE,CHANGE,CHANGE,NOACCESS,FULLACCESS,FULLACCESS
BASE,ACTUALCI,CI,NOACCESS,READSAVE,FULLACCESS
BASE,CI,CI,NOACCESS,READONLY,FULLACCESS
BASE,COLLECTION,CI,NOACCESS,READONLY,FULLACCESS
BASE,CONTLABOR,CONTRACT,NOACCESS,READSAVE,FULLACCESS
BASE,CONTLEASE,CONTRACT,NOACCESS,READSAVE,FULLACCESS
BASE,CONTMASTER,CONTRACT,NOACCESS,READSAVE,FULLACCESS
BASE,CONTPURCH,CONTRACT,NOACCESS,READSAVE,FULLACCESS
BASE,CONTSFW,CONTRACT,NOACCESS,NOACCESS,NOACCESS
BASE,CONTWARRTY,CONTRACT,NOACCESS,READSAVE,FULLACCESS
BASE,CHRTACCT,FINANCIAL,NOACCESS,READONLY,FULLACCESS
BASE,CURRENCY,FINANCIAL,NOACCESS,READONLY,FULLACCESS
BASE,EXCHANGE,FINANCIAL,NOACCESS,READONLY,FULLACCESS
BASE,FINCNTRL,FINANCIAL,NOACCESS,READONLY,FULLACCESS
BASE,CREATEINT,INT,NOACCESS,READONLY,FULLACCESS
BASE,ENDPOINT,INT,NOACCESS,READONLY,FULLACCESS
BASE,EXTSYSTEM,INT,NOACCESS,READONLY,FULLACCESS
BASE,IM,INT,NOACCESS,READONLY,FULLACCESS
BASE,INTERROR,INT,NOACCESS,READONLY,FULLACCESS
BASE,INTMSGTRK,INT,NOACCESS,READONLY,FULLACCESS
BASE,INTOBJECT,INT,NOACCESS,READONLY,FULLACCESS
BASE,INTSRV,INT,NOACCESS,READONLY,FULLACCESS
BASE,INVOKE,INT,NOACCESS,READONLY,FULLACCESS
BASE,LAUNCH,INT,NOACCESS,READONLY,FULLACCESS
BASE,LMO,INT,NOACCESS,READONLY,FULLACCESS
BASE,MANAGEINT,INT,NOACCESS,READONLY,FULLACCESS
BASE,OSLCPROV,INT,NOACCESS,READONLY,FULLACCESS
BASE,OSLCRES,INT,NOACCESS,READONLY,FULLACCESS
BASE,PUBLISH,INT,NOACCESS,READONLY,FULLACCESS
BASE,WSREGISTRY,INT,NOACCESS,READONLY,FULLACCESS
BASE,CONDCODE,INVENTOR,NOACCESS,READSAVE,FULLACCESS
BASE,INVENTOR,INVENTOR,NOACCESS,READSAVE,FULLACCESS
BASE,INVISSUE,INVENTOR,NOACCESS,READSAVE,FULLACCESS
BASE,INVUSAGE,INVENTOR,NOACCESS,READSAVE,FULLACCESS
BASE,ITEM,INVENTOR,NOACCESS,READSAVE,FULLACCESS
BASE,SHIPREC,INVENTOR,NOACCESS,READONLY,FULLACCESS
BASE,SRVITEM,INVENTOR,NOACCESS,READSAVE,FULLACCESS
BASE,STOREROOM,INVENTOR,NOACCESS,READONLY,FULLACCESS
BASE,TOOL,INVENTOR,NOACCESS,READSAVE,FULLACCESS
BASE,TOOLINV,INVENTOR,NOACCESS,READSAVE,FULLACCESS
BASE,HAZARDS,PLANS,NOACCESS,READONLY,FULLACCESS
BASE,JOBPLAN,PLANS,NOACCESS,READSAVE,FULLACCESS
BASE,PRECAUTN,PLANS,NOACCESS,READONLY,FULLACCESS
BASE,ROUTES,PLANS,NOACCESS,READONLY,FULLACCESS
BASE,SAFEPLAN,PLANS,NOACCESS,READONLY,FULLACCESS
BASE,TAGLOCKS,PLANS,NOACCESS,READONLY,FULLACCESS
BASE,MASTERPM,PM,NOACCESS,READONLY,FULLACCESS
BASE,PM,PM,NOACCESS,READSAVE,FULLACCESS
BASE,COMPANY,PURCHASE,NOACCESS,READONLY,FULLACCESS
BASE,COMPMASTER,PURCHASE,NOACCESS,READONLY,FULLACCESS
BASE,INVOICE,PURCHASE,NOACCESS,READSAVE,FULLACCESS
BASE,PO,PURCHASE,NOACCESS,READSAVE,FULLACCESS
BASE,PR,PURCHASE,NOACCESS,READSAVE,FULLACCESS
BASE,RECEIPTS,PURCHASE,NOACCESS,READONLY,FULLACCESS
BASE,RFQ,PURCHASE,NOACCESS,READSAVE,FULLACCESS
BASE,TERMCOND,PURCHASE,NOACCESS,READONLY,FULLACCESS
BASE,RELEASE,RELEASE,NOACCESS,FULLACCESS,FULLACCESS
BASE,INCIDENT,SD,NOACCESS,READSAVE,FULLACCESS
BASE,PROBLEM,SD,NOACCESS,READSAVE,FULLACCESS
BASE,SOLUTION,SD,NOACCESS,READSAVE,FULLACCESS
BASE,SR,SD,NOACCESS,READSAVE,FULLACCESS
BASE,TKTEMPLATE,SD,NOACCESS,READSAVE,FULLACCESS
