ENVIRONMENT,LICENSENUM,APPNAME,ACCESSLEVEL,MODULE,MAXPRODID
BASE,O&G_LIMITED,PLUSGINV,READSAVE,PLUSGSD,OILGAS
BASE,O&G_LIMITED,PLUSGCFW,READSAVE,PLANS,OILGAS
BASE,O&G_LIMITED,RELEASE,NOACCESS,RELEASE,OILGAS
BASE,O&G_LIMITED,CHANGE,NOACCESS,CHANGE,OILGAS
BASE,O&G_LIMITED,PLUSGVWINC,FULLACCESS,SSDR,OILGAS
BASE,O&G_LIMITED,PLUSGTKTMP,READSAVE,PLUSGSD,OILGAS
BASE,O&G_LIMITED,PLUSGLPROF,READSAVE,ASSET,OILGAS
BASE,O&G_LIMITED,PLUSGPREC,READONLY,PLANS,OILGAS
BASE,O&G_LIMITED,PLUSGQUAL,READSAVE,SETUP,OILGAS
BASE,O&G_LIMITED,PLUSGOPTSK,FULLACCESS,PLUSGOP,OILGAS
BASE,O&G_LIMITED,PLUSGPROC,READSAVE,PLUSGOP,OILGAS
BASE,O&G_LIMITED,PLUSGHAZ,READONLY,PLANS,OILGAS
BASE,O&G_LIMITED,PLUSGRSK,READSAVE,PLANS,OILGAS
BASE,O&G_LIMITED,PLUSGCON,READSAVE,PLANS,OILGAS
BASE,O&G_LIMITED,PLUSGSOL,FULLACCESS,PLUSGSD,OILGAS
BASE,O&G_LIMITED,PLUSGPRS,READSAVE,SETUP,OILGAS
BASE,O&G_LIMITED,PLUSGLOC,READSAVE,ASSET,OILGAS
BASE,O&G_LIMITED,PLUSGASS,READSAVE,ASSET,OILGAS
BASE,O&G_LIMITED,PLUSGMCR,READSAVE,PLUSGCHG,OILGAS
BASE,O&G_LIMITED,PLUSGCRINC,FULLACCESS,SSDR,OILGAS
BASE,O&G_LIMITED,PLUSGISO,READSAVE,PLANS,OILGAS
BASE,O&G_LIMITED,PLUSGBYP,READSAVE,PLUSGOP,OILGAS
BASE,O&G_LIMITED,PLUSGAUDIT,READSAVE,PLUSGSD,OILGAS
BASE,O&G_LIMITED,PLUSGPTW,READSAVE,PLANS,OILGAS
BASE,O&G_LIMITED,PLUSGPO,READSAVE,PURCHASE,OILGAS
BASE,O&G_LIMITED,PLUSGRLOG,READSAVE,PLUSGOP,OILGAS
BASE,O&G_LIMITED,PLUSGDRL,READSAVE,WO,OILGAS
BASE,O&G_LIMITED,PLUSGSTAG,READSAVE,PLANS,OILGAS
BASE,O&G_LIMITED,PLUSGLOG,READSAVE,PLUSGOP,OILGAS
BASE,O&G_LIMITED,PLUSGWO,FULLACCESS,WO,OILGAS
BASE,O&G_LIMITED,PLUSGQRP,FULLACCESS,WO,OILGAS
BASE,O&G_LIMITED,PLUSGORG,READONLY,SETUP,OILGAS
BASE,O&G_LIMITED,PLUSGINC,READSAVE,PLUSGSD,OILGAS
BASE,O&G_LIMITED,PLUSGMOC,READSAVE,PLUSGCHG,OILGAS
BASE,O&G_LIMITED,PLUSGREG,READSAVE,PLANS,OILGAS
BASE,O&G_LIMITED,PLUSGDEF,READSAVE,PLUSGSD,OILGAS
BASE,O&G_LIMITED,INCIDENT,NOACCESS,SD,OILGAS
BASE,O&G_LIMITED,PLUSGOPACT,READSAVE,PLUSGOP,OILGAS
BASE,O&G_LIMITED,PLUSGLOGBK,READSAVE,PLUSGOP,OILGAS
BASE,O&G_LIMITED,PLUSGCERT,READSAVE,PLUSGSD,OILGAS
BASE,O&G_LIMITED,PLUSGTGLCK,READONLY,PLANS,OILGAS
BASE,O&G_LIMITED,PLUSGPR,READSAVE,PURCHASE,OILGAS
BASE,O&G_LIMITED,PLUSGITEM,READSAVE,INVENTOR,OILGAS
BASE,O&G_LIMITED,PLUSGPOL,READSAVE,PLUSGOP,OILGAS
BASE,O&G_LIMITED,PLUSGSR,READSAVE,PLUSGSD,OILGAS
BASE,O&G_LIMITED,PLUSGPCT,READSAVE,PLANS,OILGAS
BASE,O&G_LIMITED,PLUSGSTA,READSAVE,PLANS,OILGAS
BASE,O&G_LIMITED,PLUSGROU,READONLY,PLANS,OILGAS
BASE,O&G_LIMITED,PLUSGPM,READSAVE,PM,OILGAS
BASE,O&G_LIMITED,PLUSGJP,READSAVE,PLANS,OILGAS
BASE,O&G_LIMITED,PLUSGAL,READONLY,PLANS,OILGAS
BASE,O&G_LIMITED,PLUSGACT,READSAVE,WO,OILGAS
BASE,O&G_LIMITED,PLUSGRFW,READSAVE,PLANS,OILGAS
BASE,O&G_LIMITED,PLUSGIMP,READSAVE,PLUSGCHG,OILGAS
BASE,O&G_LIMITED,PLUSGBEN,READSAVE,PLANS,OILGAS
BASE,O&G_LIMITED,PROBLEM,NOACCESS,SD,OILGAS
BASE,O&G_LIMITED,ACTIVITY,FULLACCESS,WO,MAXIMO
BASE,O&G_LIMITED,ASSET,READSAVE,ASSET,MAXIMO
BASE,O&G_LIMITED,PLUSCTMPLT,READSAVE,ASSET,MAXIMO
BASE,O&G_LIMITED,WORKMAN,READONLY,WO,MAXIMO
BASE,O&G_LIMITED,AUTOSCRIPT,READONLY,UTIL,MAXIMO
BASE,O&G_LIMITED,COLLECTION,READONLY,CI,MAXIMO
BASE,O&G_LIMITED,COMPANY,READONLY,PURCHASE,MAXIMO
BASE,O&G_LIMITED,COMPMASTER,READONLY,PURCHASE,MAXIMO
BASE,O&G_LIMITED,CONDCODE,READSAVE,INVENTOR,MAXIMO
BASE,O&G_LIMITED,COND,READONLY,ASSET,MAXIMO
BASE,O&G_LIMITED,CONDEXPMGR,READSAVE,SETUP,MAXIMO
BASE,O&G_LIMITED,FINCNTRL,READONLY,FINANCIAL,MAXIMO
BASE,O&G_LIMITED,CREATEINT,READONLY,INT,MAXIMO
BASE,O&G_LIMITED,CRAFT,READONLY,SETUP,MAXIMO
BASE,O&G_LIMITED,CREATEDR,FULLACCESS,SSDR,MAXIMO
BASE,O&G_LIMITED,CREATESR,FULLACCESS,SSDR,MAXIMO
BASE,O&G_LIMITED,ENDPOINT,READONLY,INT,MAXIMO
BASE,O&G_LIMITED,INTSRV,READONLY,INT,MAXIMO
BASE,O&G_LIMITED,EXTSYSTEM,READONLY,INT,MAXIMO
BASE,O&G_LIMITED,FAILURE,READONLY,ASSET,MAXIMO
BASE,O&G_LIMITED,HAZARDS,READONLY,PLANS,MAXIMO
BASE,O&G_LIMITED,IM,READONLY,INT,MAXIMO
BASE,O&G_LIMITED,INVENTOR,READSAVE,INVENTOR,MAXIMO
BASE,O&G_LIMITED,INVUSAGE,READSAVE,INVENTOR,MAXIMO
BASE,O&G_LIMITED,INVOKE,READONLY,INT,MAXIMO
BASE,O&G_LIMITED,INVOICE,READSAVE,PURCHASE,MAXIMO
BASE,O&G_LIMITED,ITEM,READSAVE,INVENTOR,MAXIMO
BASE,O&G_LIMITED,JOBPLAN,READSAVE,PLANS,MAXIMO
BASE,O&G_LIMITED,LABOR,READSAVE,SETUP,MAXIMO
BASE,O&G_LIMITED,CONTLABOR,READSAVE,CONTRACT,MAXIMO
BASE,O&G_LIMITED,LABREP,FULLACCESS,WO,MAXIMO
BASE,O&G_LIMITED,LAUNCH,READONLY,INT,MAXIMO
BASE,O&G_LIMITED,CONTLEASE,READSAVE,CONTRACT,MAXIMO
BASE,O&G_LIMITED,LOCATION,READSAVE,ASSET,MAXIMO
BASE,O&G_LIMITED,TAGLOCKS,READONLY,PLANS,MAXIMO
BASE,O&G_LIMITED,LMO,READONLY,INT,MAXIMO
BASE,O&G_LIMITED,MANAGEINT,READONLY,INT,MAXIMO
BASE,O&G_LIMITED,CONTMASTER,READSAVE,CONTRACT,MAXIMO
BASE,O&G_LIMITED,MASTERPM,READONLY,PM,MAXIMO
BASE,O&G_LIMITED,INTERROR,READONLY,INT,MAXIMO
BASE,O&G_LIMITED,INTMSGTRK,READONLY,INT,MAXIMO
BASE,O&G_LIMITED,METERGRP,READONLY,ASSET,MAXIMO
BASE,O&G_LIMITED,METER,READONLY,ASSET,MAXIMO
BASE,O&G_LIMITED,DEPLGROUPS,READONLY,UTIL,MAXIMO
BASE,O&G_LIMITED,DM,READONLY,UTIL,MAXIMO
BASE,O&G_LIMITED,DEPLCOLLS,READONLY,UTIL,MAXIMO
BASE,O&G_LIMITED,PRECAUTN,READONLY,PLANS,MAXIMO
BASE,O&G_LIMITED,PM,READSAVE,PM,MAXIMO
BASE,O&G_LIMITED,PUBLISH,READONLY,INT,MAXIMO
BASE,O&G_LIMITED,CONTPURCH,READSAVE,CONTRACT,MAXIMO
BASE,O&G_LIMITED,PO,READSAVE,PURCHASE,MAXIMO
BASE,O&G_LIMITED,PR,READSAVE,PURCHASE,MAXIMO
BASE,O&G_AUTHORIZED,PLUSGINV,FULLACCESS,PLUSGSD,OILGAS
BASE,O&G_AUTHORIZED,PLUSGCFW,FULLACCESS,PLANS,OILGAS
BASE,O&G_AUTHORIZED,RELEASE,NOACCESS,RELEASE,OILGAS
BASE,O&G_AUTHORIZED,CHANGE,NOACCESS,CHANGE,OILGAS
BASE,O&G_AUTHORIZED,PLUSGVWINC,FULLACCESS,SSDR,OILGAS
BASE,O&G_AUTHORIZED,PLUSGTKTMP,FULLACCESS,PLUSGSD,OILGAS
BASE,O&G_AUTHORIZED,PLUSGLPROF,FULLACCESS,ASSET,OILGAS
BASE,O&G_AUTHORIZED,PLUSGPREC,FULLACCESS,PLANS,OILGAS
BASE,O&G_AUTHORIZED,PLUSGQUAL,FULLACCESS,SETUP,OILGAS
BASE,O&G_AUTHORIZED,PLUSGOPTSK,FULLACCESS,PLUSGOP,OILGAS
BASE,O&G_AUTHORIZED,PLUSGPROC,FULLACCESS,PLUSGOP,OILGAS
BASE,O&G_AUTHORIZED,PLUSGHAZ,FULLACCESS,PLANS,OILGAS
BASE,O&G_AUTHORIZED,PLUSGRSK,FULLACCESS,PLANS,OILGAS
BASE,O&G_AUTHORIZED,PLUSGCON,FULLACCESS,PLANS,OILGAS
BASE,O&G_AUTHORIZED,PLUSGSOL,FULLACCESS,PLUSGSD,OILGAS
BASE,O&G_AUTHORIZED,PLUSGPRS,FULLACCESS,SETUP,OILGAS
BASE,O&G_AUTHORIZED,PLUSGLOC,FULLACCESS,ASSET,OILGAS
BASE,O&G_AUTHORIZED,PLUSGASS,FULLACCESS,ASSET,OILGAS
BASE,O&G_AUTHORIZED,PLUSGMCR,FULLACCESS,PLUSGCHG,OILGAS
BASE,O&G_AUTHORIZED,PLUSGCRINC,FULLACCESS,SSDR,OILGAS
BASE,O&G_AUTHORIZED,PLUSGISO,FULLACCESS,PLANS,OILGAS
BASE,O&G_AUTHORIZED,PLUSGBYP,FULLACCESS,PLUSGOP,OILGAS
BASE,O&G_AUTHORIZED,PLUSGAUDIT,FULLACCESS,PLUSGSD,OILGAS
BASE,O&G_AUTHORIZED,PLUSGPTW,FULLACCESS,PLANS,OILGAS
BASE,O&G_AUTHORIZED,PLUSGPO,FULLACCESS,PURCHASE,OILGAS
BASE,O&G_AUTHORIZED,PLUSGRLOG,FULLACCESS,PLUSGOP,OILGAS
BASE,O&G_AUTHORIZED,PLUSGDRL,FULLACCESS,WO,OILGAS
BASE,O&G_AUTHORIZED,PLUSGSTAG,FULLACCESS,PLANS,OILGAS
BASE,O&G_AUTHORIZED,PLUSGLOG,FULLACCESS,PLUSGOP,OILGAS
BASE,O&G_AUTHORIZED,PLUSGWO,FULLACCESS,WO,OILGAS
BASE,O&G_AUTHORIZED,PLUSGQRP,FULLACCESS,WO,OILGAS
BASE,O&G_AUTHORIZED,PLUSGORG,FULLACCESS,SETUP,OILGAS
BASE,O&G_AUTHORIZED,PLUSGINC,FULLACCESS,PLUSGSD,OILGAS
BASE,O&G_AUTHORIZED,PLUSGMOC,FULLACCESS,PLUSGCHG,OILGAS
BASE,O&G_AUTHORIZED,PLUSGREG,FULLACCESS,PLANS,OILGAS
BASE,O&G_AUTHORIZED,PLUSGDEF,FULLACCESS,PLUSGSD,OILGAS
BASE,O&G_AUTHORIZED,INCIDENT,NOACCESS,SD,OILGAS
BASE,O&G_AUTHORIZED,PLUSGOPACT,FULLACCESS,PLUSGOP,OILGAS
BASE,O&G_AUTHORIZED,PLUSGLOGBK,FULLACCESS,PLUSGOP,OILGAS
BASE,O&G_AUTHORIZED,PLUSGCERT,FULLACCESS,PLUSGSD,OILGAS
BASE,O&G_AUTHORIZED,PLUSGTGLCK,FULLACCESS,PLANS,OILGAS
BASE,O&G_AUTHORIZED,PLUSGPR,FULLACCESS,PURCHASE,OILGAS
BASE,O&G_AUTHORIZED,PLUSGITEM,FULLACCESS,INVENTOR,OILGAS
BASE,O&G_AUTHORIZED,PLUSGPOL,FULLACCESS,PLUSGOP,OILGAS
BASE,O&G_AUTHORIZED,PLUSGSR,FULLACCESS,PLUSGSD,OILGAS
BASE,O&G_AUTHORIZED,PLUSGPCT,FULLACCESS,PLANS,OILGAS
BASE,O&G_AUTHORIZED,PLUSGSTA,FULLACCESS,PLANS,OILGAS
BASE,O&G_AUTHORIZED,PLUSGROU,FULLACCESS,PLANS,OILGAS
BASE,O&G_AUTHORIZED,PLUSGPM,FULLACCESS,PM,OILGAS
BASE,O&G_AUTHORIZED,PLUSGJP,FULLACCESS,PLANS,OILGAS
BASE,O&G_AUTHORIZED,PLUSGAL,FULLACCESS,PLANS,OILGAS
BASE,O&G_AUTHORIZED,PLUSGACT,FULLACCESS,WO,OILGAS
BASE,O&G_AUTHORIZED,PLUSGRFW,FULLACCESS,PLANS,OILGAS
BASE,O&G_AUTHORIZED,PLUSGIMP,FULLACCESS,PLUSGCHG,OILGAS
BASE,O&G_AUTHORIZED,PLUSGBEN,FULLACCESS,PLANS,OILGAS
BASE,O&G_AUTHORIZED,PROBLEM,NOACCESS,SD,OILGAS
BASE,O&G_AUTHORIZED,ACTIVITY,FULLACCESS,WO,MAXIMO
BASE,O&G_AUTHORIZED,ASSET,FULLACCESS,ASSET,MAXIMO
BASE,O&G_AUTHORIZED,PLUSCTMPLT,FULLACCESS,ASSET,MAXIMO
BASE,O&G_AUTHORIZED,WORKMAN,FULLACCESS,WO,MAXIMO
BASE,O&G_AUTHORIZED,AUTOSCRIPT,FULLACCESS,UTIL,MAXIMO
BASE,O&G_AUTHORIZED,COLLECTION,FULLACCESS,CI,MAXIMO
BASE,O&G_AUTHORIZED,COMPANY,FULLACCESS,PURCHASE,MAXIMO
BASE,O&G_AUTHORIZED,COMPMASTER,FULLACCESS,PURCHASE,MAXIMO
BASE,O&G_AUTHORIZED,CONDCODE,FULLACCESS,INVENTOR,MAXIMO
BASE,O&G_AUTHORIZED,COND,FULLACCESS,ASSET,MAXIMO
BASE,O&G_AUTHORIZED,CONDEXPMGR,FULLACCESS,SETUP,MAXIMO
BASE,O&G_AUTHORIZED,FINCNTRL,FULLACCESS,FINANCIAL,MAXIMO
BASE,O&G_AUTHORIZED,CREATEINT,FULLACCESS,INT,MAXIMO
BASE,O&G_AUTHORIZED,CRAFT,FULLACCESS,SETUP,MAXIMO
BASE,O&G_AUTHORIZED,CREATEDR,FULLACCESS,SSDR,MAXIMO
BASE,O&G_AUTHORIZED,CREATESR,FULLACCESS,SSDR,MAXIMO
BASE,O&G_AUTHORIZED,ENDPOINT,FULLACCESS,INT,MAXIMO
BASE,O&G_AUTHORIZED,INTSRV,FULLACCESS,INT,MAXIMO
BASE,O&G_AUTHORIZED,EXTSYSTEM,FULLACCESS,INT,MAXIMO
BASE,O&G_AUTHORIZED,FAILURE,FULLACCESS,ASSET,MAXIMO
BASE,O&G_AUTHORIZED,HAZARDS,FULLACCESS,PLANS,MAXIMO
BASE,O&G_AUTHORIZED,IM,FULLACCESS,INT,MAXIMO
BASE,O&G_AUTHORIZED,INVENTOR,FULLACCESS,INVENTOR,MAXIMO
BASE,O&G_AUTHORIZED,INVUSAGE,FULLACCESS,INVENTOR,MAXIMO
BASE,O&G_AUTHORIZED,INVOKE,FULLACCESS,INT,MAXIMO
BASE,O&G_AUTHORIZED,INVOICE,FULLACCESS,PURCHASE,MAXIMO
BASE,O&G_AUTHORIZED,ITEM,FULLACCESS,INVENTOR,MAXIMO
BASE,O&G_AUTHORIZED,JOBPLAN,FULLACCESS,PLANS,MAXIMO
BASE,O&G_AUTHORIZED,LABOR,FULLACCESS,SETUP,MAXIMO
BASE,O&G_AUTHORIZED,CONTLABOR,FULLACCESS,CONTRACT,MAXIMO
BASE,O&G_AUTHORIZED,LABREP,FULLACCESS,WO,MAXIMO
BASE,O&G_AUTHORIZED,LAUNCH,FULLACCESS,INT,MAXIMO
BASE,O&G_AUTHORIZED,CONTLEASE,FULLACCESS,CONTRACT,MAXIMO
BASE,O&G_AUTHORIZED,LOCATION,FULLACCESS,ASSET,MAXIMO
BASE,O&G_AUTHORIZED,TAGLOCKS,FULLACCESS,PLANS,MAXIMO
BASE,O&G_AUTHORIZED,LMO,FULLACCESS,INT,MAXIMO
BASE,O&G_AUTHORIZED,MANAGEINT,FULLACCESS,INT,MAXIMO
BASE,O&G_AUTHORIZED,CONTMASTER,FULLACCESS,CONTRACT,MAXIMO
BASE,O&G_AUTHORIZED,MASTERPM,FULLACCESS,PM,MAXIMO
BASE,O&G_AUTHORIZED,INTERROR,FULLACCESS,INT,MAXIMO
BASE,O&G_AUTHORIZED,INTMSGTRK,FULLACCESS,INT,MAXIMO
BASE,O&G_AUTHORIZED,METERGRP,FULLACCESS,ASSET,MAXIMO
BASE,O&G_AUTHORIZED,METER,FULLACCESS,ASSET,MAXIMO
BASE,O&G_LIMITED,QUAL,READSAVE,SETUP,MAXIMO
BASE,O&G_LIMITED,QUICKREP,FULLACCESS,WO,MAXIMO
BASE,O&G_LIMITED,RECEIPTS,READONLY,PURCHASE,MAXIMO
BASE,O&G_LIMITED,RELATION,READONLY,ASSET,MAXIMO
BASE,O&G_LIMITED,RPTOUTPUT,FULLACCESS,ANALYTICS,MAXIMO
BASE,O&G_LIMITED,RFQ,READSAVE,PURCHASE,MAXIMO
BASE,O&G_LIMITED,ROUTES,READONLY,PLANS,MAXIMO
BASE,O&G_LIMITED,SAFEPLAN,READONLY,PLANS,MAXIMO
BASE,O&G_LIMITED,ECOMMADAPT,FULLACCESS,-,MAXIMO
BASE,O&G_LIMITED,SRVCOMMOD,READONLY,SLA,MAXIMO
