ENVIRONMENT,USERID,LICENSENUM,ISSELFSERVICEUSER,ISUNLICUSER,ISLATEST
BASE,LEANDROCOUTO,O&G_AUTHORIZED,0,0,0
BASE,THANNAM,O&G_AUTHORIZED,0,0,0
BASE,MARCELODIAS,O&G_LIMITED,0,0,0
BASE,KAIANLIMA,O&G_LIMITED,0,0,0
BASE,CARLAMORAES,-,0,1,0
BASE,HELENAALMEIDA,-,0,1,0
BASE,LAIONSOUZA,-,0,1,0
BASE,JOAORESENDE,-,0,1,0
BASE,LUCASPORTES,-,0,1,0
BASE,FABIOMURTEIRA,-,0,1,0
BASE,RCATAIDE,-,0,1,0
BASE,JACSONH,-,0,1,0
BASE,THAISSAMPAIO,-,0,1,0
BASE,RENANASSEF,-,0,1,0
BASE,MURILOBRAZ,-,0,1,0
BASE,GUILHERMEBATISTA,-,0,1,0
BASE,VICTORSANTOS,-,0,1,0
BASE,FILLIPESILVA,-,0,1,0
BASE,ROBERTAAP,-,0,1,0
BASE,MARCIOMOLINARI,-,0,1,1
BASE,DARLANDOREA,-,0,1,0
BASE,OLIVIAJULIANELLI,-,0,1,0
BASE,MATTHEUSBELAN,-,0,1,0
BASE,ROBERTATOSTES,-,0,1,0
BASE,TIBERIOSEGUNDO,-,0,1,0
BASE,RCOSTA,-,0,1,0
BASE,AGATHAALVARENGA,-,0,1,0
BASE,PARTHUR,-,0,1,0
BASE,PAULOCOSTA,-,0,1,0
BASE,ISABELABUITRAGO,-,0,1,0
BASE,RENANRODRIGUES,-,0,1,0
BASE,MARINALISBOA,-,0,1,0
BASE,THAISNASCIMENTO,-,0,1,0
BASE,ANDERSONDONIZETE,-,0,1,0
BASE,ANDRERAFAEL,-,0,1,0
BASE,THALESPEREIRA,-,0,1,0
BASE,JUANRIZZI,-,0,1,0
BASE,KASTOLPHO,-,0,1,1
BASE,LEANDROROCHA,-,0,1,0
BASE,PEDROCAVALCANTI,-,0,1,0
BASE,LEANDRONSILVA,-,0,1,0
BASE,FABIANABENTO,-,0,1,1
BASE,GUSTAVOFERREIRA,-,0,1,0
BASE,HARRISONNOGUEIRA,-,0,1,0
BASE,MARCOSMAUMESSO,-,0,1,0
BASE,LUIZPSILVA,-,0,1,0
BASE,ROBERIOSERAPHIM,-,0,1,0
BASE,GREGORYCONCEICAO,-,0,1,0
BASE,ALLANMARQUES,-,0,1,0
BASE,WILSONJUNIOR,-,0,1,0
BASE,PATRICKSOUSA,-,0,1,0
BASE,KLEBERPRADO,-,0,1,0
BASE,HIAGOPACHECO,-,0,1,0
BASE,WILBERGONCALVES,-,0,1,0
BASE,EMANUELLYBARRETO,-,0,1,0
BASE,JOANAFREZE,-,0,1,0
BASE,JOAOMOTA,-,0,1,0
BASE,ITEAM,-,0,1,0
BASE,LUCASMIRANDA,-,0,1,0
BASE,RODOLFONOGUEIRA,-,0,1,0
BASE,JOSESANTOS,-,0,1,0
BASE,ALESSANDROPASINI,-,0,1,0
BASE,FELIPERAMOS,-,0,1,0
BASE,MAXPHELIPE,-,0,1,0
BASE,ALANOSILVA,-,0,1,0
BASE,DIEGOPEREIRA,-,0,1,0
BASE,ARISTEUMELO,-,0,1,0
BASE,MARCELOMATOS,-,0,1,0
BASE,LEONARDOGASPAR,-,0,1,0
BASE,DAYVISONSOUZA,-,0,1,0
BASE,PABLOMORELATO,O&G_LIMITED,0,0,0
BASE,PATRICKSOUSA,O&G_LIMITED,0,0,0
BASE,BRUNOLUIZ,O&G_LIMITED,0,0,0
BASE,CARLOSMDIAS,-,0,1,0
BASE,BRUNOSANCHO,-,0,1,0
BASE,RENANRODRIGUES,O&G_LIMITED,0,0,0
BASE,ROBERVALSALES,O&G_LIMITED,0,0,0
BASE,DIEGOAGUIAR,O&G_LIMITED,0,0,0
BASE,EDUARDONUNES,O&G_LIMITED,0,0,0
BASE,FABRICIOPIEKALA,-,0,1,0
BASE,FELIPECRESPO,-,0,1,0
BASE,MARCOSFREITAS,-,0,1,0
BASE,MATTHEUSBELAN,-,0,1,0
BASE,YASMINBARBOSA,-,0,1,0
BASE,JOAOCOSTA,-,0,1,0
BASE,USERTESTE,-,0,1,0
BASE,MAXADMIN,-,0,1,1
BASE,MAXREG,-,1,0,0
BASE,FERNANDOMENDONCA,O&G_AUTHORIZED,0,0,0
BASE,EMERSONALVARENGA,O&G_LIMITED,0,0,0
BASE,FABRICIOPIEKALA,O&G_LIMITED,0,0,0
BASE,LETICIALACERDA,O&G_AUTHORIZED,0,0,0
BASE,FLAVIOFIALHO,O&G_AUTHORIZED,0,0,0
BASE,LUCASFESSEL,O&G_AUTHORIZED,0,0,0
BASE,RODRIGOFIGUEIREDO,O&G_LIMITED,0,0,0
BASE,THIAGOFROES,-,0,1,0
BASE,RENATAUEDA,O&G_LIMITED,0,0,0
BASE,WILLIAMDSANTOS,O&G_AUTHORIZED,0,0,0
BASE,YAGOCASTRO_PLSV,O&G_AUTHORIZED,0,0,0
BASE,VINICIUSSOUZA,O&G_AUTHORIZED,0,0,0
BASE,FELIPEMENEZES,O&G_LIMITED,0,0,0
BASE,ELCIODIAS,O&G_LIMITED,0,0,0
BASE,LINCOLNSOUZA,O&G_LIMITED,0,0,0
BASE,BRUNOKATO,O&G_LIMITED,0,0,0
BASE,TPAUKSTYS,O&G_LIMITED,0,0,0
BASE,PEDROFRANCO,O&G_AUTHORIZED,0,0,0
BASE,GWATANABE,O&G_AUTHORIZED,0,0,0
BASE,NATALIALOPES,O&G_LIMITED,0,0,0
BASE,PAULOTAVARES,O&G_LIMITED,0,0,0
BASE,FABIANOSSILVA,O&G_LIMITED,0,0,0
BASE,ALEXEIKERKIS,O&G_LIMITED,0,0,0
BASE,TESTEIGOR,O&G_LIMITED,0,0,0
BASE,DAVIDSONDUTRA,O&G_AUTHORIZED,0,0,0
BASE,THIAGOSILVEIRA,O&G_LIMITED,0,0,0
BASE,LUCASPORTES,O&G_LIMITED,0,0,0
BASE,FABIOMURTEIRA,O&G_LIMITED,0,0,0
BASE,MILENANASCIMENTO,O&G_LIMITED,0,0,0
BASE,BERNARDOSAMPAIO,O&G_LIMITED,0,0,0
BASE,ALEXANDRERIBEIRO,O&G_AUTHORIZED,0,0,0
BASE,NATALIALOPES,O&G_LIMITED,0,0,0
BASE,FABIOFIGUEIRA,O&G_LIMITED,0,0,0
BASE,LIDIABRITO,O&G_AUTHORIZED,0,0,0
BASE,CAMILAFREITAS,O&G_LIMITED,0,0,0
BASE,CESARCRUZ,O&G_AUTHORIZED,0,0,0
BASE,RODRIGOACARDOSO,-,0,1,0
BASE,VINICIUSCORREA,-,0,1,0
BASE,GUILHERMEMOTA,-,0,1,0
BASE,ANTONIOMAFORT,-,0,1,0
BASE,RAPHAELBARBOSA,-,0,1,0
BASE,WAGNERBRANDAO,-,0,1,0
BASE,CHARLESPEREIRA,-,0,1,0
BASE,GEORGESCHUENG,-,0,1,0
BASE,ALEXANDRERIBEIRO,-,0,1,0
BASE,MARIAFREITAS,-,0,1,0
BASE,FABRIZIOSOBRINHO,-,0,1,0
BASE,WENDELLLINHARES,O&G_LIMITED,0,0,0
BASE,JOAOCOSTA,O&G_LIMITED,0,0,0
BASE,ANDRESILVA,-,0,1,0
BASE,SORAYAMARTINS,-,0,1,0
BASE,LEANDROBOTELHO,O&G_AUTHORIZED,0,0,0
BASE,ASANTANA,-,0,1,0
BASE,EDWINVILLAGARAY,-,0,1,0
BASE,DIEGOAGUIAR,O&G_LIMITED,0,0,0
BASE,JOSETIAGO,-,0,1,0
BASE,ELAINESILVA,O&G_LIMITED,0,0,0
BASE,NICHOLASALMEIDA,-,0,1,0
BASE,DOMINIQUEGASPAR,-,0,1,0
BASE,ALEXSILVA,O&G_LIMITED,0,0,0
BASE,OLIVIAJULIANELLI,-,0,1,0
BASE,FLAMARIONBRAGA,-,0,1,0
BASE,MATHEUSVINICIUS,-,0,1,0
BASE,ERICALISBOA,-,0,1,0
BASE,RONALDOFERREIRA,-,0,1,0
BASE,ANDRESSASILVA,-,0,1,0
BASE,ELLENSANTOS,-,0,1,0
BASE,LARAFIGUEIRO,-,0,1,0
BASE,LUISACALDERON,O&G_LIMITED,0,0,0
BASE,TIAGOFREITAS,O&G_LIMITED,0,0,0
BASE,ALEXANDREANDRADE,-,0,1,0
BASE,MARINASIMAO,-,0,1,0
BASE,VINICIUSGRAZZIOTTI,O&G_AUTHORIZED,0,0,0
BASE,LIVIAROSW,-,0,1,0
BASE,VICTORRAMALHO,O&G_LIMITED,0,0,0
BASE,GABRIELBOTELHO,-,0,1,0
BASE,PATRICKJOSE,-,0,1,0
BASE,PRISCILASOUZA,-,0,1,0
BASE,GUILHERMECOUTO,O&G_LIMITED,0,0,0
BASE,THIJSVISSER,O&G_LIMITED,0,0,0
BASE,JOSRSILVA,O&G_AUTHORIZED,0,0,0
BASE,BRUNOVIANA,O&G_LIMITED,0,0,0
BASE,RODRIGOBARILLI,O&G_AUTHORIZED,0,0,0
BASE,FABIOFIGUEIRA,O&G_AUTHORIZED,0,0,0
BASE,CIDCOSTA,O&G_AUTHORIZED,0,0,0
BASE,SONIA_TESTE,O&G_LIMITED,0,0,0
BASE,CLEOMARCECCON,O&G_LIMITED,0,0,0
BASE,VCARVALHO,O&G_AUTHORIZED,0,0,0
BASE,ADEMIRJUNIOR,O&G_AUTHORIZED,0,0,0
BASE,STEPHENWENTWORTH,O&G_LIMITED,0,0,0
BASE,JULINECAETANO,-,0,1,0
BASE,RODRIGOGOES,O&G_LIMITED,0,0,0
BASE,VANESSAPESSANHA,O&G_LIMITED,0,0,0
BASE,BRENNOGUIMARAES,O&G_AUTHORIZED,0,0,0
BASE,JANMACHOWSKI,O&G_AUTHORIZED,0,0,0
BASE,RICARDOPRIOLI,O&G_LIMITED,0,0,0
BASE,SIMONEALVES,O&G_LIMITED,0,0,0
BASE,BCORDEBEL,O&G_AUTHORIZED,0,0,0
BASE,RODRIGOACARDOSO,O&G_LIMITED,0,0,0
BASE,MARCIOMAGALHAES,O&G_LIMITED,0,0,0
BASE,SONIACOSTA,O&G_LIMITED,0,0,0
BASE,GRAZIONEMELLO,O&G_LIMITED,0,0,0
BASE,PEDROFELICE,O&G_AUTHORIZED,0,0,0
BASE,VICTORSIQUEIRA,O&G_LIMITED,0,0,0
BASE,DIEGOESMITE,O&G_AUTHORIZED,0,0,0
BASE,VICTORCOSTA,O&G_LIMITED,0,0,0
BASE,PEDROGUARILHA,O&G_AUTHORIZED,0,0,0
BASE,THAISSAMPAIO,O&G_LIMITED,0,0,0
BASE,CAROLINACARVALHO,O&G_LIMITED,0,0,0
BASE,ALINEAMANCIO,O&G_LIMITED,0,0,0
BASE,ANDRESSA,O&G_AUTHORIZED,0,0,0
BASE,STEPHANYCOSTA,O&G_LIMITED,0,0,0
BASE,TARIKAMARO,-,0,1,0
BASE,HIGORSOUSA,-,0,1,0
BASE,LIVIAROSW,-,0,1,0
BASE,HASSLERLEAL,-,0,1,0
BASE,PEDROVINICIUS,-,0,1,0
BASE,KAIANLIMA,O&G_LIMITED,0,0,0
BASE,JOSEHALMEIDA,O&G_LIMITED,0,0,0
BASE,JANDERSONSILVA,O&G_LIMITED,0,0,0
BASE,VANDERLEYJUNIOR,O&G_LIMITED,0,0,0
BASE,CLAUDIOFARIAS,-,0,1,0
BASE,RAFAELMARCHIORI,O&G_LIMITED,0,0,0
BASE,WILSONJUNIOR,-,0,1,0
BASE,ERICABARCELOS,-,0,1,0
BASE,ITEAM2,-,0,1,0
BASE,JANDERSONSILVA,O&G_LIMITED,0,0,0
BASE,PEDROVINICIUS,-,0,1,0
BASE,OLIVIAJULIANELLI,O&G_LIMITED,0,0,0
BASE,THIAGOTINOCO,O&G_LIMITED,0,0,0
BASE,SORAYARANGEL,O&G_LIMITED,0,0,0
BASE,VANESSASANTOS,O&G_LIMITED,0,0,0
BASE,ALESSANDROPASINI,-,0,1,0
BASE,EMMANUELJUNIOR,O&G_LIMITED,0,0,0
BASE,PALOMAFERREIRA,-,0,1,0
BASE,STWARTSILVA,O&G_LIMITED,0,0,0
BASE,AYRTONSILVA,-,0,1,0
BASE,LIVIAROSW,-,0,1,0
BASE,ALEXANDREPECANHA,O&G_LIMITED,0,0,0
BASE,PALOMABASTOS,-,0,1,0
BASE,ARENOMOSQUEIRA,-,0,1,0
BASE,PATRICIACAMACHO,O&G_LIMITED,0,0,0
BASE,MARIONICOLI,-,0,1,0
BASE,LUCASPINHEIRO,-,0,1,0
BASE,ERICKASILVA,-,0,1,0
BASE,JOAORSILVA,-,0,1,0
BASE,MARIONICOLI,-,0,1,0
BASE,USERTESTE,-,0,1,0
BASE,ESDRASSELLOS,-,0,1,0
BASE,MATEUSLUIZ,-,0,1,0
BASE,JOSETIAGO,-,0,1,0
BASE,JACSONH,-,0,1,1
BASE,ERICALISBOA,-,0,1,0
BASE,LUCASBARCELOS,-,0,1,0
BASE,G.ESTEVES,-,0,1,0
BASE,CHRISTIANSOUZA,-,0,1,0
BASE,DIEGOAGUIAR,-,0,1,0
BASE,WENDELCARVALHO,-,0,1,0
BASE,SERGIOSAPUCAIA,O&G_LIMITED,0,0,0
BASE,NACIBHADDAD,-,0,1,0
BASE,KARINYMIRANDA,O&G_LIMITED,0,0,0
BASE,LOURENCOMORUCCI,O&G_AUTHORIZED,0,0,0
BASE,AUGUSTOBRITO,O&G_AUTHORIZED,0,0,0
BASE,CARLOSJUNIOR,O&G_AUTHORIZED,0,0,0
BASE,IARLENKLEIN,O&G_AUTHORIZED,0,0,0
BASE,BRUNOCOSTA,O&G_AUTHORIZED,0,0,0
BASE,VANESSALESSA,O&G_AUTHORIZED,0,0,0
BASE,BRENNOGUIMARAES,O&G_LIMITED,0,0,0
BASE,MARLONROBIM,O&G_AUTHORIZED,0,0,0
BASE,SIMONEALVES,O&G_AUTHORIZED,0,0,0
BASE,PATRICIADANTAS,O&G_AUTHORIZED,0,0,0
BASE,CRISTIANOXAVIER,O&G_AUTHORIZED,0,0,0
BASE,RUANNSILVA,O&G_AUTHORIZED,0,0,0
BASE,THAISSAMPAIO,O&G_AUTHORIZED,0,0,0
BASE,EUGENIOCAICEDO,O&G_AUTHORIZED,0,0,0
BASE,MARCELODIAS,O&G_AUTHORIZED,0,0,0
BASE,KAIANLIMA,O&G_AUTHORIZED,0,0,0
BASE,JUVENALCHAVES,O&G_AUTHORIZED,0,0,0
BASE,HERALDORIBEIRO,-,0,1,0
BASE,RAFAELAUAD,-,0,1,0
BASE,PATRICKFERREIRA,-,0,1,0
BASE,LARAALVES,-,0,1,0
BASE,WAGNERAZEVEDO,-,0,1,0
BASE,MARCELPITTA,-,0,1,0
BASE,FABRICIOABREU,-,0,1,0
BASE,WILLIANCOUTINHO,-,0,1,0
BASE,VANIASANTOS,-,0,1,0
BASE,VANDERLEYJUNIOR,-,0,1,0
BASE,RACKSONGUEVARA,-,0,1,0
BASE,CARLOSALVARENGA,-,0,1,0
BASE,VICTOROLIVEIRA,-,0,1,0
BASE,WANDERLANSANTO,-,0,1,0
BASE,PRISCILASILVA,-,0,1,0
BASE,FABRICIOSARDINHA,O&G_LIMITED,0,0,0
BASE,AGATHAALVARENGA,-,0,1,0
BASE,BRUNOLUIZ,-,0,1,0
BASE,RSILVA,-,0,1,0
BASE,VICTOROLIVEIRA,-,0,1,0
BASE,LENIELJUNIOR,-,0,1,0
BASE,RAPHAELCOUTO,O&G_LIMITED,0,0,0
BASE,ALEXANDREPECANHA,O&G_LIMITED,0,0,0
BASE,ALECURY,-,0,1,0
BASE,PALOMAFERREIRA,-,0,1,0
BASE,ALLANMARQUES,-,0,1,0
BASE,TIAGOFREITAS,O&G_LIMITED,0,0,0
BASE,JOSETIAGO,-,0,1,0
BASE,FERNANDAJARDIM,-,0,1,0
BASE,MARIATOSTES,-,0,1,0
BASE,ASANTANA,-,0,1,0
BASE,ALEXSILVA,O&G_LIMITED,0,0,0
BASE,ASANTANA,-,0,1,0
BASE,BRUNOMOALLEM,-,0,1,0
BASE,TIAGOHONORATO,-,0,1,0
BASE,SERGIOSILVA,-,0,1,0
BASE,FABIOMOREIRA,-,0,1,0
BASE,RENATAPEREIRA,-,0,1,0
BASE,VICTORSIQUEIRA,-,0,1,0
BASE,MARIONICOLI,-,0,1,0
BASE,CHADCOVERLY,-,0,1,0
BASE,MICHIELDENHOLLANDER,-,0,1,0
BASE,WILSIANEMORTE,-,0,1,0
BASE,PATRICKJOSE,-,0,1,0
BASE,DOUGLASVIEIRA,-,0,1,0
BASE,RICARDOCASTRO,-,0,1,0
BASE,DOGONCALVES,-,0,1,0
BASE,MAZENELNAWASRA,-,0,1,0
BASE,LARAKLEM,O&G_LIMITED,0,0,0
BASE,DARIUARRUDA,-,0,1,0
BASE,PAULOMARTINS,-,0,1,0
BASE,MARCIOPACHECO,-,0,1,0
BASE,FABIANAALVES,-,0,1,0
BASE,CARLOSASANTOS,-,0,1,0
BASE,ALESSANDROCORREA,-,0,1,0
BASE,BRUNOPEDROSA,-,0,1,0
BASE,FERNANDABATISTA,-,0,1,0
BASE,ALEXSALDANHA,-,0,1,0
BASE,YURISOUZA,-,0,1,0
BASE,JEFFERSONMORAIS,-,0,1,0
BASE,LUCASVICENTE,-,0,1,0
BASE,DAVIDARANTES,-,0,1,0
BASE,ROBERTATOSTES,-,0,1,0
BASE,LUCASIGNACIO,-,0,1,0
BASE,FABBIOLEITE,-,0,1,0
BASE,JOAOPINHEIRO,-,0,1,0
BASE,YASMINBARBOSA,-,0,1,0
BASE,VANESSAPESSANHA,O&G_LIMITED,0,0,0
BASE,RAPHAELARAUJO,O&G_LIMITED,0,0,0
BASE,ANTONIO SERGIO GON�ALVES FILHO,O&G_LIMITED,0,0,0
BASE,CHRISTIANALCANTARA,O&G_LIMITED,0,0,0
BASE,GEORGEMEDEIROS,O&G_LIMITED,0,0,0
BASE,THIAGOSILVEIRA,O&G_LIMITED,0,0,0
BASE,LUISACALDERON,O&G_LIMITED,0,0,0
BASE,MARIONICOLI,-,0,1,0
BASE,ALESSANDROSANTOS,-,0,1,0
BASE,BRUNOVIANA,-,0,1,0
BASE,CLAUDIOFARIAS,-,0,1,0
BASE,LEANDROJACOMINI,-,0,1,0
BASE,ERIVANLIMA,-,0,1,0
BASE,IARLENKLEIN,-,0,1,0
BASE,WANDERLANSANTO,-,0,1,0
BASE,MARCELOAZEVEDO,-,0,1,0
BASE,BBEAU,-,0,1,0
BASE,MIKEFARIAS,-,0,1,0
BASE,BRENNOGUIMARAES,-,0,1,0
BASE,ALESSANDROTINOCO,-,0,1,0
BASE,ELTONNEVES,-,0,1,0
BASE,CAIOBARBOSA,-,0,1,0
BASE,NATALIALOPES,-,0,1,0
BASE,RAFAELHORTA,-,0,1,1
BASE,LINOBATISTA,-,0,1,0
BASE,DIEGOESMITE,-,0,1,0
BASE,ADILSONBEZERRA,-,0,1,0
BASE,JUCOELHO,-,0,1,0
BASE,RODRIGOFONSECA,-,0,1,0
BASE,SIMONEMELO,-,0,1,0
BASE,ALEXANDRERIBEIRO,-,0,1,0
BASE,CHARLESPEREIRA,-,0,1,0
BASE,CARLOSMARIANO,-,0,1,0
BASE,JOSERFERREIRA,-,0,1,0
BASE,NICOLESILVEIRA,-,0,1,0
BASE,FAMARAL,-,0,1,0
BASE,NICOLEGOMES,-,0,1,0
BASE,HENRIQUEROQUE,-,0,1,1
BASE,KAIANLIMA,-,0,1,0
BASE,ERICAMLISBOA,-,0,1,0
BASE,MEQUESILVA,-,0,1,0
BASE,NACIBHADDAD,-,0,1,0
BASE,PAULOCAPUTO,-,0,1,0
BASE,EDWINVILLAGARAY,-,0,1,0
BASE,AROALDOCAMPOS,-,0,1,0
BASE,KELLENLOBO,-,0,1,0
BASE,JOSERAIMUNDO,O&G_LIMITED,0,0,0
BASE,MARCELLAARAUJO,O&G_LIMITED,0,0,0
BASE,VANESSASANTOS,O&G_LIMITED,0,0,0
BASE,RAPHAELCOUTO,O&G_LIMITED,0,0,0
BASE,RUYSANTOS,-,0,1,0
