ENVIRONMENT,NAME,PARENT,CHILD,WHERECLAUSE,CARDINALITY,DBJOINREQUIRED,REMARKS,MAXRELATIONSHIPID
BASE,OOG_CRITICALITYDESC,INVENTORY,ALNDOMAIN,domainid = 'OOG_ITEMCRITICALIT' and value = :oog_criticality,-,0,Relationship to show item criticality description,97614
BASE,ASSET,OOG_ASSETCOUNTER,ASSET,classstructureid = :classstructureid  and status in ('OPERATIONAL','STAND BY') and siteid = :siteid and exists (select 1 from assetmeter where assetnum = asset.assetnum and siteid = asset.siteid and metername = 'DAILY' and active = 1),,,
BASE,and exists (select 1 from pm,pmmeter where pm.assetnum = asset.assetnum and pm.siteid = asset.siteid,,,,,,
BASE,and pmmeter.pmnum = pm.pmnum and pmmeter.siteid = pm.siteid and pmmeter.metername = 'DAILY'),-,0,Relationship to the Asset table,used to find all Assets when choosing a classstructure.,97663,,
BASE,LOCATIONS,OOG_ASSETCOUNTER,LOCATIONS,location in (select location from ASSET where classstructureid = :classstructureid and assetnum = :assetnum and siteid = :siteid),-,0,Relationship to the Locations table,used to find the location from the asset.
BASE,PM,OOG_ASSETCOUNTER,PM,assetnum in (select assetnum from ASSET where classstructureid = :classstructureid and assetnum = :assetnum and siteid = :siteid),-,0,Relationship to the PM table,used to find the PM from the asset.
BASE,MASTERPM,OOG_ASSETCOUNTER,MASTERPM,masterpmnum in (select masterpm from PM where assetnum = :assetnum and pmnum = :pmnum and siteid = :siteid),-,0,Relationship to the MASTERPM table,used to find the Next Date from the asset.
BASE,PMMETER,OOG_ASSETCOUNTER,PMMETER,pmnum = :pmnum and assetnum = :assetnum and siteid = :siteid,-,0,Relationship to the PMMETER table,used to find Units to go from the asset.
BASE,ASSETATTRIBUTE,OOG_ASSETCOUNTER,ASSETATTRIBUTE,assetattrid in (select ASSETATTRID from ASSETSPEC where assetnum in (select assetnum from asset where classstructureid = :classstructureid)),-,0,Relationship to the ASSETATTRIBUTE table,used to find the Attributes from the classstructure.
BASE,ASSETSPEC,OOG_ASSETCOUNTER,ASSETSPEC,classstructureid = :classstructureid and siteid = :siteid,-,0,Relationship to the Assetspec table,used to find attributes from the classstructure.
BASE,CLASSSTRUCTURE,OOG_ASSETCOUNTER,CLASSSTRUCTURE,classstructureid = :classstructureid,-,0,Relationship to the ClassStructure table,used to find all classstructures and then choose an Asset that belongs to it.
BASE,CLASSSPEC,OOG_ASSETCOUNTER,CLASSSPEC,classstructureid = :classstructureid,-,0,Relationship to the CLASSSPEC table,used to find attributes from the classification.
BASE,ASSETLIST,OOG_ASSETCOUNTER,ASSET,classstructureid = :classstructureid  and status in ('OPERATIONAL','STAND BY') and siteid = :siteid and exists (select 1 from assetmeter where assetnum = asset.assetnum and siteid = asset.siteid and metername = 'DAILY' and active = 1),,,
BASE,and exists (select 1 from pm,pmmeter where pm.assetnum = asset.assetnum and pm.siteid = asset.siteid,,,,,,
BASE,and pmmeter.pmnum = pm.pmnum and pmmeter.siteid = pm.siteid and pmmeter.metername = 'DAILY'),-,0,Relationship to the Asset table,used to find all Assets when choosing a classstructure.,97672,,
BASE,WORKORDER,OOG_ASSETCOUNTER,WORKORDER,assetcounterid = :assetcounterid and siteid = :siteid and woclass = 'DRILLCOMP',-,0,Relationship to the WORKORDER table,used to find workorders generated from asset counter.
BASE,CLASSANCESTOR,OOG_ASSETCOUNTER,CLASSANCESTOR,classstructureid=:classstructureid,-,0,Relationship to the classancestor table,used to find the ancestor records for a given classstructure. (assetcounter.classstructureid = classancestor.classstructureid). The resulting set will contain zero or more objects.
