ENVIRONMENT,USERID,PERSONID,STATUS,TYPE,DEFSITE,LOGINID,MAXUSERID
BASE,(C) COPYRIGHT International Business Machines Corp. 1993,1996,,,,,
BASE,US Government Users Restricted Rights - Use,duplication or,,,,,
BASE,MAXADMIN,MAXADMIN,ACTIVE,TYPE 1,BASE-UNP,maxadmin,1
BASE,MXINTADM,MXINTADM,ACTIVE,TYPE 1,OP-BASE,mxintadm,2
BASE,MAXREG,MAXREG,ACTIVE,TYPE 1,OP-BASE,MAXREG,3
BASE,RAFAEL.BOECHAT,RAFAEL.BOECHAT,INACTIVE,TYPE 1,N09,rafael.boechat,9
BASE,JASONKOVARIK,JASONKOVARIK,INACTIVE,TYPE 1,ODN1,jasonkovarik,127
BASE,CLARISSERODRIGUES,CLARISSERODRIGUES,ACTIVE,TYPE 3,N09,clarisserodrigues,206
BASE,PALOMAFERREIRA,PALOMAFERREIRA,INACTIVE,TYPE 5,OP-BASE,palomaferreira,226
BASE,MARIONICOLI,MARIONICOLI,INACTIVE,TYPE 4,N06,marionicoli,393
BASE,THIJSVISSER,THIJSVISSER,INACTIVE,TYPE 1,OP-BASE,thijsvisser,394
BASE,VICTORBORBA,VICTORBORBA,ACTIVE,TYPE 4,N06,victorborba,395
BASE,MARIOVIEIRA,MARIOVIEIRA,INACTIVE,TYPE 1,ODN2,mariovieira,408
BASE,SAULOARCARO,SAULOARCARO,INACTIVE,TYPE 1,OP-BASE,sauloarcaro,411
BASE,LUIZMARTINEZ,LUIZMARTINEZ,INACTIVE,TYPE 1,OP-BASE,luizmartinez,430
BASE,CHRISTINECOSTA,CHRISTINECOSTA,INACTIVE,TYPE 1,OP-BASE,christinecosta,433
BASE,ENNESCARRUPT,ENNESCARRUPT,INACTIVE,TYPE 1,N08,ennescarrupt,441
BASE,HIAGOPACHECO,HIAGOPACHECO,INACTIVE,TYPE 2,N06,hiagopacheco,445
BASE,PABLOMORELATO,PABLOMORELATO,INACTIVE,TYPE 1,ODN1,pablomorelato,457
BASE,WILLIAMPINTO,WILLIAMPINTO,INACTIVE,TYPE 1,N09,williampinto,463
BASE,LEONCIOALVARENGA,LEONCIOALVARENGA,INACTIVE,TYPE 1,ODN1,leoncioalvarenga,465
BASE,ADHARALEAO,ADHARALEAO,INACTIVE,TYPE 1,OP-BASE,adharaleao,466
BASE,PHILIPPEGOETSCHEL,PHILIPPEGOETSCHEL,INACTIVE,TYPE 1,OP-BASE,philippegoetschel,473
BASE,CARLOSALBERTO,CARLOSALBERTO,ACTIVE,TYPE 5,ODN1,carlosalberto,474
BASE,PEDROVINICIUS,PEDROVINICIUS,INACTIVE,TYPE 4,N09,pedrovinicius,485
