ENVIRONMENT,USERID,STATUS,CHANGEDATE,MEMO,CHANGEBY
BASE,A.SANTIAGO,ACTIVE,2023-08-29-16.39.05.000000,,ITEAM
BASE,A.SANTIAGO,INACTIVE,2023-11-10-05.00.07.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,AARONCAMPBELL,ACTIVE,2023-04-27-18.07.42.000000,,ITEAM
BASE,AARONCAMPBELL,INACTIVE,2023-07-05-17.41.25.000000,,ITEAM
BASE,AARONCAMPBELL,ACTIVE,2023-11-27-15.47.06.000000,,MAXADOOG
BASE,AARONCAMPBELL,INACTIVE,2024-02-05-05.00.05.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ABPOL,ACTIVE,2025-03-27-14.49.58.000000,,ITEAM
BASE,ABPOL,INACTIVE,2025-05-17-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ABPOL,ACTIVE,2025-07-02-10.08.55.000000,,ITEAM
BASE,ABPOL,INACTIVE,2025-08-22-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ABPOL,ACTIVE,2025-08-27-10.59.55.000000,,ITEAM
BASE,ABPOL,INACTIVE,2025-10-17-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ABPOL,ACTIVE,2025-12-01-11.21.29.000000,,ITEAM
BASE,ABPOL,INACTIVE,2026-03-25-09.00.00.866000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ADEMIRJUNIOR,ACTIVE,2015-06-16-17.53.14.000000,,MAXADOOG
BASE,ADEMIRJUNIOR,INACTIVE,2016-11-30-14.21.16.000000,Desativando usuarios que não logaram em 2016 no sistema,MAXADOOG
BASE,ADEMIRJUNIOR,ACTIVE,2016-11-30-15.11.52.000000,,MAXADOOG
BASE,ADEMIRJUNIOR,INACTIVE,2018-09-26-10.31.54.000000,Ticket#018617 — Cancelar Acesso ao MAXIMO em Ambiente TOP,JULINECAETANO
BASE,ADEMIRJUNIOR,ACTIVE,2018-09-26-10.38.55.000000,,JULINECAETANO
BASE,ADEMIRJUNIOR,INACTIVE,2021-11-26-05.00.06.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ADEMIRJUNIOR,ACTIVE,2021-12-03-08.24.54.000000,Integrante retornando de licença,MAXADOOG
BASE,ADEMIRJUNIOR,BLOCKED,2025-05-28-15.31.11.000000,,MAXADMIN
BASE,ADEMIRJUNIOR,ACTIVE,2025-05-28-15.40.36.000000,,MAXADMIN
BASE,ADHARALEAO,ACTIVE,2015-04-10-06.58.11.000000,,MAXADMIN
BASE,ADHARALEAO,INACTIVE,2016-11-30-14.21.16.000000,Desativando usuarios que não logaram em 2016 no sistema,MAXADOOG
BASE,ADHARALEAO,ACTIVE,2016-11-30-15.11.52.000000,,MAXADOOG
BASE,ADHARALEAO,INACTIVE,2016-11-30-17.41.18.000000,Desativando usuarios que não logaram em 2016. Atualização do sistema.,MAXADOOG
BASE,ADHARALEAO,ACTIVE,2017-04-27-18.26.17.000000,SR122240,MAXADOOG
