ENVIRONMENT,SITEID,TOTAL,ANO,MES
HTQ,HTQ,1,2026,4
HTQ,HTQ,3,2026,5
HTQ,HTQ,6,2026,6
HTQ,N06,1,2026,2
HTQ,N06,1,2026,5
HTQ,N06,8,2026,6
HTQ,N08,2,2026,1
HTQ,N08,3,2026,3
HTQ,N08,5,2026,5
HTQ,N08,8,2026,6
HTQ,N09,1,2026,3
HTQ,N09,3,2026,4
HTQ,N09,2,2026,5
HTQ,N09,9,2026,6
HTQ,ODN1,1,2026,5
HTQ,ODN1,1,2026,6
HTQ,ODN2,1,2026,4
HTQ,ODN2,2,2026,5
HTQ,ODN2,2,2026,6
HTQ,OP-BASE,4,2026,1
HTQ,OP-BASE,4,2026,2
HTQ,OP-BASE,4,2026,3
HTQ,OP-BASE,8,2026,4
HTQ,OP-BASE,10,2026,5
HTQ,OP-BASE,6,2026,6
HTQ,PGC,1,2026,4
HTQ,PGC,1,2026,6
HTQ,POL,1,2026,6
HTQ,FetchAll:,28,rows,fetched.
HTQ,>,,,
