ENVIRONMENT,PERSONGROUP,DESCRIPTION,ISCREWWORKGROUP,OOG_DEPARTMENT,OOG_USEINMOC,OOG_ISTOPSIDE
BASE,OOG_AMGR,Asset Managers,0,0,0,-
BASE,DRILLING,DRILLING,0,1,0,-
BASE,HOSPITAL,Hospital,0,1,0,-
BASE,MCHNIC,Mechanical,0,1,0,-
BASE,TDION,Tecnologia da Informação / Information Tecnology Onshore,0,0,1,-
BASE,ATVON,Gestão de Ativos / Asset Management,0,0,1,-
BASE,ELEOFF,Eletroeletrônica / Electro Electronic,0,0,1,-
BASE,MAQOFF,Máquinas / Engineering,0,0,1,1
BASE,NAUOFF,Marinha / Marine,0,0,1,-
BASE,DRLOFF,Perfuração / Drilling,0,0,1,-
BASE,QUAON,Garantia da Qualidade / Quality Assurance  Onshore,0,0,1,-
BASE,OPRON,Operação / Operation Onshore,0,0,1,-
BASE,MANOFF,Manutenção / Maintenance,0,0,1,1
BASE,MATOFF,Materiais / Materials,0,0,1,1
BASE,JURON,Jurídico / Legal Onshore,0,0,1,-
BASE,SCPON,Subsea e Construção de Poços / Subsea and Construction of Wells,0,0,1,-
BASE,SSTON,Sustentabilidade / Sustainabitity Onshore,0,0,1,-
BASE,ETCOFF,Eletroeletrônica / Electroelectronical,0,0,1,1
BASE,ACOON,Administração Contratual / Contractual Administration Onshore,0,0,1,-
BASE,COMON,Comunicação / Comunication Onshore,0,0,1,-
BASE,NAUON,Gestão Marítima / Maritime Management,0,0,1,-
BASE,PRJON,Projetos (Engenharia) / Projects (Engineering),0,0,1,-
BASE,SBSOFF,Subsea / Subsea,0,0,1,1
BASE,SUPON,Suprimentos e Logística de Materiais / Supply and Materials Logistics Onshore,0,0,1,-
BASE,FINON,Finanças / Finance Onshore,0,0,1,-
BASE,PEOON,Pessoas & Organização / People & Organization Onshore,0,0,1,-
BASE,SEVON,Serviços / Services Onshore,0,0,1,-
BASE,MCHOFF,Mecânica / Mechanical,0,0,1,1
BASE,SSTOFF,Sustentabilidade / Sustainabitity Offshore,0,0,1,-
BASE,ET,ET,0,1,0,-
BASE,INTOFF,Internalização / Internalization,0,0,1,-
BASE,SPIE,Serviço Próprio de Inspeção de Equipamentos,0,1,0,-
BASE,OOG_QAEG,Aprovadores final de MOC PEO (ajustado para MOCPEO com P&O),0,0,0,-
BASE,OOG_PH,Profissional Habilitado,0,0,0,-
BASE,OOG_FIMA,Financial Managers,0,0,0,-
BASE,YARD,Yard Onshore,0,1,0,-
BASE,OOG_RMG,Risk Assessment Manager,0,0,0,-
BASE,OOG_OIMC,Department for OIM/Captain and Chief Mate/Imediatos.,0,0,0,-
BASE,NAUTICAL,Nautical,0,1,0,-
BASE,OOG_PD,Person Group Performance Director,0,0,0,-
BASE,OOG_AM,Asset Manager,0,0,0,-
BASE,SAU,Saúde / Health,0,0,1,-
BASE,SPI,SPIE – Serviço Próprio e Inspeção de Equipamentos / Own Service and Equipment Inspection,0,0,1,-
BASE,OOG_QA,Quality Assurance,0,0,0,-
BASE,OOG_SUT,Sustainability,0,0,0,-
BASE,OOG_TI,Information Technology,0,0,0,-
BASE,RSTC,Aprovadores de Risk Assessment,0,0,0,-
BASE,OOG_CM,CM Approval Group,1,0,0,-
BASE,OOG_CMML,CM Group Mail,0,0,0,-
BASE,OOG_FMEC,Grupo FMECA,0,0,0,-
BASE,ENGINEER,Engineering,0,1,0,-
BASE,MARINE,Marine,0,1,0,-
BASE,ROV,ROV,0,1,0,-
BASE,RELIABIL,Realibility Department to Engineers from the Base,0,1,0,-
BASE,OOG_AENG,Asset Engineers,0,0,0,-
