ENVIRONMENT,SITEID,TOTAL,ANO,MES
BASE,HTQ,766,2026,1
BASE,HTQ,640,2026,2
BASE,HTQ,780,2026,3
BASE,HTQ,813,2026,4
BASE,HTQ,850,2026,5
BASE,HTQ,784,2026,6
BASE,N06,960,2026,1
BASE,N06,873,2026,2
BASE,N06,954,2026,3
BASE,N06,1012,2026,4
BASE,N06,1037,2026,5
BASE,N06,965,2026,6
BASE,N08,1124,2026,1
BASE,N08,980,2026,2
BASE,N08,1049,2026,3
BASE,N08,1047,2026,4
BASE,N08,1088,2026,5
BASE,N08,970,2026,6
BASE,N09,1368,2026,1
BASE,N09,1846,2026,2
BASE,N09,1029,2026,3
BASE,N09,612,2026,4
BASE,N09,582,2026,5
BASE,N09,673,2026,6
BASE,ODN1,970,2026,1
BASE,ODN1,894,2026,2
BASE,ODN1,986,2026,3
BASE,ODN1,816,2026,4
BASE,ODN1,909,2026,5
BASE,ODN1,958,2026,6
BASE,ODN2,934,2026,1
BASE,ODN2,688,2026,2
BASE,ODN2,953,2026,3
BASE,ODN2,985,2026,4
BASE,ODN2,1048,2026,5
BASE,ODN2,964,2026,6
BASE,FetchAll:,36,rows,fetched.
BASE,>,,,
HTQ,HTQ,766,2026,1
HTQ,HTQ,640,2026,2
HTQ,HTQ,780,2026,3
HTQ,HTQ,813,2026,4
HTQ,HTQ,850,2026,5
HTQ,HTQ,784,2026,6
HTQ,FetchAll:,6,rows,fetched.
HTQ,>,,,
