ENVIRONMENT,GROUPNAME,SITEID
BASE,Inv_ready,OP-BASE
BASE,MAXEVERYONE,HTQ
BASE,MAXEVERYONE,N06
BASE,MAXEVERYONE,N08
BASE,MAXEVERYONE,N09
BASE,MAXEVERYONE,ODN1
BASE,MAXEVERYONE,ODN2
BASE,OOG_ALLSITES,N06
BASE,OOG_ALLSITES,N08
BASE,OOG_ALLSITES,N09
BASE,OOG_ALLSITES,ODN1
BASE,OOG_ALLSITES,ODN2
BASE,OOG_ALLSITES,ODN3
BASE,OOG_ALLSITES,ODN4
BASE,OOG_ALLSITES,OP-BASE
BASE,OOG_ALLSITES,PLSVCA
BASE,OOG_ALLSITES,PLSVEM
BASE,OOG_ALL_DRILLING,BASE-UNP
BASE,OOG_ALL_DRILLING,HTQ
BASE,OOG_ALL_DRILLING,N06
BASE,OOG_ALL_DRILLING,N08
BASE,OOG_ALL_DRILLING,N09
BASE,OOG_ALL_DRILLING,ODN1
BASE,OOG_ALL_DRILLING,ODN2
BASE,OOG_ALL_DRILLING,OP-BASE
BASE,OOG_ALL_DRILLING,POL
BASE,OOG_ALL_PERF,N06
BASE,OOG_ALL_PERF,N08
BASE,OOG_ALL_PERF,N09
BASE,OOG_ALL_PERF,ODN1
BASE,OOG_ALL_PERF,ODN2
BASE,OOG_ALL_PERF,ODN3
BASE,OOG_ALL_PERF,ODN4
BASE,OOG_ALL_PERF,OP-BASE
BASE,OOG_MATERIAL_ENGINEER,ODN4
BASE,OOG_USERS_HTQ,OP-BASE
BASE,OOG_USERS_HTQ,PLSVCA
BASE,OOG_USERS_HTQ,PLSVEM
BASE,PRIO_USERS,OP-BASE
BASE,PRIO_USERS,PLSVCA
BASE,PRIO_USERS,PLSVEM
BASE,FetchAll:,41 rows fetched.
BASE,>,
HTQ,MAXEVERYONE,BASE-UNP
HTQ,Inv_ready,HTQ
HTQ,MAXEVERYONE,HTQ
HTQ,OOG_ALL_DRILLING,HTQ
HTQ,Inv_ready,N06
HTQ,MAXEVERYONE,N06
HTQ,OOG_ALLSITES,N06
HTQ,OOG_ALL_DRILLING,N06
HTQ,OOG_ALL_PERF,N06
HTQ,Inv_ready,N08
HTQ,MAXEVERYONE,N08
HTQ,OOG_ALLSITES,N08
HTQ,OOG_ALL_DRILLING,N08
HTQ,OOG_ALL_PERF,N08
HTQ,Inv_ready,N09
HTQ,MAXEVERYONE,N09
HTQ,OOG_ALLSITES,N09
HTQ,OOG_ALL_DRILLING,N09
HTQ,OOG_ALL_PERF,N09
HTQ,Inv_ready,ODN1
HTQ,MAXEVERYONE,ODN1
HTQ,OOG_ALLSITES,ODN1
HTQ,OOG_ALL_DRILLING,ODN1
HTQ,OOG_ALL_PERF,ODN1
HTQ,Inv_ready,ODN2
HTQ,MAXEVERYONE,ODN2
HTQ,OOG_ALLSITES,ODN2
HTQ,OOG_ALL_DRILLING,ODN2
HTQ,OOG_ALL_PERF,ODN2
HTQ,OOG_ALLSITES,ODN3
HTQ,OOG_ALL_PERF,ODN3
HTQ,OOG_ALLSITES,ODN4
HTQ,OOG_ALL_PERF,ODN4
HTQ,Inv_ready,OP-BASE
HTQ,MAXEVERYONE,OP-BASE
HTQ,OOG_ALLSITES,OP-BASE
HTQ,OOG_ALL_DRILLING,OP-BASE
HTQ,OOG_ALL_PERF,OP-BASE
HTQ,OOG_ALL_PLSV,OP-BASE
HTQ,OOG_USERS_HTQ,OP-BASE
HTQ,PRIO_USERS,OP-BASE
HTQ,PLSV_CA,PLSV CA
HTQ,OOG_ALLSITES,PLSVCA
HTQ,OOG_ALL_PLSV,PLSVCA
HTQ,OOG_USERS_HTQ,PLSVCA
HTQ,PRIO_USERS,PLSVCA
HTQ,OOG_ALLSITES,PLSVEM
HTQ,OOG_ALL_PLSV,PLSVEM
HTQ,OOG_USERS_HTQ,PLSVEM
HTQ,PRIO_USERS,PLSVEM
HTQ,FetchAll:,50 rows fetched.
HTQ,>,
N06,Inv_ready,HTQ
N06,Inv_ready,N06
N06,Inv_ready,N08
N06,Inv_ready,N09
N06,Inv_ready,ODN1
N06,Inv_ready,ODN2
N06,Inv_ready,OP-BASE
N06,MAXEVERYONE,HTQ
N06,MAXEVERYONE,N06
N06,MAXEVERYONE,N08
N06,MAXEVERYONE,N09
N06,MAXEVERYONE,ODN1
N06,MAXEVERYONE,ODN2
N06,OOG_ALLSITES,N06
N06,OOG_ALLSITES,N08
N06,OOG_ALLSITES,N09
N06,OOG_ALLSITES,ODN1
N06,OOG_ALLSITES,ODN2
N06,OOG_ALLSITES,ODN3
N06,OOG_ALLSITES,ODN4
N06,OOG_ALLSITES,OP-BASE
N06,OOG_ALLSITES,PLSVCA
N06,OOG_ALLSITES,PLSVEM
N06,OOG_ALL_DRILLING,N06
N06,OOG_ALL_DRILLING,N08
N06,OOG_ALL_DRILLING,N09
N06,OOG_ALL_DRILLING,ODN1
N06,OOG_ALL_DRILLING,ODN2
N06,OOG_ALL_DRILLING,OP-BASE
N06,OOG_ALL_PERF,N06
N06,OOG_ALL_PERF,N08
N06,OOG_ALL_PERF,N09
N06,OOG_ALL_PERF,ODN1
N06,OOG_ALL_PERF,ODN2
N06,OOG_ALL_PERF,ODN3
N06,OOG_ALL_PERF,ODN4
N06,OOG_ALL_PERF,OP-BASE
N06,OOG_ALL_PLSV,OP-BASE
N06,OOG_ALL_PLSV,PLSVCA
N06,OOG_ALL_PLSV,PLSVEM
N06,OOG_USERS_HTQ,OP-BASE
N06,OOG_USERS_HTQ,PLSVCA
N06,OOG_USERS_HTQ,PLSVEM
N06,PLSV_CA,PLSV CA
N06,FetchAll:,44 rows fetched.
N06,>,
N08,Inv_ready,HTQ
N08,MAXEVERYONE,HTQ
N08,Inv_ready,N06
N08,MAXEVERYONE,N06
N08,OOG_ALLSITES,N06
N08,OOG_ALL_DRILLING,N06
N08,OOG_ALL_PERF,N06
N08,Inv_ready,N08
N08,MAXEVERYONE,N08
N08,OOG_ALLSITES,N08
N08,OOG_ALL_DRILLING,N08
N08,OOG_ALL_PERF,N08
N08,Inv_ready,N09
N08,MAXEVERYONE,N09
N08,OOG_ALLSITES,N09
N08,OOG_ALL_DRILLING,N09
N08,OOG_ALL_PERF,N09
N08,Inv_ready,ODN1
N08,MAXEVERYONE,ODN1
N08,OOG_ALLSITES,ODN1
N08,OOG_ALL_DRILLING,ODN1
N08,OOG_ALL_PERF,ODN1
N08,Inv_ready,ODN2
N08,MAXEVERYONE,ODN2
N08,OOG_ALLSITES,ODN2
N08,OOG_ALL_DRILLING,ODN2
N08,OOG_ALL_PERF,ODN2
N08,OOG_ALLSITES,ODN3
N08,OOG_ALL_PERF,ODN3
N08,OOG_ALLSITES,ODN4
N08,OOG_ALL_PERF,ODN4
N08,Inv_ready,OP-BASE
N08,OOG_ALLSITES,OP-BASE
N08,OOG_ALL_DRILLING,OP-BASE
N08,OOG_ALL_PERF,OP-BASE
N08,OOG_ALL_PLSV,OP-BASE
N08,OOG_USERS_HTQ,OP-BASE
N08,PLSV_CA,PLSV CA
N08,OOG_ALLSITES,PLSVCA
N08,OOG_ALL_PLSV,PLSVCA
N08,OOG_USERS_HTQ,PLSVCA
N08,OOG_ALLSITES,PLSVEM
N08,OOG_ALL_PLSV,PLSVEM
N08,OOG_USERS_HTQ,PLSVEM
N08,FetchAll:,44 rows fetched.
N08,>,
N09,Inv_ready,HTQ
N09,Inv_ready,N06
N09,Inv_ready,N08
N09,Inv_ready,N09
N09,Inv_ready,ODN1
N09,Inv_ready,ODN2
N09,Inv_ready,OP-BASE
N09,MAXEVERYONE,HTQ
N09,MAXEVERYONE,N06
N09,MAXEVERYONE,N08
N09,MAXEVERYONE,N09
N09,MAXEVERYONE,ODN1
N09,MAXEVERYONE,ODN2
N09,OOG_ALLSITES,N06
N09,OOG_ALLSITES,N08
N09,OOG_ALLSITES,N09
N09,OOG_ALLSITES,ODN1
N09,OOG_ALLSITES,ODN2
