ENVIRONMENT,SITEID,TOTAL,ANO,MES
BASE,BASE-UNP,55,2026,1
BASE,BASE-UNP,38,2026,2
BASE,BASE-UNP,53,2026,3
BASE,BASE-UNP,28,2026,4
BASE,BASE-UNP,37,2026,5
BASE,BASE-UNP,25,2026,6
BASE,HTQ,16,2026,1
BASE,HTQ,1,2026,2
BASE,HTQ,1,2026,3
BASE,HTQ,23,2026,4
BASE,HTQ,31,2026,5
BASE,HTQ,124,2026,6
BASE,N06,6,2026,1
BASE,N06,14,2026,2
BASE,N06,7,2026,3
BASE,N06,5,2026,4
BASE,N06,9,2026,5
BASE,N06,248,2026,6
BASE,N08,5,2026,1
BASE,N08,3,2026,2
BASE,N08,5,2026,3
BASE,N08,17,2026,4
BASE,N08,18,2026,5
BASE,N08,94,2026,6
BASE,N09,66,2026,1
BASE,N09,22,2026,2
BASE,N09,35,2026,3
BASE,N09,60,2026,4
BASE,N09,99,2026,5
BASE,N09,393,2026,6
BASE,ODN1,24,2026,1
BASE,ODN1,6,2026,2
BASE,ODN1,28,2026,3
BASE,ODN1,15,2026,4
BASE,ODN1,32,2026,5
BASE,ODN1,502,2026,6
BASE,ODN2,12,2026,1
BASE,ODN2,27,2026,2
BASE,ODN2,12,2026,3
BASE,ODN2,21,2026,4
BASE,ODN2,28,2026,5
BASE,ODN2,122,2026,6
BASE,OP-BASE,6,2026,1
BASE,OP-BASE,4,2026,2
BASE,OP-BASE,6,2026,3
BASE,OP-BASE,8,2026,4
BASE,OP-BASE,10,2026,5
BASE,OP-BASE,6,2026,6
BASE,PGC,1,2026,4
BASE,PGC,1,2026,6
BASE,POL,26,2026,1
BASE,POL,4,2026,2
BASE,POL,12,2026,3
BASE,POL,2,2026,4
BASE,POL,1,2026,6
BASE,FetchAll:,55,rows,fetched.
BASE,>,,,
HTQ,BASE-UNP,55,2026,1
HTQ,BASE-UNP,38,2026,2
HTQ,BASE-UNP,53,2026,3
HTQ,BASE-UNP,28,2026,4
HTQ,BASE-UNP,37,2026,5
HTQ,BASE-UNP,25,2026,6
HTQ,HTQ,16,2026,1
HTQ,HTQ,1,2026,2
HTQ,HTQ,1,2026,3
HTQ,HTQ,23,2026,4
HTQ,HTQ,31,2026,5
HTQ,HTQ,124,2026,6
HTQ,N06,6,2026,1
HTQ,N06,14,2026,2
HTQ,N06,7,2026,3
HTQ,N06,5,2026,4
HTQ,N06,9,2026,5
HTQ,N06,248,2026,6
HTQ,N08,5,2026,1
HTQ,N08,3,2026,2
HTQ,N08,5,2026,3
HTQ,N08,17,2026,4
HTQ,N08,18,2026,5
HTQ,N08,85,2026,6
HTQ,N09,66,2026,1
HTQ,N09,22,2026,2
HTQ,N09,35,2026,3
HTQ,N09,60,2026,4
HTQ,N09,99,2026,5
HTQ,N09,393,2026,6
HTQ,ODN1,24,2026,1
HTQ,ODN1,6,2026,2
HTQ,ODN1,28,2026,3
HTQ,ODN1,15,2026,4
HTQ,ODN1,32,2026,5
HTQ,ODN1,502,2026,6
HTQ,ODN2,12,2026,1
HTQ,ODN2,27,2026,2
HTQ,ODN2,12,2026,3
HTQ,ODN2,21,2026,4
HTQ,ODN2,28,2026,5
HTQ,ODN2,122,2026,6
HTQ,OP-BASE,6,2026,1
HTQ,OP-BASE,4,2026,2
HTQ,OP-BASE,6,2026,3
HTQ,OP-BASE,8,2026,4
HTQ,OP-BASE,10,2026,5
HTQ,OP-BASE,6,2026,6
HTQ,PGC,1,2026,4
HTQ,PGC,1,2026,6
HTQ,POL,26,2026,1
HTQ,POL,4,2026,2
HTQ,POL,12,2026,3
HTQ,POL,2,2026,4
HTQ,POL,1,2026,6
HTQ,FetchAll:,55,rows,fetched.
HTQ,>,,,
