USERID,ENV_COUNT,PERSONID_COUNT,LOGINID_COUNT,HYPOTHESIS,REVIEW_PRIORITY,MERGE_DECISION,NEEDS_AD_CONFIRMATION,ENV_LIST,PERSONID_LIST
CLEOMARCECCON,2,2,1,CONFIRMED_DIFFERENT_PERSON,CRITICAL,DO_NOT_MERGE,YES,BASE; ODN2,CLEOMARCECCON; CLEOMARCECON
USERTESTE2,4,2,1,CONFIRMED_DIFFERENT_PERSON,CRITICAL,DO_NOT_MERGE,YES,BASE; HTQ; N06; ODN2,USERTESTE2; USERTESTE45
USERTESTE4,2,2,1,CONFIRMED_DIFFERENT_PERSON,CRITICAL,DO_NOT_MERGE,YES,BASE; N08,TESTETE; USERTESTE4
AKYLAPIRES,2,1,2,REQUIRES_REVIEW,HIGH,MANUAL_REVIEW_REQUIRED,YES,HTQ; N09,AKYLAPIRES
ALEXANDERVIANA,2,1,2,REQUIRES_REVIEW,HIGH,MANUAL_REVIEW_REQUIRED,YES,N06; ODN2,ALEXANDERVIANA
ALEXSANDROSSANTOS,3,1,2,REQUIRES_REVIEW,HIGH,MANUAL_REVIEW_REQUIRED,YES,N09; ODN1; ODN2,ALEXSANDROSSANTOS
ANDREZACIRSTINA,2,1,2,REQUIRES_REVIEW,HIGH,MANUAL_REVIEW_REQUIRED,YES,N06; N09,ANDREZACIRSTINA
CARLOSFERNANDEZ,2,1,2,REQUIRES_REVIEW,HIGH,MANUAL_REVIEW_REQUIRED,YES,N09; ODN1,CARLOSFERNANDEZ
FERNANDOFARIAS,2,1,2,REQUIRES_REVIEW,HIGH,MANUAL_REVIEW_REQUIRED,YES,BASE; N08,FERNANDOFARIAS
JACIANOFERREIRA,2,1,2,REQUIRES_REVIEW,HIGH,MANUAL_REVIEW_REQUIRED,YES,N06; N08,JACIANOFERREIRA
KASTOLPHO,4,1,2,REQUIRES_REVIEW,HIGH,MANUAL_REVIEW_REQUIRED,YES,BASE; N06; N09; ODN2,KASTOLPHO
MATHEUSSANTOS,2,1,2,REQUIRES_REVIEW,HIGH,MANUAL_REVIEW_REQUIRED,YES,BASE; ODN1,MATHEUSSANTOS
PHILIPPEMOTTA,2,1,2,REQUIRES_REVIEW,HIGH,MANUAL_REVIEW_REQUIRED,YES,N08; N09,PHILIPPEMOTTA
RODRIGOCUSANDEI,4,1,2,REQUIRES_REVIEW,HIGH,MANUAL_REVIEW_REQUIRED,YES,N06; N08; N09; ODN1,RODRIGOCUSANDEI
STEMIRANDA,2,1,2,REQUIRES_REVIEW,HIGH,MANUAL_REVIEW_REQUIRED,YES,HTQ; N06,STEMIRANDA
STEPHENWENTWORTH,2,1,2,REQUIRES_REVIEW,HIGH,MANUAL_REVIEW_REQUIRED,YES,BASE; N06,STEPHENWENTWORTH
1996,7,0,0,POTENTIAL_SAME_PERSON,MEDIUM,AWAITING_AD_MATCH,YES,BASE; HTQ; N06; N08; N09; ODN1; ODN2,
AARONCAMPBELL,3,1,1,POTENTIAL_SAME_PERSON,MEDIUM,AWAITING_AD_MATCH,YES,BASE; HTQ; N08,AARONCAMPBELL
ABARCELLOS,2,1,1,POTENTIAL_SAME_PERSON,MEDIUM,AWAITING_AD_MATCH,YES,HTQ; N09,ABARCELLOS
ABILIOOLIVEIRA,2,1,1,POTENTIAL_SAME_PERSON,MEDIUM,AWAITING_AD_MATCH,YES,N08; ODN2,ABILIOOLIVEIRA
ABILIOPEDROSO,2,1,1,POTENTIAL_SAME_PERSON,MEDIUM,AWAITING_AD_MATCH,YES,ODN1; ODN2,ABILIOPEDROSO
ABNESANTOS,2,1,1,POTENTIAL_SAME_PERSON,MEDIUM,AWAITING_AD_MATCH,YES,N09; ODN1,ABNESANTOS
ADEILSONARAUJO,3,1,1,POTENTIAL_SAME_PERSON,MEDIUM,AWAITING_AD_MATCH,YES,N09; ODN1; ODN2,ADEILSONARAUJO
ADEILSONSANTOS,2,1,1,POTENTIAL_SAME_PERSON,MEDIUM,AWAITING_AD_MATCH,YES,N09; ODN1,ADEILSONSANTOS
ADELSONJUNIOR,2,1,1,POTENTIAL_SAME_PERSON,MEDIUM,AWAITING_AD_MATCH,YES,N06; N09,ADELSONJUNIOR
ADEMIRJUNIOR,6,1,1,POTENTIAL_SAME_PERSON,MEDIUM,AWAITING_AD_MATCH,YES,BASE; N06; N08; N09; ODN1; ODN2,ADEMIRJUNIOR
ADEMIROLIVEIRA,2,0,0,POTENTIAL_SAME_PERSON,MEDIUM,AWAITING_AD_MATCH,YES,N09; ODN1,
ADEMIRSILVA,2,1,1,POTENTIAL_SAME_PERSON,MEDIUM,AWAITING_AD_MATCH,YES,N06; N08,ADEMIRSILVA
ADERALDOLOPES,2,1,1,POTENTIAL_SAME_PERSON,MEDIUM,AWAITING_AD_MATCH,YES,N09; ODN2,ADERALDOLOPES
ADILIOMEDEIROS,2,1,1,POTENTIAL_SAME_PERSON,MEDIUM,AWAITING_AD_MATCH,YES,HTQ; N09,ADILIOMEDEIROS
ADIVINOMONTEIRO,2,1,1,POTENTIAL_SAME_PERSON,MEDIUM,AWAITING_AD_MATCH,YES,N08; N09,ADIVINOMONTEIRO
ADRIANEGIOVANA,2,1,1,POTENTIAL_SAME_PERSON,MEDIUM,AWAITING_AD_MATCH,YES,N08; ODN1,ADRIANEGIOVANA
ADRIANOCALIXTO,7,1,1,POTENTIAL_SAME_PERSON,MEDIUM,AWAITING_AD_MATCH,YES,BASE; HTQ; N06; N08; N09; ODN1; ODN2,ADRIANOCALIXTO
ADRIANOFREITAS,2,1,1,POTENTIAL_SAME_PERSON,MEDIUM,AWAITING_AD_MATCH,YES,N08; ODN2,ADRIANOFREITAS
ADRIANOMACIEL,2,1,1,POTENTIAL_SAME_PERSON,MEDIUM,AWAITING_AD_MATCH,YES,N08; ODN2,ADRIANOMACIEL
ADRIANOSIQUEIRA,2,1,1,POTENTIAL_SAME_PERSON,MEDIUM,AWAITING_AD_MATCH,YES,N08; ODN1,ADRIANOSIQUEIRA
ADSANTOS,2,1,1,POTENTIAL_SAME_PERSON,MEDIUM,AWAITING_AD_MATCH,YES,N08; ODN2,ADSANTOS
