RAW_ID,ENV_DB,USERID,PERSONID,LOGINID,DISPLAYNAME,PRIMARYEMAIL,STATUS,DEFSITE,TYPE,TITLE,PERSONGROUP,ACCOUNT_CLASS,COLLISION_TYPE,MATCH_SCORE,HYPOTHESIS,AD_MATCH_STATUS,MERGE_DECISION,REVIEW_PRIORITY,MATCH_RULES_TRIGGERED,CONFLICT_REASON,COMMENTS
BASE|USERTESTE2,BASE,USERTESTE2,,,,,,,,,,HUMAN,PERSONID_CONFLICT,0,CONFIRMED_DIFFERENT_PERSON,PENDING,DO_NOT_MERGE,HIGH,personid_conflict,PersonIDs diferentes: USERTESTE2; USERTESTE45,
HTQ|USERTESTE2,HTQ,USERTESTE2,USERTESTE45,userteste2,,,INACTIVE,HTQ,TYPE 1,,,HUMAN,PERSONID_CONFLICT,0,CONFIRMED_DIFFERENT_PERSON,PENDING,DO_NOT_MERGE,HIGH,personid_conflict,PersonIDs diferentes: USERTESTE2; USERTESTE45,
NORBE06|USERTESTE2,NORBE06,USERTESTE2,USERTESTE2,userteste2,,,INACTIVE,N06,TYPE 1,,,HUMAN,PERSONID_CONFLICT,0,CONFIRMED_DIFFERENT_PERSON,PENDING,DO_NOT_MERGE,HIGH,personid_conflict,PersonIDs diferentes: USERTESTE2; USERTESTE45,
ODN2|USERTESTE2,ODN2,USERTESTE2,USERTESTE2,userteste2,,,INACTIVE,ODN2,TYPE 1,,,HUMAN,PERSONID_CONFLICT,0,CONFIRMED_DIFFERENT_PERSON,PENDING,DO_NOT_MERGE,HIGH,personid_conflict,PersonIDs diferentes: USERTESTE2; USERTESTE45,
HTQ|ABARCELLOS,HTQ,ABARCELLOS,ABARCELLOS,abarcellos,,,INACTIVE,HTQ,TYPE 10,,,HUMAN,STATUS_CONFLICT,0,REQUIRES_REVIEW,PENDING,MANUAL_REVIEW_REQUIRED,MEDIUM,status_conflict,Status inconsistentes: ACTIVE; INACTIVE,
NORBE09|ABARCELLOS,NORBE09,ABARCELLOS,ABARCELLOS,abarcellos,,,ACTIVE,N09,TYPE 10,,,HUMAN,STATUS_CONFLICT,0,REQUIRES_REVIEW,PENDING,MANUAL_REVIEW_REQUIRED,MEDIUM,status_conflict,Status inconsistentes: ACTIVE; INACTIVE,
NORBE08|ADRIANOFREITAS,NORBE08,ADRIANOFREITAS,ADRIANOFREITAS,adrianofreitas,,,INACTIVE,N08,TYPE 10,,,HUMAN,STATUS_CONFLICT,0,REQUIRES_REVIEW,PENDING,MANUAL_REVIEW_REQUIRED,MEDIUM,status_conflict,Status inconsistentes: ACTIVE; INACTIVE,
ODN2|ADRIANOFREITAS,ODN2,ADRIANOFREITAS,ADRIANOFREITAS,adrianofreitas,,,ACTIVE,ODN2,TYPE 10,,,HUMAN,STATUS_CONFLICT,0,REQUIRES_REVIEW,PENDING,MANUAL_REVIEW_REQUIRED,MEDIUM,status_conflict,Status inconsistentes: ACTIVE; INACTIVE,
HTQ|AFFERREIRA,HTQ,AFFERREIRA,AFFERREIRA,afferreira,,,INACTIVE,HTQ,TYPE 1,,,HUMAN,STATUS_CONFLICT,0,REQUIRES_REVIEW,PENDING,MANUAL_REVIEW_REQUIRED,MEDIUM,status_conflict,Status inconsistentes: DELETED; INACTIVE,
ODN2|AFFERREIRA,ODN2,AFFERREIRA,AFFERREIRA,afferreira,,,DELETED,ODN2,TYPE 10,,,HUMAN,STATUS_CONFLICT,0,REQUIRES_REVIEW,PENDING,MANUAL_REVIEW_REQUIRED,MEDIUM,status_conflict,Status inconsistentes: DELETED; INACTIVE,
HTQ|AKYLAPIRES,HTQ,AKYLAPIRES,AKYLAPIRES,akylapires,,,ACTIVE,HTQ,TYPE 1,,,HUMAN,LOGINID_CONFLICT,0,REQUIRES_REVIEW,PENDING,MANUAL_REVIEW_REQUIRED,MEDIUM,loginid_conflict,LoginIDs corporativos distintos: akaylapires; akylapires,
NORBE09|AKYLAPIRES,NORBE09,AKYLAPIRES,AKYLAPIRES,akaylapires,,,INACTIVE,N09,TYPE 4,,,HUMAN,LOGINID_CONFLICT,0,REQUIRES_REVIEW,PENDING,MANUAL_REVIEW_REQUIRED,MEDIUM,loginid_conflict,LoginIDs corporativos distintos: akaylapires; akylapires,
