IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT NAME, PARENT, CHILD, WHERECLAUSE, CARDINALITY, DBJOINREQUIRED, REMARKS, MAXRELATIONSHIPID FROM MAXRELATIONSHIP;
FetchAll:  Columns: 8
  NAME PARENT CHILD WHERECLAUSE CARDINALITY DBJOINREQUIRED REMARKS MAXRELATIONSHIPID 
  PLUSGINCEVENTSPECCLASS, PLUSGINCEVENT, PLUSGINCEVENTSPEC, plusginceventid = :plusginceventid and classstructureid = :classstructureid, -, -, Relationship to the plusginceventspec table, used to find the plusginceventspec records for a given incident event (plusginceventid, siteid, orgid, classstructureid). The resulting set will contain zero or more objects., 100397
  PLUSGINCEVENT, INCIDENT, PLUSGINCEVENT, ticketid = :ticketid, -, -, Relationship from INCIDENT to PLUSGINCEVENT., 100398
  PLUSGINCEVENTPRIMARY, INCIDENT, PLUSGINCEVENT, ticketid = :ticketid and isprimary=1, -, -, Relationship from INCIDENT to the primary PLUSGINCEVENT., 100399
  PLUSGINCIDENT, PLUSGINCEVENT, INCIDENT, ticketid = :ticketid, -, -, Relationship from PLUSGINCEVENT to INCIDENT., 100400
  PERSON, PLUSGINCEVENT, PERSON, personid = :personid, -, -, Relationship from PLUSGINCEVENT to PERSON(PLUSGINCPERSON.personid = person.personid)., 100401
  PLUSGOWNER, PLUSGINCEVENT, PERSON, personid = :owner, -, -, Relationship from PLUSGINCEVENT to PERSON(PLUSGINCPERSON.owner = person.personid)., 100402
  PERSONGROUP, PLUSGINCEVENT, PERSONGROUP, persongroup = :ownergroup, -, -, Relationship from PLUSGINCEVENT to PERSONGROUP (PLUSGINCPERSON.ownergroup = :persongroup.persongroup)., 100403
  PLUSGINCEVENT, PERSON, PLUSGINCEVENT, personid = :personid or owner = :personid, -, -, Relationship from PERSON to PLUSGINCEVENT(person.personid = PLUSGINCPERSON.personid)., 100404
  PLUSGINCEVENT, PERSONGROUP, PLUSGINCEVENT, ownergroup = :persongroup, -, -, Relationship from PERSONGROUP to PLUSGINCEVENT(persongroup.persongroup = :PLUSGINCPERSON.ownergroup)., 100405
  ASSETCI, PLUSGINCEVENT, CI, assetnum=:assetnum and assetlocsiteid=:assetsiteid, -, -, CI record for the incident event., 100406
  PLUSGINJORILL, PLUSGINCPERSON, PLUSGINJORILL, ticketid = :ticketid and plusgincpersonid = :plusgincpersonid, -, -, Relationship from PLUSGINCPERSON to PLUSINJORILL., 100407
  PLUSGINJORILLPRIMARY, PLUSGINCPERSON, PLUSGINJORILL, ticketid = :ticketid and plusgincpersonid = :plusgincpersonid and isprimary=1, -, -, Relationship from PLUSGINCPERSON to the primary PLUSINJORILL., 100408
  PLUSGOUTCOME, PLUSGINJORILL, PLUSGOUTCOME, ticketid = :ticketid and plusgincpersonid = :plusgincpersonid and injorillid = :injorillid, -, -, Relationship from PLUSINJORILL to PLUSGOUTCOME., 100409
  PLUSGOUTCOMEPRIMARY, PLUSGINJORILL, PLUSGOUTCOME, ticketid = :ticketid and plusgincpersonid = :plusgincpersonid and injorillid = :injorillid and mostserious=1, -, -, Relationship from PLUSINJORILL to the primary PLUSGOUTCOME., 100410
  PLUSGLOCATIONS, PLUSGINJORILL, LOCATIONS, locationsid = :locationsid, -, -, Relationship to retrieve this location's information., 100411
  PLUSGTYPOFINJILL, PLUSGINJORILL, SYNONYMDOMAIN, domainid = 'PLUSGTYPOFINJILL' AND value = :injorilltype, -, -, Relationship from PLUSGINJORILL to retrieve PLUSGTYPOFINJILL synonym domain information., 100412
  PLUSGIMPBODYPART, PLUSGINJORILL, SYNONYMDOMAIN, domainid = 'PLUSGIMPBODYPART' AND value = :injorillbodypart, -, -, Relationship from PLUSGINJORILL to retrieve PLUSGIMPBODYPART synonym domain information., 100413
  PLUSGINJILLOUTC, PLUSGOUTCOME, SYNONYMDOMAIN, domainid = 'PLUSGINJILLOUTC' AND value = :outcome, -, -, Relationship from PLUSGOUTCOME to retrieve PLUSGINJILLOUTC synonym domain information., 100414
