IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT LICENSENUM, APPNAME, ACCESSLEVEL, MODULE, MAXPRODID FROM MAXLICAPPS;
FetchAll:  Columns: 5
  LICENSENUM APPNAME ACCESSLEVEL MODULE MAXPRODID 
  O&G_LIMITED, RPTOUTPUT, FULLACCESS, ANALYTICS, MAXIMO
  O&G_LIMITED, RFQ, READSAVE, PURCHASE, MAXIMO
  O&G_LIMITED, ROUTES, READONLY, PLANS, MAXIMO
  O&G_LIMITED, SAFEPLAN, READONLY, PLANS, MAXIMO
  O&G_LIMITED, ECOMMADAPT, FULLACCESS, -, MAXIMO
  O&G_LIMITED, SRVCOMMOD, READONLY, SLA, MAXIMO
  O&G_LIMITED, SRVITEM, READSAVE, INVENTOR, MAXIMO
  O&G_LIMITED, SLA, READSAVE, SLA, MAXIMO
  O&G_LIMITED, SHIPREC, READONLY, INVENTOR, MAXIMO
  O&G_LIMITED, TOOLINV, READSAVE, INVENTOR, MAXIMO
  O&G_LIMITED, STOREROOM, READONLY, INVENTOR, MAXIMO
  O&G_LIMITED, TERMCOND, READONLY, PURCHASE, MAXIMO
  O&G_LIMITED, TKTEMPLATE, READSAVE, SD, MAXIMO
  O&G_LIMITED, TOOL, READSAVE, INVENTOR, MAXIMO
  O&G_LIMITED, VIEWDRFT, FULLACCESS, SSDR, MAXIMO
  O&G_LIMITED, VIEWDR, FULLACCESS, SSDR, MAXIMO
  O&G_LIMITED, VIEWSR, FULLACCESS, SSDR, MAXIMO
  O&G_LIMITED, VIEWTMPL, FULLACCESS, SSDR, MAXIMO
  O&G_LIMITED, CONTWARRTY, READSAVE, CONTRACT, MAXIMO
  O&G_LIMITED, WSREGISTRY, READONLY, INT, MAXIMO
  O&G_LIMITED, WOTRACK, FULLACCESS, WO, MAXIMO
  O&G_LIMITED, AMCREW, READONLY, SETUP, MAXIMO
  O&G_LIMITED, AMCREWT, READONLY, SETUP, MAXIMO
  O&G_LIMITED, SEARCHSOL, FULLACCESS, SSDR, MAXIMO
  O&G_LIMITED, SOLUTION, READSAVE, SD, MAXIMO
  O&G_LIMITED, CI, READONLY, CI, MAXIMO
  O&G_LIMITED, JSONRES, READONLY, INT, MAXIMO
  O&G_LIMITED, BIMPROJECT, READONLY, -, MAXIMO
  O&G_LIMITED, PRODUCT, READONLY, -, MAXIMO
  O&G_LIMITED, DESIGNSPEC, READONLY, -, MAXIMO
  O&G_LIMITED, BIMMODELS, READONLY, -, MAXIMO
  O&G_LIMITED, LICTRACK, READONLY, SETUP, MAXIMO
  O&G_LIMITED, MFMAILCFG, READONLY, UTIL, MAXIMO
  O&G_LIMITED, ACTION, READONLY, UTIL, MAXIMO
  O&G_LIMITED, DESIGNER, READONLY, UTIL, MAXIMO
  O&G_LIMITED, BBOARD, FULLACCESS, SETUP, MAXIMO
  O&G_LIMITED, CALENDR, READONLY, SETUP, MAXIMO
  O&G_LIMITED, CHANGEPSWD, FULLACCESS, -, MAXIMO
  O&G_LIMITED, CHRTACCT, READONLY, FINANCIAL, MAXIMO
  O&G_LIMITED, CITYPE, READSAVE, SETUP, MAXIMO
  O&G_LIMITED, ASSETCAT, READONLY, SETUP, MAXIMO
  O&G_LIMITED, COGNOSHOME, READONLY, ANALYTICS, MAXIMO
  O&G_LIMITED, COMMTMPLT, READONLY, UTIL, MAXIMO
  O&G_LIMITED, CRONTASK, READONLY, UTIL, MAXIMO
  O&G_LIMITED, CURRENCY, READONLY, FINANCIAL, MAXIMO
  O&G_LIMITED, CONFIGUR, READONLY, UTIL, MAXIMO
  O&G_LIMITED, DOMAINADM, READONLY, UTIL, MAXIMO
  O&G_LIMITED, EMAILSTNER, READONLY, UTIL, MAXIMO
  O&G_LIMITED, ESCALATION, READONLY, UTIL, MAXIMO
  O&G_LIMITED, EXCHANGE, READONLY, FINANCIAL, MAXIMO
  O&G_LIMITED, FACONFIG, FULLACCESS, -, MAXIMO
  O&G_LIMITED, FORGOTPSWD, FULLACCESS, -, MAXIMO
  O&G_LIMITED, INBXCONFIG, FULLACCESS, -, MAXIMO
  O&G_LIMITED, INVISSUE, READSAVE, INVENTOR, MAXIMO
  O&G_LIMITED, KPIGCONFIG, FULLACCESS, -, MAXIMO
  O&G_LIMITED, KPILCONFIG, FULLACCESS, -, MAXIMO
  O&G_LIMITED, KPI, READONLY, SETUP, MAXIMO
  O&G_LIMITED, KPITPL, READONLY, SETUP, MAXIMO
  O&G_LIMITED, KPIVIEWER, FULLACCESS, ANALYTICS, MAXIMO
  O&G_LIMITED, SCCONFIG, FULLACCESS, -, MAXIMO
  O&G_LIMITED, LOGGING, READONLY, UTIL, MAXIMO
  O&G_LIMITED, INTOBJECT, READONLY, INT, MAXIMO
  O&G_LIMITED, MULTISITE, READONLY, SETUP, MAXIMO
  O&G_LIMITED, PERSON, READSAVE, SETUP, MAXIMO
  O&G_LIMITED, PERSONGR, READONLY, SETUP, MAXIMO
  O&G_LIMITED, ACTIONSCFG, FULLACCESS, -, MAXIMO
  O&G_LIMITED, RLADMIN, READONLY, SETUP, MAXIMO
  O&G_LIMITED, REPORT, READONLY, SETUP, MAXIMO
  O&G_LIMITED, REPLISTCFG, FULLACCESS, -, MAXIMO
  O&G_LIMITED, RSCONFIG, FULLACCESS, -, MAXIMO
  O&G_LIMITED, ROLE, READONLY, UTIL, MAXIMO
  O&G_LIMITED, SECURGROUP, READONLY, SECURITY, MAXIMO
  O&G_LIMITED, SR, READSAVE, SD, MAXIMO
  O&G_LIMITED, SETS, READONLY, SETUP, MAXIMO
  O&G_LIMITED, STARTCNTR, FULLACCESS, -, MAXIMO
  O&G_LIMITED, PROPMAINT, READONLY, UTIL, MAXIMO
  O&G_LIMITED, SELFREG, FULLACCESS, -, MAXIMO
  O&G_LIMITED, USER, READSAVE, SECURITY, MAXIMO
  O&G_LIMITED, WORKVIEW, FULLACCESS, SETUP, MAXIMO
  O&G_LIMITED, WFADMIN, READONLY, UTIL, MAXIMO
  O&G_LIMITED, WFDESIGN, READONLY, UTIL, MAXIMO
  O&G_LIMITED, SRVAD, READONLY, SETUP, MAXIMO
  O&G_LIMITED, MPMAN, READONLY, SETUP, MAXIMO
  O&G_LIMITED, TECHTABLET, FULLACCESS, WO, MAXIMO
  O&G_LIMITED, TECHPHONE, FULLACCESS, WO, MAXIMO
  O&G_LIMITED, TECHLITE, FULLACCESS, WO, MAXIMO
  O&G_LIMITED, SCHSUPER, READONLY, WO, MAXIMO
  O&G_LIMITED, OSLCPROV, READONLY, INT, MAXIMO
  O&G_LIMITED, OSLCRES, READONLY, INT, MAXIMO
  O&G_AUTHORIZED, DEPLGROUPS, FULLACCESS, UTIL, MAXIMO
  OCY_EXPRESSCUR, ACTIVITY, FULLACCESS, WO, MAXIMO
  OCY_EXPRESSCUR, ASSET, READSAVE, ASSET, MAXIMO
  OCY_EXPRESSCUR, PLUSCTMPLT, READSAVE, ASSET, MAXIMO
  OCY_EXPRESSCUR, WORKMAN, READONLY, WO, MAXIMO
  OCY_EXPRESSCUR, AUTOSCRIPT, READONLY, UTIL, MAXIMO
  OCY_EXPRESSCUR, COLLECTION, READONLY, CI, MAXIMO
  OCY_EXPRESSCUR, COMPANY, READONLY, PURCHASE, MAXIMO
  OCY_EXPRESSCUR, COMPMASTER, READONLY, PURCHASE, MAXIMO
  OCY_EXPRESSCUR, CONDCODE, READSAVE, INVENTOR, MAXIMO
  OCY_EXPRESSCUR, COND, READONLY, ASSET, MAXIMO
  OCY_EXPRESSCUR, CONDEXPMGR, READSAVE, SETUP, MAXIMO
  OCY_EXPRESSCUR, FINCNTRL, READONLY, FINANCIAL, MAXIMO
  OCY_EXPRESSCUR, CREATEINT, READONLY, INT, MAXIMO
  OCY_EXPRESSCUR, CRAFT, READONLY, SETUP, MAXIMO
  OCY_EXPRESSCUR, CREATEDR, FULLACCESS, SSDR, MAXIMO
  O&G_AUTHORIZED, DM, FULLACCESS, UTIL, MAXIMO
  O&G_AUTHORIZED, DEPLCOLLS, FULLACCESS, UTIL, MAXIMO
  O&G_AUTHORIZED, PRECAUTN, FULLACCESS, PLANS, MAXIMO
  O&G_AUTHORIZED, PM, FULLACCESS, PM, MAXIMO
  O&G_AUTHORIZED, PUBLISH, FULLACCESS, INT, MAXIMO
  O&G_AUTHORIZED, CONTPURCH, FULLACCESS, CONTRACT, MAXIMO
  O&G_AUTHORIZED, PO, FULLACCESS, PURCHASE, MAXIMO
