IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT LICENSENUM, APPNAME, ACCESSLEVEL, MODULE, MAXPRODID FROM MAXLICAPPS;
FetchAll:  Columns: 5
  LICENSENUM APPNAME ACCESSLEVEL MODULE MAXPRODID 
  O&G_LIMITED, PLUSGINV, READSAVE, PLUSGSD, OILGAS
  O&G_LIMITED, PLUSGCFW, READSAVE, PLANS, OILGAS
  O&G_LIMITED, RELEASE, NOACCESS, RELEASE, OILGAS
  O&G_LIMITED, CHANGE, NOACCESS, CHANGE, OILGAS
  O&G_LIMITED, PLUSGVWINC, FULLACCESS, SSDR, OILGAS
  O&G_LIMITED, PLUSGTKTMP, READSAVE, PLUSGSD, OILGAS
  O&G_LIMITED, PLUSGLPROF, READSAVE, ASSET, OILGAS
  O&G_LIMITED, PLUSGPREC, READONLY, PLANS, OILGAS
  O&G_LIMITED, PLUSGQUAL, READSAVE, SETUP, OILGAS
  O&G_LIMITED, PLUSGOPTSK, FULLACCESS, PLUSGOP, OILGAS
  O&G_LIMITED, PLUSGPROC, READSAVE, PLUSGOP, OILGAS
  O&G_LIMITED, PLUSGHAZ, READONLY, PLANS, OILGAS
  O&G_LIMITED, PLUSGRSK, READSAVE, PLANS, OILGAS
  O&G_LIMITED, PLUSGCON, READSAVE, PLANS, OILGAS
  O&G_LIMITED, PLUSGSOL, FULLACCESS, PLUSGSD, OILGAS
  O&G_LIMITED, PLUSGPRS, READSAVE, SETUP, OILGAS
  O&G_LIMITED, PLUSGLOC, READSAVE, ASSET, OILGAS
  O&G_LIMITED, PLUSGASS, READSAVE, ASSET, OILGAS
  O&G_LIMITED, PLUSGMCR, READSAVE, PLUSGCHG, OILGAS
  O&G_LIMITED, PLUSGCRINC, FULLACCESS, SSDR, OILGAS
  O&G_LIMITED, PLUSGISO, READSAVE, PLANS, OILGAS
  O&G_LIMITED, PLUSGBYP, READSAVE, PLUSGOP, OILGAS
  O&G_LIMITED, PLUSGAUDIT, READSAVE, PLUSGSD, OILGAS
  O&G_LIMITED, PLUSGPTW, READSAVE, PLANS, OILGAS
  O&G_LIMITED, PLUSGPO, READSAVE, PURCHASE, OILGAS
  O&G_LIMITED, PLUSGRLOG, READSAVE, PLUSGOP, OILGAS
  O&G_LIMITED, PLUSGDRL, READSAVE, WO, OILGAS
  O&G_LIMITED, PLUSGSTAG, READSAVE, PLANS, OILGAS
  O&G_LIMITED, PLUSGLOG, READSAVE, PLUSGOP, OILGAS
  O&G_LIMITED, PLUSGWO, FULLACCESS, WO, OILGAS
  O&G_LIMITED, PLUSGQRP, FULLACCESS, WO, OILGAS
  O&G_LIMITED, PLUSGORG, READONLY, SETUP, OILGAS
  O&G_LIMITED, PLUSGINC, READSAVE, PLUSGSD, OILGAS
  O&G_LIMITED, PLUSGMOC, READSAVE, PLUSGCHG, OILGAS
  O&G_LIMITED, PLUSGREG, READSAVE, PLANS, OILGAS
  O&G_LIMITED, PLUSGDEF, READSAVE, PLUSGSD, OILGAS
  O&G_LIMITED, INCIDENT, NOACCESS, SD, OILGAS
  O&G_LIMITED, PLUSGOPACT, READSAVE, PLUSGOP, OILGAS
  O&G_LIMITED, PLUSGLOGBK, READSAVE, PLUSGOP, OILGAS
  O&G_LIMITED, PLUSGCERT, READSAVE, PLUSGSD, OILGAS
  O&G_LIMITED, PLUSGTGLCK, READONLY, PLANS, OILGAS
  O&G_LIMITED, PLUSGPR, READSAVE, PURCHASE, OILGAS
  O&G_LIMITED, PLUSGITEM, READSAVE, INVENTOR, OILGAS
  O&G_LIMITED, PLUSGPOL, READSAVE, PLUSGOP, OILGAS
  O&G_LIMITED, PLUSGSR, READSAVE, PLUSGSD, OILGAS
  O&G_LIMITED, PLUSGPCT, READSAVE, PLANS, OILGAS
  O&G_LIMITED, PLUSGSTA, READSAVE, PLANS, OILGAS
  O&G_LIMITED, PLUSGROU, READONLY, PLANS, OILGAS
  O&G_LIMITED, PLUSGPM, READSAVE, PM, OILGAS
  O&G_LIMITED, PLUSGJP, READSAVE, PLANS, OILGAS
  O&G_LIMITED, PLUSGAL, READONLY, PLANS, OILGAS
  O&G_LIMITED, PLUSGACT, READSAVE, WO, OILGAS
  O&G_LIMITED, PLUSGRFW, READSAVE, PLANS, OILGAS
  O&G_LIMITED, PLUSGIMP, READSAVE, PLUSGCHG, OILGAS
  O&G_LIMITED, PLUSGBEN, READSAVE, PLANS, OILGAS
  O&G_LIMITED, PROBLEM, NOACCESS, SD, OILGAS
  O&G_LIMITED, ACTIVITY, FULLACCESS, WO, MAXIMO
  O&G_LIMITED, ASSET, READSAVE, ASSET, MAXIMO
  O&G_LIMITED, PLUSCTMPLT, READSAVE, ASSET, MAXIMO
  O&G_LIMITED, WORKMAN, READONLY, WO, MAXIMO
  O&G_LIMITED, AUTOSCRIPT, READONLY, UTIL, MAXIMO
  O&G_LIMITED, COLLECTION, READONLY, CI, MAXIMO
  O&G_LIMITED, COMPANY, READONLY, PURCHASE, MAXIMO
  O&G_LIMITED, COMPMASTER, READONLY, PURCHASE, MAXIMO
  O&G_LIMITED, CONDCODE, READSAVE, INVENTOR, MAXIMO
  O&G_LIMITED, COND, READONLY, ASSET, MAXIMO
  O&G_LIMITED, CONDEXPMGR, READSAVE, SETUP, MAXIMO
  O&G_LIMITED, FINCNTRL, READONLY, FINANCIAL, MAXIMO
  O&G_LIMITED, CREATEINT, READONLY, INT, MAXIMO
  O&G_LIMITED, CRAFT, READONLY, SETUP, MAXIMO
  O&G_LIMITED, CREATEDR, FULLACCESS, SSDR, MAXIMO
  O&G_LIMITED, CREATESR, FULLACCESS, SSDR, MAXIMO
  O&G_LIMITED, ENDPOINT, READONLY, INT, MAXIMO
  O&G_LIMITED, INTSRV, READONLY, INT, MAXIMO
  O&G_LIMITED, EXTSYSTEM, READONLY, INT, MAXIMO
  O&G_LIMITED, FAILURE, READONLY, ASSET, MAXIMO
  O&G_LIMITED, HAZARDS, READONLY, PLANS, MAXIMO
  O&G_LIMITED, IM, READONLY, INT, MAXIMO
  O&G_LIMITED, INVENTOR, READSAVE, INVENTOR, MAXIMO
  O&G_LIMITED, INVUSAGE, READSAVE, INVENTOR, MAXIMO
  O&G_LIMITED, INVOKE, READONLY, INT, MAXIMO
  O&G_LIMITED, INVOICE, READSAVE, PURCHASE, MAXIMO
  O&G_LIMITED, ITEM, READSAVE, INVENTOR, MAXIMO
  O&G_LIMITED, JOBPLAN, READSAVE, PLANS, MAXIMO
  O&G_LIMITED, LABOR, READSAVE, SETUP, MAXIMO
  O&G_LIMITED, CONTLABOR, READSAVE, CONTRACT, MAXIMO
  O&G_LIMITED, LABREP, FULLACCESS, WO, MAXIMO
  O&G_LIMITED, LAUNCH, READONLY, INT, MAXIMO
  O&G_LIMITED, CONTLEASE, READSAVE, CONTRACT, MAXIMO
  O&G_LIMITED, LOCATION, READSAVE, ASSET, MAXIMO
  O&G_LIMITED, TAGLOCKS, READONLY, PLANS, MAXIMO
  O&G_LIMITED, LMO, READONLY, INT, MAXIMO
  O&G_LIMITED, MANAGEINT, READONLY, INT, MAXIMO
  O&G_LIMITED, CONTMASTER, READSAVE, CONTRACT, MAXIMO
  O&G_LIMITED, MASTERPM, READONLY, PM, MAXIMO
  O&G_LIMITED, INTERROR, READONLY, INT, MAXIMO
  O&G_LIMITED, INTMSGTRK, READONLY, INT, MAXIMO
  O&G_LIMITED, METERGRP, READONLY, ASSET, MAXIMO
  O&G_LIMITED, METER, READONLY, ASSET, MAXIMO
  O&G_LIMITED, DEPLGROUPS, READONLY, UTIL, MAXIMO
  O&G_LIMITED, DM, READONLY, UTIL, MAXIMO
  O&G_LIMITED, DEPLCOLLS, READONLY, UTIL, MAXIMO
  O&G_LIMITED, PRECAUTN, READONLY, PLANS, MAXIMO
  O&G_LIMITED, PM, READSAVE, PM, MAXIMO
  O&G_LIMITED, PUBLISH, READONLY, INT, MAXIMO
  O&G_LIMITED, CONTPURCH, READSAVE, CONTRACT, MAXIMO
  O&G_LIMITED, PO, READSAVE, PURCHASE, MAXIMO
  O&G_LIMITED, PR, READSAVE, PURCHASE, MAXIMO
  O&G_AUTHORIZED, PLUSGINV, FULLACCESS, PLUSGSD, OILGAS
  O&G_AUTHORIZED, PLUSGCFW, FULLACCESS, PLANS, OILGAS
  O&G_AUTHORIZED, RELEASE, NOACCESS, RELEASE, OILGAS
  O&G_AUTHORIZED, CHANGE, NOACCESS, CHANGE, OILGAS
