IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT PERSONGROUP, DESCRIPTION, ISCREWWORKGROUP, OOG_DEPARTMENT, OOG_USEINMOC, OOG_ISTOPSIDE FROM PERSONGROUP;
FetchAll:  Columns: 6
  PERSONGROUP DESCRIPTION ISCREWWORKGROUP OOG_DEPARTMENT OOG_USEINMOC OOG_ISTOPSIDE 
  MOB_BAUN, Person group for Mobile - BASE-UNP, 0, 0, 0, -
  ROV, ROV, 0, 1, 0, -
  ET, ET, 0, 1, 0, -
  OOG_MACO, Materials Coordinators, 0, 0, 0, -
  HSE, HSE - Safety, 0, 1, 0, -
  RADIO, Radio, 0, 1, 0, -
  SUBSEA, Subsea, 0, 1, 0, -
  ENGINEER, Engineering, 0, 1, 0, -
  MARINE, Marine, 0, 1, 0, -
  ELECTRIC, Electrical, 0, 1, 0, -
  MAINTENA, -, 0, 1, 0, -
  MATERIAL, Material, 0, 1, 0, -
  OOG_MNCO, Maintenance Coordinators, 0, 0, 0, -
  OOG_AMGR, Asset Managers, 0, 0, 0, -
  DRILLING, DRILLING, 0, 1, 0, -
  HOSPITAL, Hospital, 0, 1, 0, -
  MCHNIC, Mechanical, 0, 1, 0, -
  OOG_DCSD, Drilling CSD Person Group, 0, 0, 0, -
  OOG_MCSD, Marine CSD Person Group, 0, 0, 0, -
  OOG_NR13, NR13 Speciality Offshore, 0, 0, 0, -
  OOG_SUBS, Subsea Coordination Person Group, 0, 0, 0, -
  OOG_PRWF, Group of people notified when cancelling some PR, 0, 0, 0, -
  OOG_MPO, MOC People Openers, 0, 0, 0, -
  OOG_AENG, Asset Engineers, 0, 0, 0, -
  OOG_MOCO, Person group contaning people that can create MOC O&F records, 0, 0, 0, -
  OOG_ASMG, Asset Manager Approval Group - MOCs Only, 0, 0, 0, -
  OOG_AC, Asset Coordinator Person Group, 0, 0, 0, -
  OOG_EC, Engineering Coordinator person group, 0, 0, 0, -
  OOG_PJEN, Person group for all the project engineers, 0, 0, 0, -
  OOG_DEPT, Person group of deputy people, 0, 0, 0, -
  RELIABIL, Realibility Department to Engineers from the Base, 0, 1, 0, -
  TUBOFF, Tubulação/Piping, 0, 0, 1, -
  OOG_COEQ, Equipment Coordination Team, 0, 0, 0, -
  PROOFF, Processo / Process, 0, 0, 1, 1
  ESTOFF, Estrutura / Structure, 0, 0, 1, 1
  VACOFF, HVAC (Condicionador de Ar de Ventilação de Aquecimento - Heating Ventilation Air Conditioner), 0, 0, 1, 1
  NR-13, NR-13, 0, 0, 1, -
  HSEOFF, Sustentabilidade HSE / Sustainability HSE, 0, 0, 1, -
  HOSOFF, Sustentabilidade Hospital / Sustainability Hospital, 0, 0, 1, -
  RADOFF, Marinha Radio, 0, 0, 1, -
  ATVON, Gestão de Ativos / Asset Management, 0, 0, 1, -
  TDION, Tecnologia da Informação / Information Tecnology Onshore, 0, 0, 1, -
  ELEOFF, Eletroeletrônica / Electro Electronic, 0, 0, 1, -
  MAQOFF, Máquinas / Engineering, 0, 0, 1, 1
  NAUOFF, Marinha / Marine, 0, 0, 1, -
  DRLOFF, Perfuração / Drilling, 0, 0, 1, -
  QUAON, Garantia da Qualidade / Quality Assurance  Onshore, 0, 0, 1, -
  OPRON, Operação / Operation Onshore, 0, 0, 1, -
  MANOFF, Manutenção / Maintenance, 0, 0, 1, 1
  MATOFF, Materiais / Materials, 0, 0, 1, 1
  JURON, Jurídico / Legal Onshore, 0, 0, 1, -
  SCPON, Subsea e Construção de Poços / Subsea and Construction of Wells, 0, 0, 1, -
  SSTON, Sustentabilidade / Sustainabitity Onshore, 0, 0, 1, -
  ETCOFF, Eletroeletrônica / Electroelectronical, 0, 0, 1, 1
  ACOON, Administração Contratual / Contractual Administration Onshore, 0, 0, 1, -
  COMON, Comunicação / Comunication Onshore, 0, 0, 1, -
  NAUON, Gestão Marítima / Maritime Management, 0, 0, 1, -
  PRJON, Projetos (Engenharia) / Projects (Engineering), 0, 0, 1, -
  SBSOFF, Subsea / Subsea, 0, 0, 1, 1
  SUPON, Suprimentos e Logística de Materiais / Supply and Materials Logistics Onshore, 0, 0, 1, -
  FINON, Finanças / Finance Onshore, 0, 0, 1, -
  PEOON, Pessoas & Organização / People & Organization Onshore, 0, 0, 1, -
  SEVON, Serviços / Services Onshore, 0, 0, 1, -
  MCHOFF, Mecânica / Mechanical, 0, 0, 1, 1
  SSTOFF, Sustentabilidade / Sustainabitity Offshore, 0, 0, 1, -
  P&O, P&O, 0, 0, 0, -
  OOG_SUDI, Department for the Superintendent Director, 0, 0, 0, -
  OOG_RIGM, Rig Managers, 0, 0, 0, -
  OOG_COND, Contract Director, 0, 0, 0, -
  OOG_OIM, Department for OIM/Captain, 0, 0, 0, -
  MOC_AAPR, Análise de risco e Aprovação da MOC, 0, 0, 0, -
  SPIE, Serviço Próprio de Inspeção de Equipamentos, 0, 1, 0, -
  OOG_PD, Person Group Performance Director, 0, 0, 0, -
  OOG_AM, Asset Manager, 0, 0, 0, -
  SAU, Saúde / Health, 0, 0, 1, -
  SPI, SPIE – Serviço Próprio e Inspeção de Equipamentos / Own Service and Equipment Inspection, 0, 0, 1, -
  OOG_QA, Quality Assurance, 0, 0, 0, -
  OOG_SUT, Sustainability, 0, 0, 0, -
  OOG_TI, Information Technology, 0, 0, 0, -
  RSTC, Aprovadores de Risk Assessment, 0, 0, 0, -
  OOG_QAEG, Aprovadores final de MOC PEO (ajustado para MOCPEO com P&O), 0, 0, 0, -
  ENGON, Engenharia / Engineering, 0, 0, 1, -
  TECON, Tecnologia & Inovação / Technology & Innovation, 0, 0, 1, -
  CSDON, Centro de Suporte a Decisão e Controle de Poço / Decision Support Center and Well Control, 0, 0, 1, -
  FSPON, Fornecedor / Supplier OnShore, 0, 0, 1, -
  APREDIAL, Adm Predial - Base UNP Only, 0, 1, 0, -
  OOG_FMEC, Grupo FMECA, 0, 0, 0, -
  MOVCAR, Movimentação de cargas - Base UNP Only, 0, 1, 0, -
  DDNON, Desenvolvimento de Negócios / Business Development, 0, 0, 1, -
  INTEGRIT, Integrity, 0, 1, 0, -
  R&R, Repair & Return, 0, 1, 0, -
  T&D, T&D, 0, 0, 0, -
  OOG_ARM, Assistant Rig Manager / Rig Coordinator, 0, 0, 0, -
  PROON, Processo / Process Onshore, 0, 0, 1, -
  ESTON, Estrutura / Stucture Onshore, 0, 0, 1, -
  MANON, Manutenção /Maintenance Onshore, 0, 0, 1, -
  HSEON, Sustentabilidade / Sustainability Onshore., 0, 0, 1, -
  OOG_MACR, Group people to macrostructre, 0, 0, 0, -
  QUAENG, Quality Engineer, 0, 0, 0, -
  OOG_OIMC, Department for OIM/Captain and Chief Mate/Imediatos., 0, 0, 0, -
  NAUTICAL, Nautical, 0, 1, 0, -
  INTOFF, Internalização / Internalization, 0, 0, 1, -
  ASSETENG, Asset/Planning Engineer, 0, 1, 0, -
  OOG_CM, CM Approval Group, 1, 0, 0, -
  OOG_CMML, CM Group Mail, 0, 0, 0, -
  YARD, Yard Onshore, 0, 1, 0, -
  OOG_RMG, Risk Assessment Manager, 0, 0, 0, -
  MKTON, Marketing, 0, 0, 1, -
  OOG_RIGS, RIG Superintendentes Aprovadores, 0, 0, 0, -
  OOG_SQP, SQP Person Group to send WOREF communications revisions, 0, 0, 0, -
  OOG_PH, Profissional Habilitado, 0, 0, 0, -
  OOG_FIMA, Financial Managers, 0, 0, 0, -
  ADMON, Administração Contratual / Contractual Administration Onshore, 0, 0, 1, -
  CEION, Confiabilidade & Integridade /  Reliability and Integrity, 0, 0, 1, -
  GMAON, Gestão Marítima / Maritime Management, 0, 0, 1, -
  PERCO, VPE Perfuração / VPE Drilling, 0, 0, 1, -
  FEICO, VP Finanças & Investimentos / VP Finance & Investments, 0, 0, 1, -
  CEACO, VP Controladoria & Administração / VP Controllership & Administration, 0, 0, 1, -
  JEGCO, VP Jurídico & Governança / VP Legal & Governance, 0, 0, 1, -
  SSTCO, VP Sustentabilidade / VP Sustainability, 0, 0, 1, -
  CFMCO, VP Conformidade / VP Compliance, 0, 0, 1, -
  CFMON, Conformidade / Compliance, 0, 0, 1, -
  CTRON, Controladoria / Controllership, 0, 0, 1, -
  1079, Governança & Proteção de Dados / Governance & Data Protection, 0, 0, 1, -
  GEPON, Governança & Proteção de Dados / Governance & Data Protection, 0, 0, 1, -
  PIMON, Planejamento Estratégico & Inteligência de Mercado / Strategic Planning & Market Intelligence, 0, 0, 1, -
  RINON, Relação com Investidores / Investor Relations, 0, 0, 1, -
  TESON, Tesouraria / Treasury, 0, 0, 1, -
  OOG_COOD, Person Group of Additional Service Coordinators, 0, 0, 0, -
  CONF, Confiabilidade Aplicada, 0, 1, 0, -
  OOG_MEET, Group for Planning and Simultaneity Meeting, 0, 0, 0, -
  OOG_HSE, Person Group for PTWs approval (Safety Technician), 0, 0, 0, -
  OOG_PTWA, PTW - Group for PT Administrator users, 0, 0, 0, -
  OOG_OIMP, Person Group for PTWs approval (OIM/Capitão), 0, 0, 0, -
  TERCEIRO, Grupo terceiros da PTW, 0, 1, 0, -
  OOG_ESUP, PTW - Entry Supervisor Group, 0, 0, 0, -
  OOG_EP, Planning Engineering Coordinator (PR with AFE CAPEX), 0, 0, 0, -
  OOG_LBAP, Log Book Approvers in WF OOG_LOGBOO, 0, 0, 0, -
  AB_ANENG, Person group to Analyst Engineers used in workflow of Alerts & Bulletins, 0, 0, 0, -
  AB_ANPLA, Person group to Analyst Planners used in workflow of Alerts & Bulletins, 0, 0, 0, -
  MOB_HTQ, Person group for Mobile - HTQ, 0, 0, 0, -
  MOB_ODN4, Person group for Mobile - ODN4, 0, 0, 0, -
  MOB_ODN1, Person group for Mobile - ODN1, 0, 0, 0, -
