IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT GROUPNAME, APP, OPTIONNAME FROM APPLICATIONAUTH;
FetchAll:  Columns: 3
  GROUPNAME APP OPTIONNAME 
  MAXEVERYONE, LOCATION, REPFACILITY
  MAXEVERYONE, USER, REPFACILITY
  MAXEVERYONE, WORKMAN, REPFACILITY
  MAXEVERYONE, PM, REPFACILITY
  MAXEVERYONE, COND, REPFACILITY
  MAXEVERYONE, SECURGROUP, REPFACILITY
  MAXADMIN, SHIPREC, CREATEREPT
  MAXEVERYONE, SHIPREC, DELETEREPT
  MAXADMIN, SHIPREC, PUBLICREPT
  MAXADMIN, USER, IPBLOCK
  MAXADMIN, DM, VIEWMAPPEDMENU
  MAXEVERYONE, DM, ADDCFGGRPDEF
  MAXEVERYONE, DM, DMXVIEWACTIVEPKG
  MAXADMIN, ASSETCAT, SHOWASSETTOPOIMG
  MAXEVERYONE, ASSETCAT, SHOWASSETTOPOIMG
  MAXADMIN, ASSETCAT, ITEMIMAGE
  MAXEVERYONE, ASSETCAT, ITEMIMAGE
  MAXEVERYONE, DM, DMXDELICNDMJOB
  MAXEVERYONE, ACTIVITY, EDITREPT
  MAXEVERYONE, ACTUALCI, EDITREPT
  MAXEVERYONE, ASSET, EDITREPT
  MAXEVERYONE, ASSETCAT, EDITREPT
  MAXEVERYONE, CALENDR, EDITREPT
  MAXEVERYONE, CHANGE, EDITREPT
  MAXEVERYONE, CHRTACCT, EDITREPT
  MAXEVERYONE, CI, EDITREPT
  MAXEVERYONE, COLLECTION, EDITREPT
  MAXEVERYONE, COMPANY, EDITREPT
  MAXEVERYONE, COND, EDITREPT
  MAXEVERYONE, CONDEXPMGR, EDITREPT
  MAXEVERYONE, CONFIGUR, EDITREPT
  MAXEVERYONE, CONTLABOR, EDITREPT
  MAXEVERYONE, CONTLEASE, EDITREPT
  MAXEVERYONE, CONTMASTER, EDITREPT
  MAXEVERYONE, CONTPURCH, EDITREPT
  MAXEVERYONE, CONTSFW, EDITREPT
  MAXEVERYONE, CONTWARRTY, EDITREPT
  MAXEVERYONE, CRAFT, EDITREPT
  MAXEVERYONE, DM, EDITREPT
  MAXEVERYONE, DOMAINADM, EDITREPT
  MAXEVERYONE, DPLDASSET, EDITREPT
  MAXEVERYONE, FAILURE, EDITREPT
  MAXEVERYONE, FEATURE, EDITREPT
  MAXEVERYONE, HAZARDS, EDITREPT
  MAXEVERYONE, INCIDENT, EDITREPT
  MAXEVERYONE, INVISSUE, EDITREPT
  MAXEVERYONE, INVOICE, EDITREPT
  MAXEVERYONE, INVUSAGE, EDITREPT
  MAXEVERYONE, ITEM, EDITREPT
  MAXEVERYONE, JOBPLAN, EDITREPT
  MAXEVERYONE, KPI, EDITREPT
  MAXEVERYONE, LABOR, EDITREPT
  MAXEVERYONE, LABREP, EDITREPT
  MAXEVERYONE, LOCATION, EDITREPT
  MAXEVERYONE, METER, EDITREPT
  MAXEVERYONE, METERGRP, EDITREPT
  MAXEVERYONE, MULTISITE, EDITREPT
  MAXEVERYONE, NDASSET, EDITREPT
  MAXEVERYONE, NPASSET, EDITREPT
  MAXEVERYONE, PERSON, EDITREPT
  MAXEVERYONE, PERSONGR, EDITREPT
  MAXEVERYONE, PM, EDITREPT
  MAXEVERYONE, PO, EDITREPT
  MAXEVERYONE, PR, EDITREPT
  MAXEVERYONE, PROBLEM, EDITREPT
  MAXEVERYONE, QUAL, EDITREPT
  MAXEVERYONE, QUICKREP, EDITREPT
  MAXEVERYONE, RCNASTLINK, EDITREPT
  MAXEVERYONE, RECEIPTS, EDITREPT
  MAXEVERYONE, RELATION, EDITREPT
  MAXEVERYONE, RELEASE, EDITREPT
  MAXEVERYONE, REPORT, EDITREPT
  MAXEVERYONE, RFQ, EDITREPT
  MAXEVERYONE, ROUTES, EDITREPT
  MAXEVERYONE, SAFEPLAN, EDITREPT
  MAXEVERYONE, SECURGROUP, EDITREPT
  MAXEVERYONE, SFWLICVIEW, EDITREPT
  MAXEVERYONE, SHIPREC, EDITREPT
  MAXEVERYONE, SLA, EDITREPT
  MAXEVERYONE, SOLUTION, EDITREPT
  MAXEVERYONE, SR, EDITREPT
  MAXEVERYONE, SRVCOMMOD, EDITREPT
  MAXEVERYONE, SRVITEM, EDITREPT
  MAXEVERYONE, STARTCNTR, EDITREPT
  MAXEVERYONE, TAGLOCKS, EDITREPT
  MAXEVERYONE, TOOL, EDITREPT
  MAXEVERYONE, TOOLINV, EDITREPT
  MAXEVERYONE, USER, EDITREPT
  MAXEVERYONE, WFDESIGN, EDITREPT
  MAXEVERYONE, WORKMAN, EDITREPT
  MAXEVERYONE, WOTRACK, EDITREPT
  MAXADMIN, REPORT, SCHEDLIMIT
  MAXEVERYONE, DM, DMXVIEWADDTOCOLL
  MAXADMIN, RPTOUTPUT, READ
  MAXDEFLTREG, RPTOUTPUT, READ
  MAXEVERYONE, RPTOUTPUT, READ
  MAXEVERYONE, PR, INTERNALPR
  MAXEVERYONE, PO, INTERNALPO
  MAXEVERYONE, DEPLCOLLS, SEARCHWHER
  MAXEVERYONE, DEPLCOLLS, SEARCHVMQR
  MAXEVERYONE, DEPLCOLLS, SEARCHBOOK
  MAXEVERYONE, DEPLCOLLS, SEARCHMORE
  MAXEVERYONE, DEPLCOLLS, SEARCHSQRY
  MAXEVERYONE, DEPLCOLLS, SEARCHTIPS
  MAXEVERYONE, DM, TEST
  MAXEVERYONE, DM, DMCOMPERROR
  MAXEVERYONE, DEPLCOLLS, DMXVIEWEXCEPTIONCOL
  MAXEVERYONE, DEPLCOLLS, DMXNEWROWX
  MAXEVERYONE, DM, SHOWDEPEND
  MAXADMIN, IBMCONTENT, NEXT
  MAXADMIN, IBMCONTENT, CREATEKPI
  MAXADMIN, IBMCONTENT, SEARCHWHER
  MAXADMIN, IBMCONTENT, CLEAR
  MAXADMIN, IBMCONTENT, SEARCHSQRY
  MAXADMIN, IBMCONTENT, PREVIOUS
  MAXADMIN, IBMCONTENT, BOOKMARK
  MAXADMIN, IBMCONTENT, SEARCHBOOK
  MAXADMIN, IBMCONTENT, DELETE
  MAXADMIN, IBMCONTENT, SEARCHMORE
  MAXADMIN, IBMCONTENT, SAVE
  MAXADMIN, IBMCONTENT, DUPLICATE
  MAXADMIN, IBMCONTENT, INSERT
  MAXADMIN, IBMCONTENT, SEARCHVMQR
  MAXADMIN, IBMCONTENT, SEARCHTIPS
  MAXADMIN, IBMCONTENT, READ
  MAXADMIN, IBMCONTENT, INSTALL
  MAXADMIN, IBMCONTENT, EDIT
  MAXEVERYONE, WOTRACK, FLTRLASET
