IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT APPNAME, MODULE, SELFSERVICE, LIMITEDUSE, AUTHORIZEDUSE FROM MAXLICAPPACCESS;
FetchAll:  Columns: 5
  APPNAME MODULE SELFSERVICE LIMITEDUSE AUTHORIZEDUSE 
  PLUSTTLMCD, PLUSTDTIMP, NOACCESS, READONLY, FULLACCESS
  PLUSTVEND, PLUSTDTIMP, NOACCESS, READONLY, FULLACCESS
  PLUSTCONST, PLUSTCONST, NOACCESS, READSAVE, FULLACCESS
  PLUSTCNTMP, PLUSTCONST, NOACCESS, READSAVE, FULLACCESS
  GRPASSIGN, SCHEDULER, NOACCESS, READONLY, FULLACCESS
  SCHEDULER, SCHEDULER, NOACCESS, READONLY, FULLACCESS
  RLASSIGN, SCHEDULER, NOACCESS, READONLY, FULLACCESS
  RLCAPACITY, SCHEDULER, NOACCESS, READONLY, FULLACCESS
  PLUSDSPLAN, PLANS, NOACCESS, READONLY, FULLACCESS
  LICTRACK, SETUP, NOACCESS, READONLY, FULLACCESS
  ACTIONSCFG, -, NOACCESS, FULLACCESS, FULLACCESS
  CHANGEPSWD, -, FULLACCESS, FULLACCESS, FULLACCESS
  ECOMMADAPT, -, FULLACCESS, FULLACCESS, FULLACCESS
  FACONFIG, -, FULLACCESS, FULLACCESS, FULLACCESS
  FORGOTPSWD, -, FULLACCESS, FULLACCESS, FULLACCESS
  INBXCONFIG, -, NOACCESS, FULLACCESS, FULLACCESS
  KPIGCONFIG, -, NOACCESS, FULLACCESS, FULLACCESS
  KPILCONFIG, -, NOACCESS, FULLACCESS, FULLACCESS
  RSCONFIG, -, FULLACCESS, FULLACCESS, FULLACCESS
  SCCONFIG, -, FULLACCESS, FULLACCESS, FULLACCESS
  SELFREG, -, FULLACCESS, FULLACCESS, FULLACCESS
  STARTCNTR, -, FULLACCESS, FULLACCESS, FULLACCESS
  SCHSUPER, WO, NOACCESS, READONLY, FULLACCESS
  TECHLITE, WO, NOACCESS, FULLACCESS, FULLACCESS
  TECHPHONE, -, NOACCESS, FULLACCESS, FULLACCESS
  TECHTABLET, WO, NOACCESS, FULLACCESS, FULLACCESS
  REPLISTCFG, -, NOACCESS, FULLACCESS, FULLACCESS
  JSONRES, INT, NOACCESS, READONLY, FULLACCESS
  SCHEDACM, SCHEDULER, NOACCESS, READONLY, FULLACCESS
  PLUSPASSET, ASSET, NOACCESS, READSAVE, FULLACCESS
  PLUSPLOC, ASSET, NOACCESS, READSAVE, FULLACCESS
  PLUSPCI, CI, NOACCESS, READONLY, FULLACCESS
  PLUSPITEM, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  PLUSPSRVIT, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  PLUSPTOOL, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  PLUSPJP, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSPCOMP, PURCHASE, NOACCESS, READONLY, FULLACCESS
  PLUSPCOMPM, PURCHASE, NOACCESS, READONLY, FULLACCESS
  PLUSPSOLUT, SD, NOACCESS, READSAVE, FULLACCESS
  PLUSPSR, SD, NOACCESS, READSAVE, FULLACCESS
  PLUSPSECGR, SECURITY, NOACCESS, READONLY, FULLACCESS
  PLUSPCLAS, SETUP, NOACCESS, READONLY, FULLACCESS
  PLUSPBBRD, SETUP, FULLACCESS, FULLACCESS, FULLACCESS
  PLUSPORG, SETUP, NOACCESS, READONLY, FULLACCESS
  PLUSPPER, SETUP, NOACCESS, READSAVE, FULLACCESS
  PLUSPVISR, SSDR, FULLACCESS, FULLACCESS, FULLACCESS
  PLUSPDMADM, UTIL, NOACCESS, READONLY, FULLACCESS
  PLUSPESC, UTIL, NOACCESS, READONLY, FULLACCESS
  PLUSPACTVT, WO, NOACCESS, FULLACCESS, FULLACCESS
  PLUSPWO, WO, NOACCESS, FULLACCESS, FULLACCESS
