IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT GROUPNAME, APP, OPTIONNAME FROM APPLICATIONAUTH WHERE APP IN ('PLUSGPR','PLUSGPO','CREATEDR') AND OPTIONNAME IN ('INSERT','SAVE','WAPPR','APPR','APPROVE','UNAPPROVE','CANCEL','COMPLETE');
FetchAll:  Columns: 3
  GROUPNAME APP OPTIONNAME 
  OOG_MAINTENANCE_COORDINATOR, PLUSGPR, APPROVE
  OOG_MAINTENANCE_COORDINATOR, PLUSGPR, CANCEL
  MAXADMIN, PLUSGPR, UNAPPROVE
  MAXADMIN, PLUSGPR, COMPLETE
  MAXADMIN, PLUSGPR, CANCEL
  MAXADMIN, PLUSGPR, APPROVE
  OOG_DEPARTMENT_LEADER, PLUSGPR, INSERT
  OOG_DEPARTMENT_LEADER, PLUSGPR, SAVE
  OOG_PROJECT_ENGINEER, PLUSGPR, APPROVE
  OOG_PROJECT_ENGINEER, PLUSGPR, SAVE
  OOG_PROJECT_ENGINEER, PLUSGPR, INSERT
  OOG_ENGINEER_COORDINATOR, PLUSGPR, APPROVE
  MAXADMIN, PLUSGPO, INSERT
  MAXADMIN, PLUSGPO, SAVE
  MAXADMIN, PLUSGPR, INSERT
  MAXADMIN, PLUSGPR, SAVE
  MAXADMIN, PLUSGPO, UNAPPROVE
  MAXADMIN, PLUSGPO, CANCEL
  MAXADMIN, PLUSGPO, APPROVE
  OOG_MATERIALS_COORDINATOR, PLUSGPO, SAVE
  OOG_ASSET_ENGINEER, PLUSGPR, SAVE
  OOG_MAINTENANCE_COORDINATOR, PLUSGPR, SAVE
  OOG_MAINTENANCE_COORDINATOR, PLUSGPR, INSERT
  OOG_MATERIALS_COORDINATOR, PLUSGPR, INSERT
  OOG_MATERIALS_COORDINATOR, PLUSGPR, SAVE
  OOG_MATERIALS_COORDINATOR, PLUSGPR, CANCEL
  OOG_ENGINEER_COORDINATOR, PLUSGPR, SAVE
  OOG_ENGINEER_COORDINATOR, PLUSGPR, INSERT
  OOG_QUALIFIED_PROFESSIONAL, PLUSGPR, APPROVE
  OOG_QUALIFIED_PROFESSIONAL, PLUSGPR, CANCEL
  OOG_QUALIFIED_PROFESSIONAL, PLUSGPR, COMPLETE
  OOG_QUALIFIED_PROFESSIONAL, PLUSGPO, CANCEL
  OOG_QUALIFIED_PROFESSIONAL, PLUSGPO, APPROVE
  OOG_MAINTENANCE_COORDINATOR, PLUSGPO, APPROVE
  OOG_MAINTENANCE_COORDINATOR, PLUSGPO, SAVE
  OOG_MAINTENANCE_COORDINATOR, PLUSGPO, CANCEL
  OOG_MAINTENANCE_COORDINATOR, PLUSGPR, COMPLETE
  OOG_QUALIFIED_PROFESSIONAL, PLUSGPO, SAVE
  OOG_QUALIFIED_PROFESSIONAL, PLUSGPR, INSERT
  OOG_QUALIFIED_PROFESSIONAL, PLUSGPR, SAVE
  OOG_ASSET_COORDINATOR, PLUSGPR, SAVE
  OOG_ASSET_COORDINATOR, PLUSGPR, INSERT
  OOG_REPAIR_RETURN, PLUSGPR, INSERT
  OOG_REPAIR_RETURN, PLUSGPR, SAVE
  OOG_REPAIR_RETURN, PLUSGPR, CANCEL
  OOG_SUP_REPAIR_RETURN, PLUSGPR, CANCEL
  OOG_ASSET_ENGINEER, PLUSGPR, CANCEL
  OOG_ASSET_ENGINEER, PLUSGPR, APPROVE
  OOG_SUP_REPAIR_RETURN, PLUSGPR, SAVE
  OOG_SUP_REPAIR_RETURN, PLUSGPR, INSERT
  OOG_ASSET_COORDINATOR, PLUSGPR, CANCEL
  OOG_ASSET_COORDINATOR, PLUSGPR, APPROVE
  OOG_PROJECT_ENGINEER, PLUSGPR, CANCEL
  OOG_ENGINEER_COORDINATOR, PLUSGPR, CANCEL
  OOG_PR_CREATOR, PLUSGPR, SAVE
  OOG_PR_CREATOR, PLUSGPR, INSERT
  OOG_MATERIALS_COORDINATOR_YARD, PLUSGPR, CANCEL
  OOG_MATERIALS_COORDINATOR_YARD, PLUSGPO, SAVE
  OOG_MATERIALS_COORDINATOR_YARD, PLUSGPR, INSERT
  OOG_MATERIALS_COORDINATOR_YARD, PLUSGPR, SAVE
  POL_MATERIALS_COORDINATOR, PLUSGPR, CANCEL
  POL_MATERIALS_COORDINATOR, PLUSGPO, CANCEL
  POL_MATERIALS_COORDINATOR, PLUSGPO, APPROVE
  MAXADMIN, CREATEDR, INSERT
  MAXADMIN, CREATEDR, SAVE
  MAXADMIN, CREATEDR, WAPPR
  MAXADMIN, CREATEDR, CANCEL
  MAXADMIN, CREATEDR, APPR
  OOG_DEPARTMENT_LEADER, CREATEDR, INSERT
  OOG_DEPARTMENT_LEADER, CREATEDR, SAVE
  OOG_DEPARTMENT_LEADER, CREATEDR, APPR
  OOG_DEPARTMENT_LEADER, CREATEDR, CANCEL
  OOG_DEPARTMENT_LEADER, CREATEDR, WAPPR
  OOG_MATERIALS_COORDINATOR, CREATEDR, INSERT
  OOG_MATERIALS_COORDINATOR, CREATEDR, SAVE
  OOG_MATERIALS_COORDINATOR, CREATEDR, APPR
  OOG_MATERIALS_COORDINATOR, CREATEDR, CANCEL
  OOG_MATERIALS_COORDINATOR, CREATEDR, WAPPR
  OOG_MATERIALS_COORDINATOR_YARD, CREATEDR, INSERT
  OOG_MATERIALS_COORDINATOR_YARD, CREATEDR, SAVE
  OOG_MATERIALS_COORDINATOR_YARD, CREATEDR, APPR
  OOG_MATERIALS_COORDINATOR_YARD, CREATEDR, CANCEL
  OOG_MATERIALS_COORDINATOR_YARD, CREATEDR, WAPPR
  POL_MATERIALS_COORDINATOR, CREATEDR, WAPPR
  POL_MATERIALS_COORDINATOR, CREATEDR, CANCEL
  POL_MATERIALS_COORDINATOR, CREATEDR, APPR
  POL_MATERIALS_COORDINATOR, PLUSGPR, SAVE
  POL_MATERIALS_COORDINATOR, PLUSGPR, INSERT
  POL_MATERIALS_COORDINATOR, PLUSGPO, SAVE
  POL_MATERIALS_COORDINATOR, PLUSGPO, INSERT
  POL_MATERIALS_COORDINATOR, CREATEDR, SAVE
  POL_MATERIALS_COORDINATOR, CREATEDR, INSERT
  POL_MATERIALS_COORDINATOR, PLUSGPR, COMPLETE
  OOG_MATERIAL_ENGINEER, CREATEDR, INSERT
  OOG_MATERIAL_ENGINEER, CREATEDR, SAVE
  HTQ_MATERIALS_COORDINATOR, PLUSGPO, APPROVE
  HTQ_MATERIALS_COORDINATOR, PLUSGPO, CANCEL
  HTQ_MATERIALS_COORDINATOR, PLUSGPO, INSERT
  HTQ_MATERIALS_COORDINATOR, CREATEDR, WAPPR
  HTQ_MATERIALS_COORDINATOR, CREATEDR, CANCEL
  HTQ_MATERIALS_COORDINATOR, CREATEDR, APPR
  HTQ_MATERIALS_COORDINATOR, PLUSGPR, CANCEL
  OOG_MAXIMO_COORDINATOR, PLUSGPR, SAVE
  HTQ_MATERIALS_COORDINATOR, PLUSGPR, SAVE
  HTQ_MATERIALS_COORDINATOR, PLUSGPR, INSERT
  HTQ_MATERIALS_COORDINATOR, PLUSGPO, SAVE
  HTQ_MATERIALS_COORDINATOR, CREATEDR, SAVE
  HTQ_MATERIALS_COORDINATOR, CREATEDR, INSERT
  OOG_MAXIMO_COORDINATOR, PLUSGPR, INSERT
  OOG_MAXIMO_COORDINATOR, PLUSGPR, CANCEL
  PRIO_MATERIALS_COORDINATOR, CREATEDR, INSERT
  PRIO_MATERIALS_COORDINATOR, CREATEDR, SAVE
  PRIO_MATERIALS_COORDINATOR, PLUSGPO, INSERT
  PRIO_MATERIALS_COORDINATOR, PLUSGPO, SAVE
  PRIO_MATERIALS_COORDINATOR, PLUSGPR, INSERT
